group,route_id,attempt,status,selected,completion,wall_s,ticks,profiled_ticks,profiled_loop_s,server_age_routes,source
tcp-seed0,27494,1,finished,True,100,15.8,473,453,5.108480999999999,1,/data/runs/b2d/controller/formal-v4/tcp-seed0/attempts/27494/1/attempt.json
tcp-seed0,28198,1,finished,True,100,13.6,259,239,2.123993,3,/data/runs/b2d/controller/formal-v4/tcp-seed0/attempts/28198/1/attempt.json
tcp-seed0,3255,1,finished,True,100,52.5,694,674,10.13022,11,/data/runs/b2d/controller/formal-v4/tcp-seed0/attempts/3255/1/attempt.json
tcp-seed0,3514,1,finished,True,4.6,108.4,4000,3980,66.74858,10,/data/runs/b2d/controller/formal-v4/tcp-seed0/attempts/3514/1/attempt.json
pursuit-seed0,17569,1,finished,True,100,33.6,330,310,5.36052,12,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/17569/1/attempt.json
pursuit-seed0,2091,1,finished,True,79.01,91.9,4000,3980,61.8094,10,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/2091/1/attempt.json
pursuit-seed0,25378,1,finished,True,100,12.3,286,266,3.283238,8,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/25378/1/attempt.json
pursuit-seed0,25381,1,finished,True,100,14.4,390,370,6.011760000000001,7,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/25381/1/attempt.json
pursuit-seed0,25424,1,finished,True,47.26,52.7,4000,3980,36.6359,9,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/25424/1/attempt.json
pursuit-seed0,26405,1,finished,True,100,16.3,383,363,3.200208,6,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/26405/1/attempt.json
pursuit-seed0,27494,1,finished,True,100,14.7,474,454,5.06891,11,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/27494/1/attempt.json
pursuit-seed0,28198,1,finished,True,100,14.7,255,235,2.0865650000000002,13,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/28198/1/attempt.json
pursuit-seed0,3255,1,finished,True,100,53.4,693,673,10.046543999999999,5,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/3255/1/attempt.json
pursuit-seed0,3514,1,finished,True,100,53.9,718,698,14.497459999999998,4,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/3514/1/attempt.json
carla-seed1,17569,1,finished,True,100,33.8,329,309,5.245584,7,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/17569/1/attempt.json
carla-seed1,2091,1,finished,True,60.64,87.9,4000,3980,57.6702,5,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/2091/1/attempt.json
carla-seed1,25378,1,finished,True,100,12.3,286,266,3.069906,3,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/25378/1/attempt.json
carla-seed1,25381,1,finished,True,100,13.4,390,370,5.5907,2,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/25381/1/attempt.json
carla-seed1,25424,1,finished,True,47.26,53.7,4000,3980,36.18218,4,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/25424/1/attempt.json
carla-seed1,26405,1,finished,True,100,16.5,383,363,3.083322,1,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/26405/1/attempt.json
carla-seed1,27494,1,finished,True,100,15.7,471,451,5.040376,6,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/27494/1/attempt.json
carla-seed1,28198,1,finished,True,100,14.7,252,232,1.989864,8,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/28198/1/attempt.json
carla-seed1,3255,1,server_died_rc139,False,,49.1,,0,0.0,15,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/3255/1/attempt.json
carla-seed1,3255,2,finished,True,100,45.9,695,675,9.6714,0,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/3255/2/attempt.json
carla-seed1,3514,1,finished,True,100,55.0,679,659,14.062401,14,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/3514/1/attempt.json
tcp-seed1,17569,1,finished,True,100,33.2,334,314,5.3662600000000005,1,/data/runs/b2d/controller/formal-v4/tcp-seed1/attempts/17569/1/attempt.json
tcp-seed1,2091,1,finished,True,100,34.6,288,268,3.7474439999999998,15,/data/runs/b2d/controller/formal-v4/tcp-seed1/attempts/2091/1/attempt.json
tcp-seed1,25378,1,finished,True,100,12.3,288,268,3.1932199999999997,13,/data/runs/b2d/controller/formal-v4/tcp-seed1/attempts/25378/1/attempt.json
tcp-seed1,25381,1,finished,True,100,13.4,393,373,5.624094,12,/data/runs/b2d/controller/formal-v4/tcp-seed1/attempts/25381/1/attempt.json
tcp-seed1,25424,1,finished,True,47.26,52.8,4000,3980,36.3971,14,/data/runs/b2d/controller/formal-v4/tcp-seed1/attempts/25424/1/attempt.json
tcp-seed1,26405,1,finished,True,100,16.5,386,366,3.181272,11,/data/runs/b2d/controller/formal-v4/tcp-seed1/attempts/26405/1/attempt.json
tcp-seed1,27494,1,server_died_rc139,False,,20.0,,0,0.0,16,/data/runs/b2d/controller/formal-v4/tcp-seed1/attempts/27494/1/attempt.json
tcp-seed1,27494,2,finished,True,100,8.0,473,453,3.920262,0,/data/runs/b2d/controller/formal-v4/tcp-seed1/attempts/27494/2/attempt.json
tcp-seed1,28198,1,finished,True,100,14.5,259,239,2.101049,2,/data/runs/b2d/controller/formal-v4/tcp-seed1/attempts/28198/1/attempt.json
tcp-seed1,3255,1,finished,True,100,52.6,695,675,10.248524999999999,10,/data/runs/b2d/controller/formal-v4/tcp-seed1/attempts/3255/1/attempt.json
tcp-seed1,3514,1,finished,True,4.6,107.6,4000,3980,66.90778,9,/data/runs/b2d/controller/formal-v4/tcp-seed1/attempts/3514/1/attempt.json
pursuit-seed1,17569,1,finished,True,100,33.4,330,310,5.35742,11,/data/runs/b2d/controller/formal-v4/pursuit-seed1/attempts/17569/1/attempt.json
pursuit-seed1,2091,1,finished,True,79.01,92.1,4000,3980,61.17658,9,/data/runs/b2d/controller/formal-v4/pursuit-seed1/attempts/2091/1/attempt.json
pursuit-seed1,25378,1,finished,True,100,11.3,286,266,3.175774,7,/data/runs/b2d/controller/formal-v4/pursuit-seed1/attempts/25378/1/attempt.json
pursuit-seed1,25381,1,finished,True,100,14.4,390,370,5.86228,6,/data/runs/b2d/controller/formal-v4/pursuit-seed1/attempts/25381/1/attempt.json
pursuit-seed1,25424,1,finished,True,47.26,53.6,4000,3980,36.874700000000004,8,/data/runs/b2d/controller/formal-v4/pursuit-seed1/attempts/25424/1/attempt.json
pursuit-seed1,26405,1,finished,True,100,16.0,383,363,3.1163550000000004,5,/data/runs/b2d/controller/formal-v4/pursuit-seed1/attempts/26405/1/attempt.json
pursuit-seed1,27494,1,finished,True,100,15.7,474,454,5.1728760000000005,10,/data/runs/b2d/controller/formal-v4/pursuit-seed1/attempts/27494/1/attempt.json
pursuit-seed1,28198,1,finished,True,100,14.5,255,235,2.08351,12,/data/runs/b2d/controller/formal-v4/pursuit-seed1/attempts/28198/1/attempt.json
pursuit-seed1,3255,1,finished,True,100,52.3,694,674,10.161897999999999,4,/data/runs/b2d/controller/formal-v4/pursuit-seed1/attempts/3255/1/attempt.json
pursuit-seed1,3514,1,finished,True,100,54.0,718,698,14.235012,3,/data/runs/b2d/controller/formal-v4/pursuit-seed1/attempts/3514/1/attempt.json
