scenario,controller,step,t,v,log_xt,log_dth,log_v,stop,fwd_only,plan_len,lat25,lon25,hd25,lat50,lon50,hd50
scene-0062-medium-00,official,11,2.75,7.879,0.0844,0.00582,8.479,0,0,25.14966,0.04739,-0.05338,0.02923,0.10476,-0.08302,0.02322
scene-0062-medium-00,official,12,3.0,8.079,0.093,-0.00435,8.496,0,0,25.18331,0.08362,-0.03145,0.03302,0.14433,-0.04257,0.07868
scene-0062-medium-00,official,13,3.25,8.23,0.1034,0.01541,8.43,0,0,25.19392,0.132,-0.00686,0.09871,0.30119,-0.00799,0.04308
scene-0062-medium-00,official,14,3.5,8.362,0.1434,0.06383,8.415,0,0,25.19078,0.23547,-0.00131,0.08453,0.39897,0.00747,0.05094
scene-0062-medium-00,official,15,3.75,8.444,0.3019,0.04381,8.486,0,0,25.1732,0.16059,-0.02622,0.05918,,,
scene-0062-medium-00,official,16,4.0,8.464,0.3983,0.02855,8.941,0,0,25.12016,,,,,,
scene-0071-easy-00,fixed,0,0,1.0,0.0,0.05698,8.626,0,0,11.98775,0.01612,0.10912,0.05955,0.046,0.28,0.07709
scene-0071-easy-00,fixed,1,0.25,1.739,0.0248,0.05974,8.671,0,0,14.20472,0.12229,0.11413,0.14498,0.16208,0.28802,0.00618
scene-0071-easy-00,fixed,2,0.5,2.476,0.0617,0.06789,8.735,0,0,16.41614,0.0925,0.11554,0.08265,0.11751,0.29124,-0.00761
scene-0071-easy-00,fixed,3,0.75,3.208,0.1613,-0.06887,8.428,0,0,18.48319,0.01918,0.10979,0.00037,-0.00834,0.27796,-0.04375
scene-0071-easy-00,fixed,4,1.0,3.937,0.0635,-0.18367,8.811,0,0,20.39923,-0.06926,0.11326,-0.05205,-0.12661,0.27324,-0.04034
scene-0071-easy-00,fixed,5,1.25,4.655,0.0209,0.13211,9.41,0,0,22.20985,-0.1385,0.09758,-0.08171,-0.22103,0.25898,-0.03813
scene-0071-easy-00,fixed,6,1.5,5.354,-0.1672,-0.13252,9.783,0,0,23.67901,-0.06622,0.10746,-0.03845,-0.11993,0.25376,-0.03196
scene-0071-easy-00,fixed,7,1.75,6.016,-0.2276,-0.00888,10.273,0,0,24.73764,-0.15101,0.14645,-0.07208,-0.2318,0.27515,-0.02694
scene-0071-easy-00,fixed,8,2.0,6.63,-0.0288,0.34528,9.524,0,0,25.23529,-0.13567,0.09732,-0.05931,-0.2103,0.16893,-0.02628
scene-0071-easy-00,fixed,9,2.25,7.167,-0.2281,-0.00391,9.534,0,0,25.65189,-0.15641,0.02923,-0.05255,-0.1971,0.04302,0.00737
scene-0071-easy-00,fixed,10,2.5,7.624,-0.2083,0.00752,9.43,0,0,25.8339,-0.12319,-0.02008,-0.04856,-0.19358,-0.03734,-0.0241
scene-0071-easy-00,fixed,11,2.75,7.974,-0.1974,-0.00844,9.337,0,0,25.83411,0.07747,-0.00588,0.01655,0.07761,-0.02102,-0.01929
scene-0071-easy-00,fixed,12,3.0,8.229,-0.1936,-0.00283,8.822,0,0,25.77674,-0.12887,0.02314,-0.04744,-0.19272,0.0042,-0.02025
scene-0071-easy-00,fixed,13,3.25,8.395,0.0809,-0.24163,8.961,0,0,25.78826,-0.09639,-0.00255,-0.03966,-0.1567,-0.07792,-0.01957
scene-0071-easy-00,fixed,14,3.5,8.52,-0.1923,0.01802,8.738,0,0,25.72608,-0.10075,-0.09556,-0.03512,-0.14925,-0.22002,-0.01378
scene-0071-easy-00,fixed,15,3.75,8.589,-0.1597,0.01924,9.846,0,0,25.46982,-0.13252,-0.1477,-0.03698,-0.15504,-0.27592,0.01176
scene-0071-easy-00,fixed,16,4.0,8.589,-0.1478,-0.01366,9.68,0,0,25.21878,-0.0557,-0.07181,-0.02616,-0.10212,-0.11574,-0.02311
scene-0071-easy-00,fixed,17,4.25,8.535,-0.152,-0.02182,8.55,0,0,25.10629,0.06513,-0.11928,0.01113,0.06243,-0.15945,-0.02275
scene-0071-easy-00,fixed,18,4.5,8.477,-0.1021,-0.01599,9.119,0,0,24.90428,-0.11997,0.02199,-0.04825,-0.18352,0.03881,-0.02217
scene-0071-easy-00,fixed,19,4.75,8.416,0.0277,0.1912,8.853,0,0,24.69739,-0.1076,0.12689,-0.04656,-0.16741,0.2052,-0.02314
scene-0071-easy-00,fixed,20,5.0,8.352,-0.1824,0.01195,8.131,0,0,24.86181,-0.09148,0.03804,-0.04125,-0.14772,0.06394,-0.02619
scene-0071-easy-00,fixed,21,5.25,8.336,-0.163,-0.00165,8.318,0,0,24.9535,-0.0861,0.00889,-0.04222,-0.14871,0.01516,-0.03236
scene-0071-easy-00,fixed,22,5.5,8.335,-0.1451,0.0074,8.302,0,0,24.75727,-0.09621,0.00894,-0.04815,-0.17024,0.00914,-0.03975
scene-0071-easy-00,fixed,23,5.75,8.332,-0.1485,-0.02134,8.305,0,0,24.43556,-0.1267,0.0058,-0.06052,-0.21629,-0.00083,-0.04456
scene-0071-easy-00,fixed,24,6.0,8.322,-0.1701,-0.02758,8.321,0,0,24.23278,-0.16777,0.00041,-0.07367,-0.26818,-0.02433,-0.04278
scene-0071-easy-00,fixed,25,6.25,8.304,-0.2169,-0.03431,8.35,0,0,24.14829,-0.19785,-0.01552,-0.08186,-0.30135,-0.05403,-0.03795
scene-0071-easy-00,fixed,26,6.5,8.279,-0.2694,-0.03135,8.387,0,0,24.13977,-0.18003,-0.07284,-0.07781,-0.28454,-0.12582,-0.04375
scene-0071-easy-00,fixed,27,6.75,8.245,-0.3022,-0.02105,8.472,0,0,24.14177,-0.14486,-0.09166,-0.06725,-0.23752,-0.1467,-0.04461
scene-0071-easy-00,fixed,28,7.0,8.202,-0.2926,0.03254,8.649,0,0,23.92786,-0.18051,-0.0172,-0.08078,-0.28437,-0.05343,-0.04441
scene-0071-easy-00,fixed,29,7.25,8.144,-0.2393,-0.02957,8.239,0,0,23.6671,-0.17963,0.03465,-0.08173,-0.28267,0.00218,-0.04394
scene-0071-easy-00,fixed,30,7.5,8.083,-0.2866,-0.00074,7.908,0,0,23.50969,-0.18014,-0.07006,-0.07847,-0.27543,-0.12788,-0.03797
scene-0071-easy-00,fixed,31,7.75,8.029,-0.2826,-0.0085,8.293,0,0,23.45063,-0.17369,-0.18114,-0.07637,-0.26994,-0.24221,-0.04045
scene-0071-easy-00,fixed,32,8.0,7.979,-0.2796,-0.0083,8.863,0,0,23.24918,-0.14931,-0.04678,-0.07137,-0.23711,-0.02214,-0.04025
scene-0071-easy-00,fixed,33,8.25,7.908,-0.2805,-0.0078,8.028,0,0,23.08221,-0.14734,0.14639,-0.07451,-0.23383,0.25382,-0.04006
scene-0071-easy-00,fixed,34,8.5,7.843,-0.2383,0.08667,6.967,0,0,23.16845,-0.13259,0.12317,-0.06665,-0.21071,0.16997,-0.03629
scene-0071-easy-00,fixed,35,8.75,7.839,-0.2229,0.04859,8.555,0,0,23.33214,-0.12963,-0.12181,-0.05733,-0.19094,-0.26225,-0.02537
scene-0071-easy-00,fixed,36,9.0,7.893,-0.2058,-0.01649,9.075,0,0,22.91177,-0.10828,-0.11669,-0.05083,-0.16436,-0.22314,-0.02488
scene-0071-easy-00,fixed,37,9.25,7.878,-0.1983,-0.0096,9.72,0,0,22.45435,-0.09376,-0.17964,-0.04451,-0.14205,-0.28048,-0.02025
scene-0071-easy-00,fixed,38,9.5,7.818,-0.195,0.10417,8.472,0,0,21.93187,-0.08801,-0.10286,-0.04053,-0.12797,-0.15485,-0.01367
scene-0071-easy-00,fixed,39,9.75,7.723,-0.1564,0.01407,8.201,0,0,21.41524,-0.0727,0.02613,-0.03234,-0.09614,0.0128,-0.00199
scene-0071-easy-00,fixed,40,10.0,7.615,-0.1334,0.00612,7.457,0,0,20.90603,-0.04401,0.05346,-0.01666,-0.04594,0.03493,0.01108
scene-0071-easy-00,fixed,41,10.25,7.504,-0.0956,0.02158,7.449,0,0,20.42644,0.00125,-0.08807,0.00814,0.03966,-0.19646,0.03138
scene-0071-easy-00,fixed,42,10.5,7.405,-0.0431,0.03911,7.878,0,0,19.80626,0.05858,-0.12388,0.03118,0.11791,-0.25177,0.03854
scene-0071-easy-00,fixed,43,10.75,7.279,0.0301,0.0417,7.744,0,0,19.09735,0.14405,-0.14038,0.06911,0.24869,-0.27506,0.052
scene-0071-easy-00,fixed,44,11.0,7.122,0.1083,0.0432,7.745,0,0,18.36088,0.17301,-0.12414,0.08399,0.29127,-0.25594,0.06159
scene-0071-easy-00,fixed,45,11.25,6.939,0.2378,0.05767,7.511,0,0,17.54385,0.22064,-0.11047,0.10905,0.36018,-0.23705,0.06721
scene-0071-easy-00,fixed,46,11.5,6.734,0.3038,-0.02875,7.143,0,0,16.73994,0.2564,-0.14078,0.12456,0.40444,-0.28601,0.06888
scene-0071-easy-00,fixed,47,11.75,6.519,0.3578,0.04174,6.981,0,0,15.90272,0.28066,-0.13465,0.13681,0.42508,-0.27711,0.05895
scene-0071-easy-00,fixed,48,12.0,6.285,0.4077,0.03653,6.832,0,0,15.08113,0.28353,-0.13842,0.14075,0.42309,-0.28507,0.05509
scene-0071-easy-00,fixed,49,12.25,6.04,0.4308,0.01964,6.597,0,0,14.30413,0.25252,-0.14986,0.13205,0.37932,-0.29832,0.05487
scene-0071-easy-00,fixed,50,12.5,5.787,0.4356,0.00893,6.373,0,0,13.56342,0.19748,-0.15557,0.11299,0.30828,-0.30512,0.05602
scene-0071-easy-00,fixed,51,12.75,5.529,0.4041,-0.0194,6.135,0,0,12.8747,0.18083,-0.14392,0.10952,0.28692,-0.29458,0.05918
scene-0071-easy-00,fixed,52,13.0,5.268,0.3168,0.00647,5.889,0,0,12.22207,0.17404,-0.12999,0.09928,,,
scene-0071-easy-00,fixed,53,13.25,5.007,0.3066,0.03613,5.404,0,0,11.63236,,,,,,
scene-0071-easy-00,ideal,0,0,1.0,0.0,0.05698,8.626,0,0,11.98775,0.00012,0.00012,-0.00019,-0.048,0.012,-0.02986
scene-0071-easy-00,ideal,1,0.25,1.55,0.0023,-0.0,8.66,0,0,13.63974,-0.00068,-0.00067,4e-05,-0.02161,0.01429,-0.02812
scene-0071-easy-00,ideal,2,0.5,2.097,-0.0466,-0.03905,8.708,0,0,15.28982,0.00034,0.00026,-0.00013,0.04294,0.00542,0.03508
scene-0071-easy-00,ideal,3,0.75,2.629,-0.0195,0.14972,8.531,0,0,16.83014,-0.00022,-0.00115,-6e-05,-0.034,0.00852,-0.02662
scene-0071-easy-00,ideal,4,1.0,3.164,0.0409,-0.00743,8.507,0,0,18.3534,0.00092,0.00011,0.00027,0.05314,-0.00172,0.02075
scene-0071-easy-00,ideal,5,1.25,3.684,-0.0356,-0.14058,8.874,0,0,19.73826,-0.00046,0.00056,0.00015,0.03292,0.01142,0.01179
scene-0071-easy-00,ideal,6,1.5,4.194,0.0517,0.22433,9.381,0,0,21.09261,-0.00042,-0.00019,-0.00013,-0.01611,0.03437,0.00646
scene-0071-easy-00,ideal,7,1.75,4.712,0.0322,-0.06132,9.712,0,0,22.43063,0.00026,9e-05,-0.00011,-0.04698,-0.03136,-0.02331
scene-0071-easy-00,ideal,8,2.0,5.262,-0.0136,0.01225,10.239,0,0,23.53333,-4e-05,-8e-05,0.00013,0.04626,-0.06236,0.0168
scene-0071-easy-00,ideal,9,2.25,5.631,-0.0487,-0.01537,9.727,0,0,24.07013,0.00015,-6e-05,-2e-05,-0.01511,0.00362,-0.00431
scene-0071-easy-00,ideal,10,2.5,5.968,0.0668,-0.40605,9.564,0,0,24.51949,-0.00012,-0.00054,5e-05,0.02255,0.0217,-0.00083
scene-0071-easy-00,ideal,11,2.75,6.533,-0.0151,-0.00716,9.055,0,0,25.05257,0.00062,0.00103,0.0001,0.01157,0.03795,0.02058
scene-0071-easy-00,ideal,12,3.0,7.083,0.0228,0.00406,9.422,0,0,25.41215,7e-05,-0.00051,0.00011,-0.17093,0.01494,-0.05921
scene-0071-easy-00,ideal,13,3.25,7.632,0.0109,-0.01677,9.334,0,0,25.6387,-2e-05,0.00098,-0.0001,0.18671,-0.01094,0.04808
scene-0071-easy-00,ideal,14,3.5,8.056,-0.1713,-0.06462,8.852,0,0,25.72443,-0.00089,-0.00086,-9e-05,-0.04544,-0.07411,-0.00812
scene-0071-easy-00,ideal,15,3.75,8.341,0.1602,0.5324,9.046,0,0,25.73506,0.00062,0.00011,3e-05,-0.00842,0.04528,-0.00328
scene-0071-easy-00,ideal,16,4.0,8.444,-0.0426,0.02778,8.774,0,0,25.78992,-0.00012,0.00049,-0.0,0.04455,0.12323,0.0056
scene-0071-easy-00,ideal,17,4.25,8.973,-0.0056,0.02018,9.834,0,0,25.69874,-4e-05,0.00036,0.0,-0.02509,0.0344,0.01374
scene-0071-easy-00,ideal,18,4.5,9.443,0.0455,-0.01069,9.784,0,0,25.47015,8e-05,-5e-05,-0.00011,-0.18244,0.01401,-0.05859
scene-0071-easy-00,ideal,19,4.75,9.239,-0.0259,-0.03853,8.543,0,0,25.13764,-0.00076,-0.00082,-3e-05,0.22526,-0.07949,0.05658
scene-0071-easy-00,ideal,20,5.0,8.878,-0.1819,-0.07566,9.313,0,0,24.88717,0.00109,0.00082,0.0001,-0.04352,-0.15161,-0.00545
scene-0071-easy-00,ideal,21,5.25,8.326,0.2065,0.25309,8.842,0,0,24.63598,-0.00073,0.00019,0.0,-0.02881,0.05787,-0.00586
scene-0071-easy-00,ideal,22,5.5,7.798,-0.0394,0.03434,7.98,0,0,24.87934,0.0004,-3e-05,0.0001,-0.00243,0.0193,-0.00021
scene-0071-easy-00,ideal,23,5.75,8.189,-0.0234,0.00331,8.311,0,0,24.94624,-0.00041,0.00024,-6e-05,-0.00032,-0.00202,-0.00083
scene-0071-easy-00,ideal,24,6.0,8.301,-0.0017,0.01549,8.304,0,0,24.70785,0.00058,-0.00021,-3e-05,0.01393,-0.00362,0.00197
scene-0071-easy-00,ideal,25,6.25,8.308,-0.0004,-0.00748,8.304,0,0,24.39108,0.00029,-0.00024,-1e-05,0.02115,-0.0042,0.00333
scene-0071-easy-00,ideal,26,6.5,8.323,0.0131,-0.00393,8.325,0,0,24.20413,-0.00036,8e-05,2e-05,0.01558,-0.00264,0.00507
scene-0071-easy-00,ideal,27,6.75,8.355,0.0213,-0.00643,8.355,0,0,24.13787,-0.00028,0.0006,4e-05,-0.02718,0.04347,-0.00336
scene-0071-easy-00,ideal,28,7.0,8.394,0.0163,-0.00936,8.388,0,0,24.14493,-2e-05,-0.00029,-7e-05,-0.02236,0.03912,-0.00701
scene-0071-easy-00,ideal,29,7.25,8.508,-0.0251,-0.01717,8.536,0,0,24.15822,0.00042,3e-05,-2e-05,0.02755,-0.05878,0.00619
scene-0071-easy-00,ideal,30,7.5,8.485,-0.0189,0.03144,8.567,0,0,23.92144,-0.00071,1e-05,-3e-05,0.00176,-0.0596,0.00024
scene-0071-easy-00,ideal,31,7.75,8.18,0.0266,-0.01657,8.132,0,0,23.64658,0.00073,0.00019,-1e-05,0.0014,0.06844,-2e-05
scene-0071-easy-00,ideal,32,8.0,8.074,-0.0009,0.00793,7.982,0,0,23.55444,-7e-05,-4e-05,1e-05,-0.00426,0.13397,0.00366
scene-0071-easy-00,ideal,33,8.25,8.334,0.0042,-0.00291,8.41,0,0,23.46571,-0.00078,0.00036,-1e-05,-0.03461,-0.04958,-0.0098
scene-0071-easy-00,ideal,34,8.5,8.451,0.0029,-0.00622,8.79,0,0,23.26379,0.00087,-0.00038,0.00011,0.01349,-0.16124,0.00043
scene-0071-easy-00,ideal,35,8.75,7.825,-0.0369,-0.01349,7.582,0,0,23.04066,-0.00038,0.00057,7e-05,0.01642,-0.0632,0.0034
scene-0071-easy-00,ideal,36,9.0,7.205,0.004,0.00403,6.815,0,0,23.01323,0.0001,-0.00036,-4e-05,0.00602,0.04597,0.00224
scene-0071-easy-00,ideal,37,9.25,7.322,0.0129,0.05238,9.12,0,0,23.0347,0.00037,-0.00019,-2e-05,-0.01206,0.08412,-0.00136
scene-0071-easy-00,ideal,38,9.5,7.87,0.0067,-0.01349,8.993,0,0,22.8464,0.00039,-1e-05,9e-05,-0.01257,0.11211,-0.00227
scene-0071-easy-00,ideal,39,9.75,8.291,-0.0095,-0.01644,8.881,0,0,22.42704,0.00028,-0.00024,9e-05,0.00187,0.00148,0.00047
scene-0071-easy-00,ideal,40,10.0,8.432,-0.0086,-0.00988,8.755,0,0,21.86716,-0.00107,-6e-05,-0.00013,-0.0004,-0.13811,-0.00052
scene-0071-easy-00,ideal,41,10.25,8.038,0.0023,0.00631,7.888,0,0,21.22205,0.00077,0.00072,0.00012,-0.00592,-0.04911,-0.00099
scene-0071-easy-00,ideal,42,10.5,7.405,-0.0057,0.00505,7.309,0,0,20.70722,-0.0001,-0.00039,0.00012,-0.01204,0.0708,-0.00321
scene-0071-easy-00,ideal,43,10.75,7.373,-0.0081,-0.00342,7.908,0,0,20.23677,0.00026,0.00031,-0.0001,-0.00713,0.03974,0.00129
scene-0071-easy-00,ideal,44,11.0,7.725,-0.01,0.0043,7.838,0,0,19.58756,-0.00025,-0.00046,-6e-05,-0.032,0.02261,-0.00858
scene-0071-easy-00,ideal,45,11.25,7.75,-0.0062,0.00749,7.691,0,0,18.82924,0.00036,-0.00029,7e-05,-0.00151,-0.00958,0.00064
scene-0071-easy-00,ideal,46,11.5,7.606,-0.0316,-0.00143,7.58,0,0,17.97657,-0.00058,0.0004,7e-05,-0.01062,-0.00228,-0.00302
scene-0071-easy-00,ideal,47,11.75,7.324,-0.0007,-0.02325,7.354,0,0,17.09616,0.00023,9e-05,-8e-05,-0.00192,0.01285,8e-05
scene-0071-easy-00,ideal,48,12.0,7.086,-0.0106,0.03926,7.086,0,0,16.21334,-0.00052,0.0002,0.0,-0.00662,0.00675,-0.00194
scene-0071-easy-00,ideal,49,12.25,6.889,-0.0022,0.01026,6.879,0,0,15.31162,0.00039,0.00019,1e-05,0.01303,0.00872,-0.0002
scene-0071-easy-00,ideal,50,12.5,6.642,-0.0069,0.00689,6.616,0,0,14.43712,0.00018,-0.00018,2e-05,0.04203,0.00993,0.01222
scene-0071-easy-00,ideal,51,12.75,6.382,0.0118,0.01139,6.364,0,0,13.59994,0.00023,-0.00031,-2e-05,-0.00286,-0.01081,0.00383
scene-0071-easy-00,ideal,52,13.0,6.106,0.0406,0.00886,6.098,0,0,12.8053,-0.00016,-6e-05,9e-05,-0.03777,-0.02167,-0.01412
scene-0071-easy-00,ideal,53,13.25,5.756,-0.0024,0.02768,5.8,0,0,12.07636,-0.00055,-4e-05,-0.0001,,,
scene-0071-easy-00,ideal,54,13.5,5.422,-0.0364,-0.02658,5.321,0,0,11.42848,,,,,,
scene-0071-easy-00,official,0,0,1.0,0.0,0.05698,8.626,0,0,11.98775,0.01612,0.11012,0.05929,0.046,0.285,0.08365
scene-0071-easy-00,official,1,0.25,1.743,0.0248,0.05948,8.671,0,0,14.21601,0.12269,0.117,0.15156,0.16842,0.29804,0.02034
scene-0071-easy-00,official,2,0.5,2.493,0.0619,0.07445,8.736,0,0,16.46563,0.09747,0.1205,0.09633,0.13441,0.30663,-0.00621
scene-0071-easy-00,official,3,0.75,3.243,0.1653,-0.05425,8.433,0,0,18.58031,0.03713,0.1156,0.00732,0.01312,0.29062,-0.02836
scene-0071-easy-00,official,4,1.0,3.993,0.0772,-0.18129,8.829,0,0,20.54252,-0.06089,0.11352,-0.03275,-0.09596,0.27914,0.00072
scene-0071-easy-00,official,5,1.25,4.718,0.0366,-0.12736,9.426,0,0,22.36607,-0.10975,0.09572,-0.03568,-0.12866,0.27172,0.03842
scene-0071-easy-00,official,6,1.5,5.436,-0.136,-0.09535,9.802,0,0,23.78578,0.04032,0.12431,0.06041,0.12765,0.2941,0.03241
scene-0071-easy-00,official,7,1.75,6.16,-0.1317,0.06313,10.28,0,0,24.90792,0.02262,0.15397,0.0174,0.07454,0.29228,0.02291
scene-0071-easy-00,official,8,2.0,6.815,0.2256,0.40273,9.527,0,0,25.38163,0.09936,0.15096,0.03871,0.17111,0.25436,0.02171
