base_id,town,family,orig_type,seed,plus,minus,null,source
3074,Town12,HighwayCutIn,HighwayCutIn,1,307411,307421,,bench2drive220
3074,Town12,HighwayCutIn,HighwayCutIn,2,307412,307422,,bench2drive220
3080,Town12,HighwayCutIn,HighwayCutIn,0,308010,308020,308030,bench2drive220
3080,Town12,HighwayCutIn,HighwayCutIn,1,308011,308021,,bench2drive220
3080,Town12,HighwayCutIn,HighwayCutIn,2,308012,308022,,bench2drive220
3144,Town12,Light,VanillaSignalizedTurnEncounterRedLight,0,314410,314420,314430,bench2drive220
3144,Town12,Light,VanillaSignalizedTurnEncounterRedLight,1,314411,314421,,bench2drive220
3144,Town12,Light,VanillaSignalizedTurnEncounterRedLight,2,314412,314422,,bench2drive220
3248,Town13,ParkingCrossingPedestrian,ParkingCrossingPedestrian,0,324810,324820,324830,bench2drive220
3248,Town13,ParkingCrossingPedestrian,ParkingCrossingPedestrian,1,324811,324821,,bench2drive220
3248,Town13,ParkingCrossingPedestrian,ParkingCrossingPedestrian,2,324812,324822,,bench2drive220
3255,Town13,ParkingCrossingPedestrian,ParkingCrossingPedestrian,0,325510,325520,325530,bench2drive220
3255,Town13,ParkingCrossingPedestrian,ParkingCrossingPedestrian,1,325511,325521,,bench2drive220
3255,Town13,ParkingCrossingPedestrian,ParkingCrossingPedestrian,2,325512,325522,,bench2drive220
3540,Town13,HardBreakRoute,HardBreakRoute,0,354010,354020,354030,bench2drive220
3540,Town13,HardBreakRoute,HardBreakRoute,1,354011,354021,,bench2drive220
3540,Town13,HardBreakRoute,HardBreakRoute,2,354012,354022,,bench2drive220
3731,Town13,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,0,373110,373120,373130,bench2drive220
3731,Town13,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,1,373111,373121,,bench2drive220
3731,Town13,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,2,373112,373122,,bench2drive220
3737,Town13,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,0,373710,373720,373730,bench2drive220
3737,Town13,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,1,373711,373721,,bench2drive220
3737,Town13,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,2,373712,373722,,bench2drive220
3813,Town13,HighwayCutIn,HighwayCutIn,0,381310,381320,381330,bench2drive220
3813,Town13,HighwayCutIn,HighwayCutIn,1,381311,381321,,bench2drive220
3813,Town13,HighwayCutIn,HighwayCutIn,2,381312,381322,,bench2drive220
3865,Town13,Light,VanillaSignalizedTurnEncounterRedLight,0,386510,386520,386530,bench2drive220
3865,Town13,Light,VanillaSignalizedTurnEncounterRedLight,1,386511,386521,,bench2drive220
3865,Town13,Light,VanillaSignalizedTurnEncounterRedLight,2,386512,386522,,bench2drive220
3869,Town13,Light,VanillaSignalizedTurnEncounterRedLight,0,386910,386920,386930,bench2drive220
3869,Town13,Light,VanillaSignalizedTurnEncounterRedLight,1,386911,386921,,bench2drive220
3869,Town13,Light,VanillaSignalizedTurnEncounterRedLight,2,386912,386922,,bench2drive220
3876,Town13,Light,VanillaSignalizedTurnEncounterRedLight,0,387610,387620,387630,bench2drive220
3876,Town13,Light,VanillaSignalizedTurnEncounterRedLight,1,387611,387621,,bench2drive220
3876,Town13,Light,VanillaSignalizedTurnEncounterRedLight,2,387612,387622,,bench2drive220
10857,Town12,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,0,1085710,1085720,1085730,bench2drive220
10857,Town12,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,1,1085711,1085721,,bench2drive220
10857,Town12,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,2,1085712,1085722,,bench2drive220
11381,Town12,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,0,1138110,1138120,1138130,bench2drive220
11381,Town12,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,1,1138111,1138121,,bench2drive220
11381,Town12,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,2,1138112,1138122,,bench2drive220
14194,Town12,PedestrianCrossing,PedestrianCrossing,0,1419410,1419420,1419430,bench2drive220
14194,Town12,PedestrianCrossing,PedestrianCrossing,1,1419411,1419421,,bench2drive220
14194,Town12,PedestrianCrossing,PedestrianCrossing,2,1419412,1419422,,bench2drive220
14842,Town12,Light,VanillaSignalizedTurnEncounterGreenLight,0,1484210,1484220,1484230,bench2drive220
14842,Town12,Light,VanillaSignalizedTurnEncounterGreenLight,1,1484211,1484221,,bench2drive220
14842,Town12,Light,VanillaSignalizedTurnEncounterGreenLight,2,1484212,1484222,,bench2drive220
14862,Town12,Light,VanillaSignalizedTurnEncounterGreenLight,0,1486210,1486220,1486230,bench2drive220
14862,Town12,Light,VanillaSignalizedTurnEncounterGreenLight,1,1486211,1486221,,bench2drive220
14862,Town12,Light,VanillaSignalizedTurnEncounterGreenLight,2,1486212,1486222,,bench2drive220
14909,Town12,Light,VanillaSignalizedTurnEncounterGreenLight,0,1490910,1490920,1490930,bench2drive220
14909,Town12,Light,VanillaSignalizedTurnEncounterGreenLight,1,1490911,1490921,,bench2drive220
14909,Town12,Light,VanillaSignalizedTurnEncounterGreenLight,2,1490912,1490922,,bench2drive220
17752,Town12,DynamicObjectCrossing,DynamicObjectCrossing,0,1775210,1775220,1775230,bench2drive220
17752,Town12,DynamicObjectCrossing,DynamicObjectCrossing,1,1775211,1775221,,bench2drive220
17752,Town12,DynamicObjectCrossing,DynamicObjectCrossing,2,1775212,1775222,,bench2drive220
18252,Town12,ParkingCrossingPedestrian,ParkingCrossingPedestrian,0,1825210,1825220,1825230,bench2drive220
18252,Town12,ParkingCrossingPedestrian,ParkingCrossingPedestrian,1,1825211,1825221,,bench2drive220
18252,Town12,ParkingCrossingPedestrian,ParkingCrossingPedestrian,2,1825212,1825222,,bench2drive220
18305,Town12,ParkingCutIn,ParkingCutIn,0,1830510,1830520,1830530,bench2drive220
18305,Town12,ParkingCutIn,ParkingCutIn,1,1830511,1830521,,bench2drive220
18305,Town12,ParkingCutIn,ParkingCutIn,2,1830512,1830522,,bench2drive220
18311,Town12,ParkingCutIn,ParkingCutIn,0,1831110,1831120,1831130,bench2drive220
18311,Town12,ParkingCutIn,ParkingCutIn,1,1831111,1831121,,bench2drive220
18311,Town12,ParkingCutIn,ParkingCutIn,2,1831112,1831122,,bench2drive220
18356,Town12,ParkingCutIn,ParkingCutIn,0,1835610,1835620,1835630,bench2drive220
18356,Town12,ParkingCutIn,ParkingCutIn,1,1835611,1835621,,bench2drive220
18356,Town12,ParkingCutIn,ParkingCutIn,2,1835612,1835622,,bench2drive220
24206,Town03,ParkingCrossingPedestrian,ParkingCrossingPedestrian,0,2420610,2420620,2420630,bench2drive220
24206,Town03,ParkingCrossingPedestrian,ParkingCrossingPedestrian,1,2420611,2420621,,bench2drive220
24206,Town03,ParkingCrossingPedestrian,ParkingCrossingPedestrian,2,2420612,2420622,,bench2drive220
24211,Town01,DynamicObjectCrossing,DynamicObjectCrossing,0,2421110,2421120,2421130,bench2drive220
24211,Town01,DynamicObjectCrossing,DynamicObjectCrossing,1,2421111,2421121,,bench2drive220
24211,Town01,DynamicObjectCrossing,DynamicObjectCrossing,2,2421112,2421122,,bench2drive220
24224,Town02,DynamicObjectCrossing,DynamicObjectCrossing,0,2422410,2422420,2422430,bench2drive220
24224,Town02,DynamicObjectCrossing,DynamicObjectCrossing,1,2422411,2422421,,bench2drive220
24224,Town02,DynamicObjectCrossing,DynamicObjectCrossing,2,2422412,2422422,,bench2drive220
24252,Town11,DynamicObjectCrossing,DynamicObjectCrossing,0,2425210,2425220,2425230,bench2drive220
24252,Town11,DynamicObjectCrossing,DynamicObjectCrossing,1,2425211,2425221,,bench2drive220
24252,Town11,DynamicObjectCrossing,DynamicObjectCrossing,2,2425212,2425222,,bench2drive220
24294,Town02,ParkingCrossingPedestrian,ParkingCrossingPedestrian,0,2429410,2429420,2429430,bench2drive220
24294,Town02,ParkingCrossingPedestrian,ParkingCrossingPedestrian,1,2429411,2429421,,bench2drive220
24294,Town02,ParkingCrossingPedestrian,ParkingCrossingPedestrian,2,2429412,2429422,,bench2drive220
24330,Town10HD,HardBreakRoute,HardBreakRoute,0,2433010,2433020,2433030,bench2drive220
24330,Town10HD,HardBreakRoute,HardBreakRoute,1,2433011,2433021,,bench2drive220
24330,Town10HD,HardBreakRoute,HardBreakRoute,2,2433012,2433022,,bench2drive220
24333,Town15,DynamicObjectCrossing,DynamicObjectCrossing,0,2433310,2433320,2433330,bench2drive220
24333,Town15,DynamicObjectCrossing,DynamicObjectCrossing,1,2433311,2433321,,bench2drive220
24333,Town15,DynamicObjectCrossing,DynamicObjectCrossing,2,2433312,2433322,,bench2drive220
24759,Town05,ParkingCutIn,ParkingCutIn,0,2475910,2475920,2475930,bench2drive220
24759,Town05,ParkingCutIn,ParkingCutIn,1,2475911,2475921,,bench2drive220
24759,Town05,ParkingCutIn,ParkingCutIn,2,2475912,2475922,,bench2drive220
24781,Town01,HardBreakRoute,HardBreakRoute,0,2478110,2478120,2478130,bench2drive220
24781,Town01,HardBreakRoute,HardBreakRoute,1,2478111,2478121,,bench2drive220
24781,Town01,HardBreakRoute,HardBreakRoute,2,2478112,2478122,,bench2drive220
25358,Town06,StaticCutIn,StaticCutIn,0,2535810,2535820,2535830,bench2drive220
25358,Town06,StaticCutIn,StaticCutIn,1,2535811,2535821,,bench2drive220
25358,Town06,StaticCutIn,StaticCutIn,2,2535812,2535822,,bench2drive220
25863,Town07,PedestrianCrossing,PedestrianCrossing,0,2586310,2586320,2586330,bench2drive220
25863,Town07,PedestrianCrossing,PedestrianCrossing,1,2586311,2586321,,bench2drive220
25863,Town07,PedestrianCrossing,PedestrianCrossing,2,2586312,2586322,,bench2drive220
25968,Town07,Light,VanillaSignalizedTurnEncounterGreenLight,0,2596810,2596820,2596830,bench2drive220
25968,Town07,Light,VanillaSignalizedTurnEncounterGreenLight,1,2596811,2596821,,bench2drive220
25968,Town07,Light,VanillaSignalizedTurnEncounterGreenLight,2,2596812,2596822,,bench2drive220
25975,Town07,Light,VanillaSignalizedTurnEncounterGreenLight,0,2597510,2597520,2597530,bench2drive220
25975,Town07,Light,VanillaSignalizedTurnEncounterGreenLight,1,2597511,2597521,,bench2drive220
25975,Town07,Light,VanillaSignalizedTurnEncounterGreenLight,2,2597512,2597522,,bench2drive220
26396,Town05,StaticCutIn,StaticCutIn,0,2639610,2639620,2639630,bench2drive220
26396,Town05,StaticCutIn,StaticCutIn,1,2639611,2639621,,bench2drive220
26396,Town05,StaticCutIn,StaticCutIn,2,2639612,2639622,,bench2drive220
26405,Town15,StaticCutIn,StaticCutIn,0,2640510,2640520,2640530,bench2drive220
26405,Town15,StaticCutIn,StaticCutIn,1,2640511,2640521,,bench2drive220
26405,Town15,StaticCutIn,StaticCutIn,2,2640512,2640522,,bench2drive220
26406,Town04,HardBreakRoute,HardBreakRoute,0,2640610,2640620,2640630,bench2drive220
26406,Town04,HardBreakRoute,HardBreakRoute,1,2640611,2640621,,bench2drive220
26406,Town04,HardBreakRoute,HardBreakRoute,2,2640612,2640622,,bench2drive220
26456,Town03,HardBreakRoute,HardBreakRoute,0,2645610,2645620,2645630,bench2drive220
26456,Town03,HardBreakRoute,HardBreakRoute,1,2645611,2645621,,bench2drive220
26456,Town03,HardBreakRoute,HardBreakRoute,2,2645612,2645622,,bench2drive220
26944,Town04,OppositeVehicleRunningRedLight,OppositeVehicleRunningRedLight,0,2694410,2694420,2694430,bench2drive220
26944,Town04,OppositeVehicleRunningRedLight,OppositeVehicleRunningRedLight,1,2694411,2694421,,bench2drive220
26944,Town04,OppositeVehicleRunningRedLight,OppositeVehicleRunningRedLight,2,2694412,2694422,,bench2drive220
26950,Town03,OppositeVehicleRunningRedLight,OppositeVehicleRunningRedLight,0,2695010,2695020,2695030,bench2drive220
26950,Town03,OppositeVehicleRunningRedLight,OppositeVehicleRunningRedLight,1,2695011,2695021,,bench2drive220
26950,Town03,OppositeVehicleRunningRedLight,OppositeVehicleRunningRedLight,2,2695012,2695022,,bench2drive220
27515,Town03,PedestrianCrossing,PedestrianCrossing,0,2751510,2751520,2751530,bench2drive220
27515,Town03,PedestrianCrossing,PedestrianCrossing,1,2751511,2751521,,bench2drive220
27515,Town03,PedestrianCrossing,PedestrianCrossing,2,2751512,2751522,,bench2drive220
27529,Town04,PedestrianCrossing,PedestrianCrossing,0,2752910,2752920,2752930,bench2drive220
27529,Town04,PedestrianCrossing,PedestrianCrossing,1,2752911,2752921,,bench2drive220
27529,Town04,PedestrianCrossing,PedestrianCrossing,2,2752912,2752922,,bench2drive220
27582,Town11,PedestrianCrossing,PedestrianCrossing,0,2758210,2758220,2758230,bench2drive220
27582,Town11,PedestrianCrossing,PedestrianCrossing,1,2758211,2758221,,bench2drive220
27582,Town11,PedestrianCrossing,PedestrianCrossing,2,2758212,2758222,,bench2drive220
22535,Town12,StaticCutIn,StaticCutIn,0,2253510,2253520,2253530,bench2drive_0.0.4_val
22535,Town12,StaticCutIn,StaticCutIn,1,2253511,2253521,,bench2drive_0.0.4_val
22535,Town12,StaticCutIn,StaticCutIn,2,2253512,2253522,,bench2drive_0.0.4_val
22983,Town12,HardBreakRoute,HardBreakRoute,0,2298310,2298320,2298330,bench2drive_0.0.4_val
22983,Town12,HardBreakRoute,HardBreakRoute,1,2298311,2298321,,bench2drive_0.0.4_val
22983,Town12,HardBreakRoute,HardBreakRoute,2,2298312,2298322,,bench2drive_0.0.4_val
3483,Town13,StaticCutIn,StaticCutIn,0,348310,348320,348330,bench2drive_0.0.4_val
3483,Town13,StaticCutIn,StaticCutIn,1,348311,348321,,bench2drive_0.0.4_val
3483,Town13,StaticCutIn,StaticCutIn,2,348312,348322,,bench2drive_0.0.4_val
17749,Town12,DynamicObjectCrossing,DynamicObjectCrossing,0,1774910,1774920,1774930,bench2drive_0.0.4_val
17749,Town12,DynamicObjectCrossing,DynamicObjectCrossing,1,1774911,1774921,,bench2drive_0.0.4_val
17749,Town12,DynamicObjectCrossing,DynamicObjectCrossing,2,1774912,1774922,,bench2drive_0.0.4_val
18073,Town12,DynamicObjectCrossing,DynamicObjectCrossing,0,1807310,1807320,1807330,bench2drive_0.0.4_val
18073,Town12,DynamicObjectCrossing,DynamicObjectCrossing,1,1807311,1807321,,bench2drive_0.0.4_val
18073,Town12,DynamicObjectCrossing,DynamicObjectCrossing,2,1807312,1807322,,bench2drive_0.0.4_val
16390,Town12,Light,VanillaSignalizedTurnEncounterRedLight,0,1639010,1639020,1639030,bench2drive_0.0.4_val
16390,Town12,Light,VanillaSignalizedTurnEncounterRedLight,1,1639011,1639021,,bench2drive_0.0.4_val
16390,Town12,Light,VanillaSignalizedTurnEncounterRedLight,2,1639012,1639022,,bench2drive_0.0.4_val
24416,Town03,ParkingCutIn,ParkingCutIn,0,2441610,2441620,2441630,bench2drive_0.0.4_val
24416,Town03,ParkingCutIn,ParkingCutIn,1,2441611,2441621,,bench2drive_0.0.4_val
24416,Town03,ParkingCutIn,ParkingCutIn,2,2441612,2441622,,bench2drive_0.0.4_val
24721,Town01,HardBreakRoute,HardBreakRoute,0,2472110,2472120,2472130,bench2drive_0.0.4_val
24721,Town01,HardBreakRoute,HardBreakRoute,1,2472111,2472121,,bench2drive_0.0.4_val
24721,Town01,HardBreakRoute,HardBreakRoute,2,2472112,2472122,,bench2drive_0.0.4_val
18344,Town12,ParkingCutIn,ParkingCutIn,0,1834410,1834420,1834430,bench2drive_0.0.4_val
18344,Town12,ParkingCutIn,ParkingCutIn,1,1834411,1834421,,bench2drive_0.0.4_val
18344,Town12,ParkingCutIn,ParkingCutIn,2,1834412,1834422,,bench2drive_0.0.4_val
11177,Town12,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,0,1117710,1117720,1117730,bench2drive_0.0.4_val
11177,Town12,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,1,1117711,1117721,,bench2drive_0.0.4_val
11177,Town12,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,2,1117712,1117722,,bench2drive_0.0.4_val
3816,Town13,HighwayCutIn,HighwayCutIn,0,381610,381620,381630,bench2drive_0.0.4_val
3816,Town13,HighwayCutIn,HighwayCutIn,1,381611,381621,,bench2drive_0.0.4_val
3816,Town13,HighwayCutIn,HighwayCutIn,2,381612,381622,,bench2drive_0.0.4_val
13674,Town12,PedestrianCrossing,PedestrianCrossing,0,1367410,1367420,1367430,bench2drive_0.0.4_val
13674,Town12,PedestrianCrossing,PedestrianCrossing,1,1367411,1367421,,bench2drive_0.0.4_val
13674,Town12,PedestrianCrossing,PedestrianCrossing,2,1367412,1367422,,bench2drive_0.0.4_val
22651,Town12,HardBreakRoute,HardBreakRoute,0,2265110,2265120,2265130,bench2drive_0.0.4_val
22651,Town12,HardBreakRoute,HardBreakRoute,1,2265111,2265121,,bench2drive_0.0.4_val
22651,Town12,HardBreakRoute,HardBreakRoute,2,2265112,2265122,,bench2drive_0.0.4_val
18174,Town12,DynamicObjectCrossing,DynamicObjectCrossing,0,1817410,1817420,1817430,bench2drive_0.0.4_val
18174,Town12,DynamicObjectCrossing,DynamicObjectCrossing,1,1817411,1817421,,bench2drive_0.0.4_val
18174,Town12,DynamicObjectCrossing,DynamicObjectCrossing,2,1817412,1817422,,bench2drive_0.0.4_val
23842,Town12,HighwayCutIn,HighwayCutIn,0,2384210,2384220,2384230,bench2drive_0.0.4_val
23842,Town12,HighwayCutIn,HighwayCutIn,1,2384211,2384221,,bench2drive_0.0.4_val
23842,Town12,HighwayCutIn,HighwayCutIn,2,2384212,2384222,,bench2drive_0.0.4_val
22531,Town12,StaticCutIn,StaticCutIn,0,2253110,2253120,2253130,bench2drive_0.0.4_val
22531,Town12,StaticCutIn,StaticCutIn,1,2253111,2253121,,bench2drive_0.0.4_val
22531,Town12,StaticCutIn,StaticCutIn,2,2253112,2253122,,bench2drive_0.0.4_val
2299,Town12,HighwayCutIn,HighwayCutIn,0,229910,229920,229930,bench2drive_0.0.4_val
2299,Town12,HighwayCutIn,HighwayCutIn,1,229911,229921,,bench2drive_0.0.4_val
2299,Town12,HighwayCutIn,HighwayCutIn,2,229912,229922,,bench2drive_0.0.4_val
3740,Town13,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,0,374010,374020,374030,bench2drive_0.0.4_val
3740,Town13,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,1,374011,374021,,bench2drive_0.0.4_val
3740,Town13,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,2,374012,374022,,bench2drive_0.0.4_val
15102,Town12,Light,VanillaSignalizedTurnEncounterGreenLight,0,1510210,1510220,1510230,bench2drive_0.0.4_val
15102,Town12,Light,VanillaSignalizedTurnEncounterGreenLight,1,1510211,1510221,,bench2drive_0.0.4_val
15102,Town12,Light,VanillaSignalizedTurnEncounterGreenLight,2,1510212,1510222,,bench2drive_0.0.4_val
11333,Town12,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,0,1133310,1133320,1133330,bench2drive_0.0.4_val
11333,Town12,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,1,1133311,1133321,,bench2drive_0.0.4_val
11333,Town12,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,2,1133312,1133322,,bench2drive_0.0.4_val
15612,Town12,Light,VanillaSignalizedTurnEncounterRedLight,0,1561210,1561220,1561230,bench2drive_0.0.4_val
15612,Town12,Light,VanillaSignalizedTurnEncounterRedLight,1,1561211,1561221,,bench2drive_0.0.4_val
15612,Town12,Light,VanillaSignalizedTurnEncounterRedLight,2,1561212,1561222,,bench2drive_0.0.4_val
24519,Town05,ParkingCrossingPedestrian,ParkingCrossingPedestrian,0,2451910,2451920,2451930,bench2drive_0.0.4_val
24519,Town05,ParkingCrossingPedestrian,ParkingCrossingPedestrian,1,2451911,2451921,,bench2drive_0.0.4_val
24519,Town05,ParkingCrossingPedestrian,ParkingCrossingPedestrian,2,2451912,2451922,,bench2drive_0.0.4_val
6673,Town12,OppositeVehicleRunningRedLight,OppositeVehicleRunningRedLight,0,667310,667320,667330,bench2drive_0.0.4_val
6673,Town12,OppositeVehicleRunningRedLight,OppositeVehicleRunningRedLight,1,667311,667321,,bench2drive_0.0.4_val
6673,Town12,OppositeVehicleRunningRedLight,OppositeVehicleRunningRedLight,2,667312,667322,,bench2drive_0.0.4_val
23697,Town12,HighwayCutIn,HighwayCutIn,0,2369710,2369720,2369730,bench2drive_0.0.4_val
23697,Town12,HighwayCutIn,HighwayCutIn,1,2369711,2369721,,bench2drive_0.0.4_val
23697,Town12,HighwayCutIn,HighwayCutIn,2,2369712,2369722,,bench2drive_0.0.4_val
17921,Town12,DynamicObjectCrossing,DynamicObjectCrossing,0,1792110,1792120,1792130,bench2drive_0.0.4_val
17921,Town12,DynamicObjectCrossing,DynamicObjectCrossing,1,1792111,1792121,,bench2drive_0.0.4_val
17921,Town12,DynamicObjectCrossing,DynamicObjectCrossing,2,1792112,1792122,,bench2drive_0.0.4_val
17892,Town12,DynamicObjectCrossing,DynamicObjectCrossing,0,1789210,1789220,1789230,bench2drive_0.0.4_val
17892,Town12,DynamicObjectCrossing,DynamicObjectCrossing,1,1789211,1789221,,bench2drive_0.0.4_val
17892,Town12,DynamicObjectCrossing,DynamicObjectCrossing,2,1789212,1789222,,bench2drive_0.0.4_val
14955,Town12,Light,VanillaSignalizedTurnEncounterGreenLight,0,1495510,1495520,1495530,bench2drive_0.0.4_val
14955,Town12,Light,VanillaSignalizedTurnEncounterGreenLight,1,1495511,1495521,,bench2drive_0.0.4_val
14955,Town12,Light,VanillaSignalizedTurnEncounterGreenLight,2,1495512,1495522,,bench2drive_0.0.4_val
11215,Town12,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,0,1121510,1121520,1121530,bench2drive_0.0.4_val
11215,Town12,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,1,1121511,1121521,,bench2drive_0.0.4_val
11215,Town12,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,2,1121512,1121522,,bench2drive_0.0.4_val
24679,Town05,ParkingCutIn,ParkingCutIn,0,2467910,2467920,2467930,bench2drive_0.0.4_val
24679,Town05,ParkingCutIn,ParkingCutIn,1,2467911,2467921,,bench2drive_0.0.4_val
24679,Town05,ParkingCutIn,ParkingCutIn,2,2467912,2467922,,bench2drive_0.0.4_val
15071,Town12,Light,VanillaSignalizedTurnEncounterGreenLight,0,1507110,1507120,1507130,bench2drive_0.0.4_val
15071,Town12,Light,VanillaSignalizedTurnEncounterGreenLight,1,1507111,1507121,,bench2drive_0.0.4_val
15071,Town12,Light,VanillaSignalizedTurnEncounterGreenLight,2,1507112,1507122,,bench2drive_0.0.4_val
3502,Town13,StaticCutIn,StaticCutIn,0,350210,350220,350230,bench2drive_0.0.4_val
3502,Town13,StaticCutIn,StaticCutIn,1,350211,350221,,bench2drive_0.0.4_val
3502,Town13,StaticCutIn,StaticCutIn,2,350212,350222,,bench2drive_0.0.4_val
22331,Town12,StaticCutIn,StaticCutIn,0,2233110,2233120,2233130,bench2drive_0.0.4_val
22331,Town12,StaticCutIn,StaticCutIn,1,2233111,2233121,,bench2drive_0.0.4_val
22331,Town12,StaticCutIn,StaticCutIn,2,2233112,2233122,,bench2drive_0.0.4_val
14382,Town12,PedestrianCrossing,PedestrianCrossing,0,1438210,1438220,1438230,bench2drive_0.0.4_val
14382,Town12,PedestrianCrossing,PedestrianCrossing,1,1438211,1438221,,bench2drive_0.0.4_val
14382,Town12,PedestrianCrossing,PedestrianCrossing,2,1438212,1438222,,bench2drive_0.0.4_val
10791,Town12,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,0,1079110,1079120,1079130,bench2drive_0.0.4_val
10791,Town12,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,1,1079111,1079121,,bench2drive_0.0.4_val
10791,Town12,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,2,1079112,1079122,,bench2drive_0.0.4_val
10552,Town12,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,0,1055210,1055220,1055230,bench2drive_0.0.4_val
10552,Town12,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,1,1055211,1055221,,bench2drive_0.0.4_val
10552,Town12,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,2,1055212,1055222,,bench2drive_0.0.4_val
17965,Town12,DynamicObjectCrossing,DynamicObjectCrossing,0,1796510,1796520,1796530,bench2drive_0.0.4_val
17965,Town12,DynamicObjectCrossing,DynamicObjectCrossing,1,1796511,1796521,,bench2drive_0.0.4_val
17965,Town12,DynamicObjectCrossing,DynamicObjectCrossing,2,1796512,1796522,,bench2drive_0.0.4_val
