base_id,scenario,cls,seed,k,mode_x10,mode_x00
24816,Accident,1W,0,273,,
25381,HazardAtSideLane,1W,0,5,keep,keep
25381,HazardAtSideLane,1W,0,9,keep,keep
25381,HazardAtSideLane,1W,0,13,keep,keep
25381,HazardAtSideLane,1W,0,17,keep,keep
25381,HazardAtSideLane,1W,0,21,stop,keep
25381,HazardAtSideLane,1W,0,25,keep,keep
25381,HazardAtSideLane,1W,0,29,keep,keep
25381,HazardAtSideLane,1W,0,33,keep,keep
25381,HazardAtSideLane,1W,0,37,keep,keep
25381,HazardAtSideLane,1W,0,41,curve_or_other,keep
25381,HazardAtSideLane,1W,0,45,curve_or_other,keep
25381,HazardAtSideLane,1W,0,49,curve_or_other,keep
25381,HazardAtSideLane,1W,0,53,curve_or_other,keep
25381,HazardAtSideLane,1W,0,57,curve_or_other,keep
25381,HazardAtSideLane,1W,0,61,curve_or_other,keep
25381,HazardAtSideLane,1W,0,65,curve_or_other,keep
25381,HazardAtSideLane,1W,0,69,curve_or_other,keep
25381,HazardAtSideLane,1W,0,73,turn,keep
25381,HazardAtSideLane,1W,0,77,turn,keep
25381,HazardAtSideLane,1W,0,81,curve_or_other,keep
25381,HazardAtSideLane,1W,0,85,curve_or_other,keep
25381,HazardAtSideLane,1W,0,89,curve_or_other,keep
25381,HazardAtSideLane,1W,0,93,curve_or_other,keep
25381,HazardAtSideLane,1W,0,97,lane_change,keep
25381,HazardAtSideLane,1W,0,101,lane_change,keep
25381,HazardAtSideLane,1W,0,105,lane_change,keep
25381,HazardAtSideLane,1W,0,109,lane_change,keep
25381,HazardAtSideLane,1W,0,113,lane_change,keep
25381,HazardAtSideLane,1W,0,117,lane_change,keep
25381,HazardAtSideLane,1W,0,121,lane_change,
25381,HazardAtSideLane,1W,0,125,lane_change,
25381,HazardAtSideLane,1W,0,129,lane_change,
25381,HazardAtSideLane,1W,0,133,curve_or_other,
25381,HazardAtSideLane,1W,0,137,curve_or_other,
25381,HazardAtSideLane,1W,0,141,turn,
25381,HazardAtSideLane,1W,0,145,turn,
25381,HazardAtSideLane,1W,0,149,turn,
25381,HazardAtSideLane,1W,0,153,turn,
25381,HazardAtSideLane,1W,0,157,turn,
25381,HazardAtSideLane,1W,0,161,curve_or_other,
25381,HazardAtSideLane,1W,0,165,curve_or_other,
25381,HazardAtSideLane,1W,0,169,turn,
25381,HazardAtSideLane,1W,0,173,turn,
25381,HazardAtSideLane,1W,0,177,curve_or_other,
25381,HazardAtSideLane,1W,0,181,curve_or_other,
25381,HazardAtSideLane,1W,0,185,curve_or_other,
25381,HazardAtSideLane,1W,0,189,lane_change,
25381,HazardAtSideLane,1W,0,193,,
25381,HazardAtSideLane,1W,0,197,,
25381,HazardAtSideLane,1W,0,201,,
25381,HazardAtSideLane,1W,0,205,,
25381,HazardAtSideLane,1W,0,209,,
25381,HazardAtSideLane,1W,0,213,,
25381,HazardAtSideLane,1W,0,217,,
25381,HazardAtSideLane,1W,0,221,,
25381,HazardAtSideLane,1W,0,225,,
25381,HazardAtSideLane,1W,0,229,,
25381,HazardAtSideLane,1W,0,233,,
25381,HazardAtSideLane,1W,0,237,,
25381,HazardAtSideLane,1W,0,241,,
25381,HazardAtSideLane,1W,0,245,,
25381,HazardAtSideLane,1W,0,249,,
25381,HazardAtSideLane,1W,0,253,,
25381,HazardAtSideLane,1W,0,257,,
25381,HazardAtSideLane,1W,0,261,,
25381,HazardAtSideLane,1W,0,265,,
25381,HazardAtSideLane,1W,0,269,,
25381,HazardAtSideLane,1W,0,273,,
25381,HazardAtSideLane,1W,0,277,,
25381,HazardAtSideLane,1W,0,281,,
25381,HazardAtSideLane,1W,0,285,,
25381,HazardAtSideLane,1W,0,289,,
25896,ParkedObstacleTwoWays,2W,0,65,stop,keep
25896,ParkedObstacleTwoWays,2W,0,69,stop,keep
25896,ParkedObstacleTwoWays,2W,0,73,stop,keep
25896,ParkedObstacleTwoWays,2W,0,77,stop,keep
25896,ParkedObstacleTwoWays,2W,0,81,stop,keep
25896,ParkedObstacleTwoWays,2W,0,85,stop,keep
25896,ParkedObstacleTwoWays,2W,0,89,stop,keep
25896,ParkedObstacleTwoWays,2W,0,93,stop,keep
25896,ParkedObstacleTwoWays,2W,0,97,stop,keep
25896,ParkedObstacleTwoWays,2W,0,101,stop,keep
25896,ParkedObstacleTwoWays,2W,0,105,stop,keep
25896,ParkedObstacleTwoWays,2W,0,109,stop,keep
25896,ParkedObstacleTwoWays,2W,0,113,keep,keep
25896,ParkedObstacleTwoWays,2W,0,117,keep,keep
25896,ParkedObstacleTwoWays,2W,0,121,curve_or_other,keep
25896,ParkedObstacleTwoWays,2W,0,125,curve_or_other,keep
25896,ParkedObstacleTwoWays,2W,0,129,curve_or_other,keep
25896,ParkedObstacleTwoWays,2W,0,133,curve_or_other,keep
25896,ParkedObstacleTwoWays,2W,0,137,curve_or_other,keep
25896,ParkedObstacleTwoWays,2W,0,141,nudge_return,stop
25896,ParkedObstacleTwoWays,2W,0,145,nudge_return,stop
25896,ParkedObstacleTwoWays,2W,0,149,nudge_return,keep
25896,ParkedObstacleTwoWays,2W,0,153,nudge_return,keep
25896,ParkedObstacleTwoWays,2W,0,157,nudge_return,keep
25896,ParkedObstacleTwoWays,2W,0,161,nudge_return,stop
25896,ParkedObstacleTwoWays,2W,0,165,nudge_return,keep
25896,ParkedObstacleTwoWays,2W,0,169,nudge_return,
25896,ParkedObstacleTwoWays,2W,0,173,nudge_return,
25896,ParkedObstacleTwoWays,2W,0,177,nudge_return,
25896,ParkedObstacleTwoWays,2W,0,181,nudge_return,
25896,ParkedObstacleTwoWays,2W,0,185,nudge_return,
25896,ParkedObstacleTwoWays,2W,0,189,nudge_return,
25896,ParkedObstacleTwoWays,2W,0,193,nudge_return,
25896,ParkedObstacleTwoWays,2W,0,197,nudge_return,
25896,ParkedObstacleTwoWays,2W,0,201,nudge_return,
25896,ParkedObstacleTwoWays,2W,0,205,nudge_return,
25896,ParkedObstacleTwoWays,2W,0,209,nudge_return,
25896,ParkedObstacleTwoWays,2W,0,213,nudge_return,
25896,ParkedObstacleTwoWays,2W,0,217,curve_or_other,
25896,ParkedObstacleTwoWays,2W,0,221,curve_or_other,
25896,ParkedObstacleTwoWays,2W,0,225,curve_or_other,
25896,ParkedObstacleTwoWays,2W,0,229,curve_or_other,
25896,ParkedObstacleTwoWays,2W,0,233,curve_or_other,
25896,ParkedObstacleTwoWays,2W,0,237,keep,
25896,ParkedObstacleTwoWays,2W,0,241,keep,
25896,ParkedObstacleTwoWays,2W,0,245,keep,
25896,ParkedObstacleTwoWays,2W,0,249,stop,
25896,ParkedObstacleTwoWays,2W,0,253,stop,
25896,ParkedObstacleTwoWays,2W,0,257,keep,
25896,ParkedObstacleTwoWays,2W,0,261,keep,
25896,ParkedObstacleTwoWays,2W,0,265,keep,
25896,ParkedObstacleTwoWays,2W,0,269,keep,
25896,ParkedObstacleTwoWays,2W,0,273,stop,
25896,ParkedObstacleTwoWays,2W,0,277,stop,
25896,ParkedObstacleTwoWays,2W,0,281,keep,
25896,ParkedObstacleTwoWays,2W,0,285,,
25896,ParkedObstacleTwoWays,2W,0,289,,
25896,ParkedObstacleTwoWays,2W,0,293,,
25896,ParkedObstacleTwoWays,2W,0,297,,
25896,ParkedObstacleTwoWays,2W,0,301,,
25896,ParkedObstacleTwoWays,2W,0,305,,
25896,ParkedObstacleTwoWays,2W,0,309,,
25896,ParkedObstacleTwoWays,2W,0,313,,
25896,ParkedObstacleTwoWays,2W,0,317,,
25896,ParkedObstacleTwoWays,2W,0,321,,
25896,ParkedObstacleTwoWays,2W,0,325,,
25896,ParkedObstacleTwoWays,2W,0,329,,
25896,ParkedObstacleTwoWays,2W,0,333,,
25896,ParkedObstacleTwoWays,2W,0,337,,
25896,ParkedObstacleTwoWays,2W,0,341,,
25896,ParkedObstacleTwoWays,2W,0,345,,
25896,ParkedObstacleTwoWays,2W,0,349,,
25896,ParkedObstacleTwoWays,2W,0,353,,
25896,ParkedObstacleTwoWays,2W,0,357,,
25896,ParkedObstacleTwoWays,2W,0,361,,
25896,ParkedObstacleTwoWays,2W,0,365,,
25896,ParkedObstacleTwoWays,2W,0,369,,
25896,ParkedObstacleTwoWays,2W,0,373,,
25896,ParkedObstacleTwoWays,2W,0,377,,
25896,ParkedObstacleTwoWays,2W,0,381,,
