condition,status,field,band,baseline,candidate,comparison,limit
G2/17563/candidate-fixed-k/hold_duration,pass,,,,,,
G2/17563/candidate-fixed-k/hold_displacement,pass,,,,,,
G2/17563/candidate-fixed-k/hold_speed,pass,,,,,,
G2/17563/candidate-fixed-k/telemetry_complete,pass,,,,,,
case/17563/candidate-fixed-k/no_invalid_control,pass,,,,,,
case/17563/candidate-fixed-k/complete_frames_and_truth,pass,,,,,,
case/17563/candidate-fixed-k/reason_evidence,pass,,,,,,
case/17563/candidate-fixed-k/common_config_contract,pass,,,,,,
case/17563/candidate-fixed-k/pose_compensation_contract,pass,,,,,,
case/17563/candidate-fixed-k/pose_fields_complete,pass,,,,,,
case/17563/candidate-fixed-k/aim_mode_evidence,pass,,,,,,
G2/24240/baseline-zero/completed,pass,,,,,,
G2/24240/baseline-zero/no_collision,pass,,,,,,
G2/24240/baseline-zero/full_lateral_rms,pass,,,,,,
G2/24240/baseline-zero/full_lateral_p95,pass,,,,,,
G2/24240/baseline-zero/cruise_speed,pass,,,,,,
G2/24240/baseline-zero/pose,pass,,,,,,
G2/24240/baseline-zero/heading,pass,,,,,,
G2/24240/baseline-zero/endpoint,pass,,,,,,
G2/24240/baseline-zero/hold_duration,pass,,,,,,
G2/24240/baseline-zero/hold_displacement,pass,,,,,,
G2/24240/baseline-zero/hold_speed,pass,,,,,,
G2/24240/baseline-zero/telemetry_complete,pass,,,,,,
case/24240/baseline-zero/no_invalid_control,pass,,,,,,
case/24240/baseline-zero/complete_frames_and_truth,pass,,,,,,
case/24240/baseline-zero/reason_evidence,pass,,,,,,
case/24240/baseline-zero/common_config_contract,pass,,,,,,
case/24240/baseline-zero/pose_compensation_contract,pass,,,,,,
case/24240/baseline-zero/pose_fields_complete,pass,,,,,,
case/24240/baseline-zero/aim_mode_evidence,pass,,,,,,
G2/24240/candidate-fixed-k/completed,pass,,,,,,
G2/24240/candidate-fixed-k/no_collision,pass,,,,,,
G2/24240/candidate-fixed-k/full_lateral_rms,pass,,,,,,
G2/24240/candidate-fixed-k/full_lateral_p95,pass,,,,,,
G2/24240/candidate-fixed-k/cruise_speed,pass,,,,,,
G2/24240/candidate-fixed-k/pose,pass,,,,,,
G2/24240/candidate-fixed-k/heading,pass,,,,,,
G2/24240/candidate-fixed-k/endpoint,pass,,,,,,
G2/24240/candidate-fixed-k/hold_duration,pass,,,,,,
G2/24240/candidate-fixed-k/hold_displacement,pass,,,,,,
G2/24240/candidate-fixed-k/hold_speed,pass,,,,,,
G2/24240/candidate-fixed-k/telemetry_complete,pass,,,,,,
case/24240/candidate-fixed-k/no_invalid_control,pass,,,,,,
case/24240/candidate-fixed-k/complete_frames_and_truth,pass,,,,,,
case/24240/candidate-fixed-k/reason_evidence,pass,,,,,,
case/24240/candidate-fixed-k/common_config_contract,pass,,,,,,
case/24240/candidate-fixed-k/pose_compensation_contract,pass,,,,,,
case/24240/candidate-fixed-k/pose_fields_complete,pass,,,,,,
case/24240/candidate-fixed-k/aim_mode_evidence,pass,,,,,,
coverage/26966/baseline-zero/1,pass,,,,,,
coverage/26966/candidate-fixed-k/1,pass,,,,,,
turn/26966/1/cte_p95_delta,pass,cte_m_p95_abs,window,0.8492240582260485,0.7121696605960823,<=,0.8992240582260486
turn/26966/1/cte_peak_delta,pass,cte_m_max_abs,window,0.8564581437705158,0.7215588043603051,<=,0.9564581437705157
turn/26966/1/heading_p95_delta,fail,heading_deg_p95_abs,window,4.271546829218098,5.449550739360296,<=,5.271546829218098
turn/26966/1/speed_error_rms_delta,pass,speed_error_mps_rms,window,0.14987791495845978,0.15146736365540814,<=,0.2498779149584598
turn/26966/1/actual_speed_mean_drop,pass,actual_speed_mean_mps,window,7.885128023256182,7.884719571030582,>=,7.685128023256182
turn/26966/1/lateral_accel_p95_ratio,pass,lateral_accel_mps2_p95_abs,window,8.598158694119283,8.922999287277,<=,9.457974563531211
turn/26966/1/emitted_rate_p95_ratio,pass,steer_rate_per_s_p95_abs,window,0.80010558695692,0.8111171004858734,<=,0.9601267043483039
turn/26966/1/primary_cte_rms_15percent,pass,cte_m_rms,window,0.5586937052558099,0.42902121471791116,<=,0.4748896494674384
turn/26966/1/primary_cte_p95_no_increase,pass,cte_m_p95_abs,window,0.8492240582260485,0.7121696605960823,<=,0.8492240582260485
turn/26966/1/post10m_rms_no_increase,pass,cte_m_rms,post10m,0.31704522217735676,0.10164823025767283,<=,0.31704522217735676
coverage/17563/baseline-zero/1,pass,,,,,,
coverage/17563/candidate-fixed-k/1,pass,,,,,,
turn/17563/1/cte_p95_delta,pass,cte_m_p95_abs,window,0.4670307119640378,0.42904376105961,<=,0.5170307119640378
turn/17563/1/cte_peak_delta,pass,cte_m_max_abs,window,0.5862662292077391,0.5465421587372712,<=,0.686266229207739
turn/17563/1/heading_p95_delta,pass,heading_deg_p95_abs,window,3.8667923747290076,3.7047696411926427,<=,4.866792374729007
turn/17563/1/speed_error_rms_delta,pass,speed_error_mps_rms,window,0.12433694973141789,0.1229812197266457,<=,0.22433694973141788
turn/17563/1/actual_speed_mean_drop,pass,actual_speed_mean_mps,window,5.966108828411489,5.967539060658606,>=,5.766108828411489
turn/17563/1/lateral_accel_p95_ratio,pass,lateral_accel_mps2_p95_abs,window,5.8278060058439305,6.051393198884528,<=,6.410586606428324
turn/17563/1/emitted_rate_p95_ratio,pass,steer_rate_per_s_p95_abs,window,2.0,2.0,<=,2.4
turn/17563/1/cte_rms_delta,pass,cte_m_rms,window,0.22524996129433336,0.20977379741485228,<=,0.25524996129433336
coverage/17563/baseline-zero/2,pass,,,,,,
coverage/17563/candidate-fixed-k/2,pass,,,,,,
turn/17563/2/cte_p95_delta,pass,cte_m_p95_abs,window,0.4835864785848576,0.4791507753215066,<=,0.5335864785848576
turn/17563/2/cte_peak_delta,pass,cte_m_max_abs,window,0.5617301049506033,0.5673138635608757,<=,0.6617301049506032
turn/17563/2/heading_p95_delta,pass,heading_deg_p95_abs,window,5.773899005711279,5.839462856724267,<=,6.773899005711279
turn/17563/2/speed_error_rms_delta,pass,speed_error_mps_rms,window,0.14884672560768292,0.13394254442142128,<=,0.24884672560768292
turn/17563/2/actual_speed_mean_drop,pass,actual_speed_mean_mps,window,6.00115055859443,6.0017874940528975,>=,5.80115055859443
turn/17563/2/lateral_accel_p95_ratio,pass,lateral_accel_mps2_p95_abs,window,6.907109573218639,6.417399725842235,<=,7.5978205305405035
turn/17563/2/emitted_rate_p95_ratio,pass,steer_rate_per_s_p95_abs,window,2.0,2.0,<=,2.4
turn/17563/2/cte_rms_delta,pass,cte_m_rms,window,0.2734101602558478,0.2620142738948782,<=,0.30341016025584777
coverage/24240/baseline-zero/1,pass,,,,,,
coverage/24240/candidate-fixed-k/1,pass,,,,,,
turn/24240/1/cte_p95_delta,pass,cte_m_p95_abs,window,0.17990790927514175,0.11379308115705201,<=,0.22990790927514176
turn/24240/1/cte_peak_delta,pass,cte_m_max_abs,window,0.18263325542188472,0.1177985368156166,<=,0.2826332554218847
turn/24240/1/heading_p95_delta,pass,heading_deg_p95_abs,window,1.7011047879041499,1.9253380072184805,<=,2.70110478790415
turn/24240/1/speed_error_rms_delta,pass,speed_error_mps_rms,window,0.15322330478854518,0.15323862304354727,<=,0.25322330478854516
turn/24240/1/actual_speed_mean_drop,pass,actual_speed_mean_mps,window,7.882531342060794,7.882568095938848,>=,7.682531342060794
turn/24240/1/lateral_accel_p95_ratio,pass,lateral_accel_mps2_p95_abs,window,1.9532004894671726,2.0075249326365756,<=,2.14852053841389
turn/24240/1/emitted_rate_p95_ratio,pass,steer_rate_per_s_p95_abs,window,0.2183799830629378,0.20879769600728945,<=,0.26205597967552535
turn/24240/1/cte_rms_delta,pass,cte_m_rms,window,0.10780673813751082,0.0784337393759992,<=,0.13780673813751082
