row,key,attn,n_samples,n_sets,max_gen,flow_steps,no_reasoning,expert_graph,compile,static_cache,top_p,temperature,warmup_s,n_runs,p50_ms,p99_ms,mean_ms,nohook_p50_ms,prompt_tokens,vision_ms,prefill_ms,decode_ms,flow_ms,other_ms,decode_tokens,ms_per_token,peak_alloc_gb,peak_reserved_gb,gpu_util_before,gpu_others_before,gpu_others_after,graph_stats,error,drift_ade_m,cot_identical,minade_vs_gt_m,run
sdpa + compile-visual+expert,sdpa + compile-visual+expert/n1,sdpa,1.0,1.0,256.0,10.0,False,False,"('visual', 'expert')",False,0.98,0.6,209.19550013542175,16.0,786.0740600153804,841.8552138842642,764.2333981348202,754.1320510208607,3086.0,90.74252529535444,165.88248824700713,300.427446141839,160.68848228314891,46.492456167470664,15.875,18.93123775365678,43.60427522659302,44.71484375,2.0,[],[],,,0.0128537025302648,1.0,1.6276699304580688,bench1
sdpa + compile-visual+expert,sdpa + compile-visual+expert/n6,sdpa,6.0,1.0,256.0,10.0,False,False,"('visual', 'expert')",False,0.98,0.6,4.902118444442749,16.0,2401.734623592347,2441.772607155144,2371.019273705315,2343.582633882761,3086.0,517.9902886739001,1039.479691768065,328.6956084193662,408.1691289320588,76.68455591192469,16.75,19.62270753216132,30.06436967849731,31.294921875,10.0,[],[],,,0.0146816056221723,1.0,0.6205689907073975,bench1
sdpa + static-kv-cache,sdpa + static-kv-cache/n1,sdpa,1.0,1.0,256.0,10.0,False,False,(),True,0.98,0.6,,,,,,,,,,,,,,,,,,,,,"RuntimeError: index_copy_(): self and source expected to have the same dtype, but got (self) BFloat16 and (source) Float",,,,bench1
sdpa,sdpa/n1,sdpa,1.0,1.0,256.0,10.0,False,False,(),False,0.98,0.6,1.7488586902618408,16.0,858.7979492731392,974.152698693797,846.1226199869998,864.7226332686841,3086.0,95.353688695468,166.68417991604656,306.4934789435938,229.85071584116668,47.74055659072474,15.875,19.40424110277313,44.14281606674194,45.408203125,0.0,[],[],,,0.0136564904823899,1.0,1.6245465278625488,bench1
sdpa,sdpa/n6,sdpa,6.0,1.0,256.0,10.0,False,False,(),False,0.98,0.6,5.36522364616394,16.0,2658.2667054608464,2700.1502259168774,2629.128922126256,2635.953843127936,3086.0,648.7689281348139,1033.1706918077543,327.53842003876343,543.0511660524644,76.59971609245986,16.75,19.58905194536351,27.26692056655884,29.921875,1.0,[],[],,,0.0161785241216421,1.0,0.6140027046203613,bench1
stack + no-reasoning,stack + no-reasoning/n1,flash_attention_2,1.0,1.0,256.0,5.0,True,False,"('expert',)",False,0.98,0.6,0.7783474922180176,16.0,515.5731216073036,1138.7584076728672,621.9686506665312,496.5905831195414,3087.0,85.42727818712592,174.73703407449648,252.00751941883937,79.49871843447909,30.298100551590323,9.375,27.58349315116649,25.874013900756836,26.9609375,2.0,[],[],,,1.0363438129425049,0.0,1.404739260673523,bench1
stack + no-reasoning,stack + no-reasoning/n6,flash_attention_2,6.0,1.0,256.0,5.0,True,False,"('expert',)",False,0.98,0.6,3.858548641204834,16.0,2032.420167699456,6328.2282104250025,2498.965164006222,2044.4740187376735,3087.0,587.3123307246715,1036.9476103805937,583.9655171730556,206.11689559882507,84.62281012907624,22.8125,25.93465327168624,32.936280250549316,37.03515625,16.0,[],[],,,1.2001478672027588,0.0,0.5231952667236328,bench1
stack: 1-rollout x 6 + compile-expert+flow-5,stack: 1-rollout x 6 + compile-expert+flow-5/n6,flash_attention_2,1.0,6.0,256.0,5.0,False,False,"('expert',)",False,0.98,0.6,,,,,,,,,,,,,,,,,,,,,"RuntimeError: The expanded size of the tensor (1) must match the existing size (6) at non-singleton dimension 0.  Target sizes: [1, 1, 64, 3086].  Tensor sizes: [6, 1, 64, 3086]",,,,bench1
stack: compile-expert+flow-5,stack: compile-expert+flow-5/n1,flash_attention_2,1.0,1.0,256.0,5.0,False,False,"('expert',)",False,0.98,0.6,1.6535630226135254,16.0,839.6975407376885,920.7717983983456,808.2653019228019,825.3321647644043,3086.0,86.06234035687521,174.7744267922826,426.562137552537,79.76965373381972,41.09674348728731,15.875,26.868879242222917,25.865593433380127,26.951171875,1.0,[],[],,,0.1718616783618927,1.0,1.527421236038208,bench1
stack: compile-expert+flow-5,stack: compile-expert+flow-5/n6,flash_attention_2,6.0,1.0,256.0,5.0,False,False,"('expert',)",False,0.98,0.6,4.821440696716309,16.0,2364.7233052179217,2419.2098881118,2327.8033186215907,2351.742174010724,3086.0,588.6972117586993,1035.7419924112037,425.8733714232221,205.43771923985332,72.05302378861234,16.75,25.41905251646071,31.966604709625244,33.443359375,12.0,[],[],,,0.1770244538784027,1.0,0.6281196475028992,bench1
sdpa stack + no-reasoning,sdpa stack + no-reasoning/n1,sdpa,1.0,1.0,256.0,5.0,True,False,"('visual', 'expert')",False,0.98,0.6,0.8005428314208984,16.0,466.6075482964516,926.589701976627,546.3321520364843,455.7085884734988,3087.0,89.30725761456415,166.5155424270779,179.22566452762112,80.30912687536329,30.97456059185788,9.375,19.10400851732599,23.26198101043701,23.603515625,0.0,[],[],,,1.0405781269073486,0.0,1.4094698429107666,bench2
sdpa stack + no-reasoning,sdpa stack + no-reasoning/n6,sdpa,6.0,1.0,256.0,5.0,True,False,"('visual', 'expert')",False,0.98,0.6,3.7233126163482666,16.0,1945.1273819431665,5095.833730697631,2292.4206642783247,1939.5319358445704,3087.0,529.8741201986559,1037.9262861097232,436.2471046624705,205.2826472790912,83.09050602838397,22.1875,20.009751036552615,30.25575160980225,34.0390625,0.0,[],[],,,1.241466999053955,0.0,0.5509968996047974,bench2
sdpa stack: compile-visual+expert+flow-5,sdpa stack: compile-visual+expert+flow-5/n1,sdpa,1.0,1.0,256.0,5.0,False,False,"('visual', 'expert')",False,0.98,0.6,160.42976069450378,16.0,696.5401796624064,758.2776666153222,675.4739182651974,691.668689250946,3086.0,88.89253198867664,165.87124188663438,298.7991656991653,80.6833881069906,41.22759058373049,15.875,18.849136902269233,23.25307035446167,41.087890625,0.0,[],[],,,0.1744325757026672,1.0,1.5325791835784912,bench2
sdpa stack: compile-visual+expert+flow-5,sdpa stack: compile-visual+expert+flow-5/n6,sdpa,6.0,1.0,256.0,5.0,False,False,"('visual', 'expert')",False,0.98,0.6,238.4561574459076,16.0,2183.727285359055,2226.808955194429,2157.628138375003,2154.489786364138,3086.0,524.7945480514318,1030.3192473365923,325.9284641244449,204.84292710898444,71.74295175354928,16.75,19.467757689746687,29.362823963165283,30.796875,0.0,[],[],,,0.1784968376159668,1.0,0.6287018656730652,bench2
