route_id,town,scenario_types,dataset,same_town_scenario_clip_count,trigger_distance_checked,status
1956,Town12,ParkingExit,tfv6_lead,not determinable,false,not determinable
1956,Town12,ParkingExit,bridgedrive_lead,not determinable,false,not determinable
1956,Town12,ParkingExit,simlingo,not determinable,false,not determinable
1956,Town12,ParkingExit,blue,not determinable,false,not determinable
2050,Town12,SignalizedJunctionRightTurn,b2d_base,5,false,counted
2050,Town12,SignalizedJunctionRightTurn,b2d_full,262,false,counted
2050,Town12,SignalizedJunctionRightTurn,tfv6_lead,not determinable,false,not determinable
2050,Town12,SignalizedJunctionRightTurn,bridgedrive_lead,not determinable,false,not determinable
2050,Town12,SignalizedJunctionRightTurn,simlingo,not determinable,false,not determinable
2050,Town12,SignalizedJunctionRightTurn,blue,not determinable,false,not determinable
2082,Town12,OppositeVehicleRunningRedLight,b2d_base,5,false,counted
2082,Town12,OppositeVehicleRunningRedLight,b2d_full,798,false,counted
2082,Town12,OppositeVehicleRunningRedLight,tfv6_lead,not determinable,false,not determinable
2082,Town12,OppositeVehicleRunningRedLight,bridgedrive_lead,not determinable,false,not determinable
2082,Town12,OppositeVehicleRunningRedLight,simlingo,not determinable,false,not determinable
2082,Town12,OppositeVehicleRunningRedLight,blue,not determinable,false,not determinable
2084,Town12,NonSignalizedJunctionLeftTurn,b2d_base,17,false,counted
2084,Town12,NonSignalizedJunctionLeftTurn,b2d_full,151,false,counted
2084,Town12,NonSignalizedJunctionLeftTurn,tfv6_lead,not determinable,false,not determinable
2084,Town12,NonSignalizedJunctionLeftTurn,bridgedrive_lead,not determinable,false,not determinable
2084,Town12,NonSignalizedJunctionLeftTurn,simlingo,not determinable,false,not determinable
2084,Town12,NonSignalizedJunctionLeftTurn,blue,not determinable,false,not determinable
2086,Town12,NonSignalizedJunctionLeftTurn,b2d_base,17,false,counted
2086,Town12,NonSignalizedJunctionLeftTurn,b2d_full,151,false,counted
2086,Town12,NonSignalizedJunctionLeftTurn,tfv6_lead,not determinable,false,not determinable
2086,Town12,NonSignalizedJunctionLeftTurn,bridgedrive_lead,not determinable,false,not determinable
2086,Town12,NonSignalizedJunctionLeftTurn,simlingo,not determinable,false,not determinable
2086,Town12,NonSignalizedJunctionLeftTurn,blue,not determinable,false,not determinable
2091,Town12,NonSignalizedJunctionLeftTurn,b2d_base,17,false,counted
2091,Town12,NonSignalizedJunctionLeftTurn,b2d_full,151,false,counted
2091,Town12,NonSignalizedJunctionLeftTurn,tfv6_lead,not determinable,false,not determinable
2091,Town12,NonSignalizedJunctionLeftTurn,bridgedrive_lead,not determinable,false,not determinable
2091,Town12,NonSignalizedJunctionLeftTurn,simlingo,not determinable,false,not determinable
2091,Town12,NonSignalizedJunctionLeftTurn,blue,not determinable,false,not determinable
2115,Town12,NonSignalizedJunctionRightTurn,b2d_base,6,false,counted
2115,Town12,NonSignalizedJunctionRightTurn,b2d_full,162,false,counted
2115,Town12,NonSignalizedJunctionRightTurn,tfv6_lead,not determinable,false,not determinable
2115,Town12,NonSignalizedJunctionRightTurn,bridgedrive_lead,not determinable,false,not determinable
2115,Town12,NonSignalizedJunctionRightTurn,simlingo,not determinable,false,not determinable
2115,Town12,NonSignalizedJunctionRightTurn,blue,not determinable,false,not determinable
2127,Town12,OppositeVehicleTakingPriority,b2d_base,8,false,counted
2127,Town12,OppositeVehicleTakingPriority,b2d_full,692,false,counted
2127,Town12,OppositeVehicleTakingPriority,tfv6_lead,not determinable,false,not determinable
2127,Town12,OppositeVehicleTakingPriority,bridgedrive_lead,not determinable,false,not determinable
2127,Town12,OppositeVehicleTakingPriority,simlingo,not determinable,false,not determinable
2127,Town12,OppositeVehicleTakingPriority,blue,not determinable,false,not determinable
2129,Town12,OppositeVehicleTakingPriority,b2d_base,8,false,counted
2129,Town12,OppositeVehicleTakingPriority,b2d_full,692,false,counted
2129,Town12,OppositeVehicleTakingPriority,tfv6_lead,not determinable,false,not determinable
2129,Town12,OppositeVehicleTakingPriority,bridgedrive_lead,not determinable,false,not determinable
2129,Town12,OppositeVehicleTakingPriority,simlingo,not determinable,false,not determinable
2129,Town12,OppositeVehicleTakingPriority,blue,not determinable,false,not determinable
2143,Town12,OppositeVehicleTakingPriority,b2d_base,8,false,counted
2143,Town12,OppositeVehicleTakingPriority,b2d_full,692,false,counted
2143,Town12,OppositeVehicleTakingPriority,tfv6_lead,not determinable,false,not determinable
2143,Town12,OppositeVehicleTakingPriority,bridgedrive_lead,not determinable,false,not determinable
2143,Town12,OppositeVehicleTakingPriority,simlingo,not determinable,false,not determinable
2143,Town12,OppositeVehicleTakingPriority,blue,not determinable,false,not determinable
2144,Town12,VehicleTurningRoute,b2d_base,6,false,counted
2144,Town12,VehicleTurningRoute,b2d_full,267,false,counted
2144,Town12,VehicleTurningRoute,tfv6_lead,not determinable,false,not determinable
2144,Town12,VehicleTurningRoute,bridgedrive_lead,not determinable,false,not determinable
2144,Town12,VehicleTurningRoute,simlingo,not determinable,false,not determinable
2144,Town12,VehicleTurningRoute,blue,not determinable,false,not determinable
2164,Town12,VehicleTurningRoutePedestrian,b2d_base,7,false,counted
2164,Town12,VehicleTurningRoutePedestrian,b2d_full,366,false,counted
2164,Town12,VehicleTurningRoutePedestrian,tfv6_lead,not determinable,false,not determinable
2164,Town12,VehicleTurningRoutePedestrian,bridgedrive_lead,not determinable,false,not determinable
2164,Town12,VehicleTurningRoutePedestrian,simlingo,not determinable,false,not determinable
2164,Town12,VehicleTurningRoutePedestrian,blue,not determinable,false,not determinable
2201,Town12,EnterActorFlow,b2d_base,3,false,counted
2201,Town12,EnterActorFlow,b2d_full,567,false,counted
2201,Town12,EnterActorFlow,tfv6_lead,not determinable,false,not determinable
2201,Town12,EnterActorFlow,bridgedrive_lead,not determinable,false,not determinable
2201,Town12,EnterActorFlow,simlingo,not determinable,false,not determinable
2201,Town12,EnterActorFlow,blue,not determinable,false,not determinable
2204,Town12,BlockedIntersection,b2d_base,4,false,counted
2204,Town12,BlockedIntersection,b2d_full,849,false,counted
2204,Town12,BlockedIntersection,tfv6_lead,not determinable,false,not determinable
2204,Town12,BlockedIntersection,bridgedrive_lead,not determinable,false,not determinable
2204,Town12,BlockedIntersection,simlingo,not determinable,false,not determinable
2204,Town12,BlockedIntersection,blue,not determinable,false,not determinable
2215,Town12,BlockedIntersection,b2d_base,4,false,counted
2215,Town12,BlockedIntersection,b2d_full,849,false,counted
2215,Town12,BlockedIntersection,tfv6_lead,not determinable,false,not determinable
2215,Town12,BlockedIntersection,bridgedrive_lead,not determinable,false,not determinable
2215,Town12,BlockedIntersection,simlingo,not determinable,false,not determinable
2215,Town12,BlockedIntersection,blue,not determinable,false,not determinable
2273,Town12,MergerIntoSlowTraffic,b2d_base,5,false,counted
2273,Town12,MergerIntoSlowTraffic,b2d_full,19,false,counted
2273,Town12,MergerIntoSlowTraffic,tfv6_lead,not determinable,false,not determinable
2273,Town12,MergerIntoSlowTraffic,bridgedrive_lead,not determinable,false,not determinable
2273,Town12,MergerIntoSlowTraffic,simlingo,not determinable,false,not determinable
2273,Town12,MergerIntoSlowTraffic,blue,not determinable,false,not determinable
2283,Town12,MergerIntoSlowTraffic,b2d_base,5,false,counted
2283,Town12,MergerIntoSlowTraffic,b2d_full,19,false,counted
2283,Town12,MergerIntoSlowTraffic,tfv6_lead,not determinable,false,not determinable
2283,Town12,MergerIntoSlowTraffic,bridgedrive_lead,not determinable,false,not determinable
2283,Town12,MergerIntoSlowTraffic,simlingo,not determinable,false,not determinable
2283,Town12,MergerIntoSlowTraffic,blue,not determinable,false,not determinable
2286,Town12,HighwayCutIn,b2d_base,11,false,counted
2286,Town12,HighwayCutIn,b2d_full,95,false,counted
2286,Town12,HighwayCutIn,tfv6_lead,not determinable,false,not determinable
2286,Town12,HighwayCutIn,bridgedrive_lead,not determinable,false,not determinable
2286,Town12,HighwayCutIn,simlingo,not determinable,false,not determinable
2286,Town12,HighwayCutIn,blue,not determinable,false,not determinable
2373,Town12,VanillaSignalizedTurnEncounterRedLight,b2d_base,6,false,counted
2373,Town12,VanillaSignalizedTurnEncounterRedLight,b2d_full,844,false,counted
2373,Town12,VanillaSignalizedTurnEncounterRedLight,tfv6_lead,not determinable,false,not determinable
2373,Town12,VanillaSignalizedTurnEncounterRedLight,bridgedrive_lead,not determinable,false,not determinable
2373,Town12,VanillaSignalizedTurnEncounterRedLight,simlingo,not determinable,false,not determinable
2373,Town12,VanillaSignalizedTurnEncounterRedLight,blue,not determinable,false,not determinable
2390,Town12,VanillaNonSignalizedTurn,b2d_base,0,false,counted
2390,Town12,VanillaNonSignalizedTurn,b2d_full,106,false,counted
2390,Town12,VanillaNonSignalizedTurn,tfv6_lead,not determinable,false,not determinable
2390,Town12,VanillaNonSignalizedTurn,bridgedrive_lead,not determinable,false,not determinable
2390,Town12,VanillaNonSignalizedTurn,simlingo,not determinable,false,not determinable
2390,Town12,VanillaNonSignalizedTurn,blue,not determinable,false,not determinable
2397,Town12,VanillaNonSignalizedTurn,b2d_base,0,false,counted
2397,Town12,VanillaNonSignalizedTurn,b2d_full,106,false,counted
2397,Town12,VanillaNonSignalizedTurn,tfv6_lead,not determinable,false,not determinable
2397,Town12,VanillaNonSignalizedTurn,bridgedrive_lead,not determinable,false,not determinable
2397,Town12,VanillaNonSignalizedTurn,simlingo,not determinable,false,not determinable
2397,Town12,VanillaNonSignalizedTurn,blue,not determinable,false,not determinable
2403,Town12,VanillaNonSignalizedTurn,b2d_base,0,false,counted
2403,Town12,VanillaNonSignalizedTurn,b2d_full,106,false,counted
2403,Town12,VanillaNonSignalizedTurn,tfv6_lead,not determinable,false,not determinable
2403,Town12,VanillaNonSignalizedTurn,bridgedrive_lead,not determinable,false,not determinable
2403,Town12,VanillaNonSignalizedTurn,simlingo,not determinable,false,not determinable
2403,Town12,VanillaNonSignalizedTurn,blue,not determinable,false,not determinable
2416,Town12,VanillaNonSignalizedTurnEncounterStopsign,b2d_base,8,false,counted
2416,Town12,VanillaNonSignalizedTurnEncounterStopsign,b2d_full,238,false,counted
2416,Town12,VanillaNonSignalizedTurnEncounterStopsign,tfv6_lead,not determinable,false,not determinable
2416,Town12,VanillaNonSignalizedTurnEncounterStopsign,bridgedrive_lead,not determinable,false,not determinable
2416,Town12,VanillaNonSignalizedTurnEncounterStopsign,simlingo,not determinable,false,not determinable
2416,Town12,VanillaNonSignalizedTurnEncounterStopsign,blue,not determinable,false,not determinable
2509,Town12,ConstructionObstacle,b2d_base,5,false,counted
2509,Town12,ConstructionObstacle,b2d_full,342,false,counted
2509,Town12,ConstructionObstacle,tfv6_lead,not determinable,false,not determinable
2509,Town12,ConstructionObstacle,bridgedrive_lead,not determinable,false,not determinable
2509,Town12,ConstructionObstacle,simlingo,not determinable,false,not determinable
2509,Town12,ConstructionObstacle,blue,not determinable,false,not determinable
2513,Town12,ConstructionObstacle,b2d_base,5,false,counted
2513,Town12,ConstructionObstacle,b2d_full,342,false,counted
2513,Town12,ConstructionObstacle,tfv6_lead,not determinable,false,not determinable
2513,Town12,ConstructionObstacle,bridgedrive_lead,not determinable,false,not determinable
2513,Town12,ConstructionObstacle,simlingo,not determinable,false,not determinable
2513,Town12,ConstructionObstacle,blue,not determinable,false,not determinable
2534,Town12,Accident,b2d_base,8,false,counted
2534,Town12,Accident,b2d_full,208,false,counted
2534,Town12,Accident,tfv6_lead,not determinable,false,not determinable
2534,Town12,Accident,bridgedrive_lead,not determinable,false,not determinable
2534,Town12,Accident,simlingo,not determinable,false,not determinable
2534,Town12,Accident,blue,not determinable,false,not determinable
2539,Town12,Accident,b2d_base,8,false,counted
2539,Town12,Accident,b2d_full,208,false,counted
2539,Town12,Accident,tfv6_lead,not determinable,false,not determinable
2539,Town12,Accident,bridgedrive_lead,not determinable,false,not determinable
2539,Town12,Accident,simlingo,not determinable,false,not determinable
2539,Town12,Accident,blue,not determinable,false,not determinable
2554,Town12,ParkedObstacle,b2d_base,6,false,counted
2554,Town12,ParkedObstacle,b2d_full,155,false,counted
2554,Town12,ParkedObstacle,tfv6_lead,not determinable,false,not determinable
2554,Town12,ParkedObstacle,bridgedrive_lead,not determinable,false,not determinable
2554,Town12,ParkedObstacle,simlingo,not determinable,false,not determinable
2554,Town12,ParkedObstacle,blue,not determinable,false,not determinable
2606,Town12,ConstructionObstacleTwoWays,b2d_base,27,false,counted
2606,Town12,ConstructionObstacleTwoWays,b2d_full,35,false,counted
2606,Town12,ConstructionObstacleTwoWays,tfv6_lead,not determinable,false,not determinable
2606,Town12,ConstructionObstacleTwoWays,bridgedrive_lead,not determinable,false,not determinable
2606,Town12,ConstructionObstacleTwoWays,simlingo,not determinable,false,not determinable
2606,Town12,ConstructionObstacleTwoWays,blue,not determinable,false,not determinable
2643,Town12,AccidentTwoWays,b2d_base,35,false,counted
2643,Town12,AccidentTwoWays,b2d_full,55,false,counted
2643,Town12,AccidentTwoWays,tfv6_lead,not determinable,false,not determinable
2643,Town12,AccidentTwoWays,bridgedrive_lead,not determinable,false,not determinable
2643,Town12,AccidentTwoWays,simlingo,not determinable,false,not determinable
2643,Town12,AccidentTwoWays,blue,not determinable,false,not determinable
2664,Town12,ParkedObstacleTwoWays,b2d_base,19,false,counted
2664,Town12,ParkedObstacleTwoWays,b2d_full,82,false,counted
2664,Town12,ParkedObstacleTwoWays,tfv6_lead,not determinable,false,not determinable
2664,Town12,ParkedObstacleTwoWays,bridgedrive_lead,not determinable,false,not determinable
2664,Town12,ParkedObstacleTwoWays,simlingo,not determinable,false,not determinable
2664,Town12,ParkedObstacleTwoWays,blue,not determinable,false,not determinable
2668,Town12,ParkedObstacleTwoWays,b2d_base,19,false,counted
2668,Town12,ParkedObstacleTwoWays,b2d_full,82,false,counted
2668,Town12,ParkedObstacleTwoWays,tfv6_lead,not determinable,false,not determinable
2668,Town12,ParkedObstacleTwoWays,bridgedrive_lead,not determinable,false,not determinable
2668,Town12,ParkedObstacleTwoWays,simlingo,not determinable,false,not determinable
2668,Town12,ParkedObstacleTwoWays,blue,not determinable,false,not determinable
2709,Town12,StaticCutIn,b2d_base,3,false,counted
2709,Town12,StaticCutIn,b2d_full,441,false,counted
2709,Town12,StaticCutIn,tfv6_lead,not determinable,false,not determinable
2709,Town12,StaticCutIn,bridgedrive_lead,not determinable,false,not determinable
2709,Town12,StaticCutIn,simlingo,not determinable,false,not determinable
2709,Town12,StaticCutIn,blue,not determinable,false,not determinable
2715,Town12,StaticCutIn,b2d_base,3,false,counted
2715,Town12,StaticCutIn,b2d_full,441,false,counted
2715,Town12,StaticCutIn,tfv6_lead,not determinable,false,not determinable
2715,Town12,StaticCutIn,bridgedrive_lead,not determinable,false,not determinable
2715,Town12,StaticCutIn,simlingo,not determinable,false,not determinable
2715,Town12,StaticCutIn,blue,not determinable,false,not determinable
2790,Town12,InvadingTurn,b2d_base,3,false,counted
2790,Town12,InvadingTurn,b2d_full,4,false,counted
2790,Town12,InvadingTurn,tfv6_lead,not determinable,false,not determinable
2790,Town12,InvadingTurn,bridgedrive_lead,not determinable,false,not determinable
2790,Town12,InvadingTurn,simlingo,not determinable,false,not determinable
2790,Town12,InvadingTurn,blue,not determinable,false,not determinable
2802,Town12,InvadingTurn,b2d_base,3,false,counted
2802,Town12,InvadingTurn,b2d_full,4,false,counted
2802,Town12,InvadingTurn,tfv6_lead,not determinable,false,not determinable
2802,Town12,InvadingTurn,bridgedrive_lead,not determinable,false,not determinable
2802,Town12,InvadingTurn,simlingo,not determinable,false,not determinable
2802,Town12,InvadingTurn,blue,not determinable,false,not determinable
2844,Town12,OppositeVehicleRunningRedLight,b2d_base,5,false,counted
2844,Town12,OppositeVehicleRunningRedLight,b2d_full,798,false,counted
2844,Town12,OppositeVehicleRunningRedLight,tfv6_lead,not determinable,false,not determinable
2844,Town12,OppositeVehicleRunningRedLight,bridgedrive_lead,not determinable,false,not determinable
2844,Town12,OppositeVehicleRunningRedLight,simlingo,not determinable,false,not determinable
2844,Town12,OppositeVehicleRunningRedLight,blue,not determinable,false,not determinable
2847,Town12,OppositeVehicleRunningRedLight,b2d_base,5,false,counted
2847,Town12,OppositeVehicleRunningRedLight,b2d_full,798,false,counted
2847,Town12,OppositeVehicleRunningRedLight,tfv6_lead,not determinable,false,not determinable
2847,Town12,OppositeVehicleRunningRedLight,bridgedrive_lead,not determinable,false,not determinable
2847,Town12,OppositeVehicleRunningRedLight,simlingo,not determinable,false,not determinable
2847,Town12,OppositeVehicleRunningRedLight,blue,not determinable,false,not determinable
2881,Town12,NonSignalizedJunctionLeftTurn,b2d_base,17,false,counted
2881,Town12,NonSignalizedJunctionLeftTurn,b2d_full,151,false,counted
2881,Town12,NonSignalizedJunctionLeftTurn,tfv6_lead,not determinable,false,not determinable
2881,Town12,NonSignalizedJunctionLeftTurn,bridgedrive_lead,not determinable,false,not determinable
2881,Town12,NonSignalizedJunctionLeftTurn,simlingo,not determinable,false,not determinable
2881,Town12,NonSignalizedJunctionLeftTurn,blue,not determinable,false,not determinable
2903,Town12,NonSignalizedJunctionRightTurn,b2d_base,6,false,counted
2903,Town12,NonSignalizedJunctionRightTurn,b2d_full,162,false,counted
2903,Town12,NonSignalizedJunctionRightTurn,tfv6_lead,not determinable,false,not determinable
2903,Town12,NonSignalizedJunctionRightTurn,bridgedrive_lead,not determinable,false,not determinable
2903,Town12,NonSignalizedJunctionRightTurn,simlingo,not determinable,false,not determinable
2903,Town12,NonSignalizedJunctionRightTurn,blue,not determinable,false,not determinable
2913,Town12,OppositeVehicleTakingPriority,b2d_base,8,false,counted
2913,Town12,OppositeVehicleTakingPriority,b2d_full,692,false,counted
2913,Town12,OppositeVehicleTakingPriority,tfv6_lead,not determinable,false,not determinable
2913,Town12,OppositeVehicleTakingPriority,bridgedrive_lead,not determinable,false,not determinable
2913,Town12,OppositeVehicleTakingPriority,simlingo,not determinable,false,not determinable
2913,Town12,OppositeVehicleTakingPriority,blue,not determinable,false,not determinable
2943,Town12,VehicleTurningRoute,b2d_base,6,false,counted
2943,Town12,VehicleTurningRoute,b2d_full,267,false,counted
2943,Town12,VehicleTurningRoute,tfv6_lead,not determinable,false,not determinable
2943,Town12,VehicleTurningRoute,bridgedrive_lead,not determinable,false,not determinable
2943,Town12,VehicleTurningRoute,simlingo,not determinable,false,not determinable
2943,Town12,VehicleTurningRoute,blue,not determinable,false,not determinable
2989,Town12,BlockedIntersection,b2d_base,4,false,counted
2989,Town12,BlockedIntersection,b2d_full,849,false,counted
2989,Town12,BlockedIntersection,tfv6_lead,not determinable,false,not determinable
2989,Town12,BlockedIntersection,bridgedrive_lead,not determinable,false,not determinable
2989,Town12,BlockedIntersection,simlingo,not determinable,false,not determinable
2989,Town12,BlockedIntersection,blue,not determinable,false,not determinable
3048,Town12,MergerIntoSlowTraffic,b2d_base,5,false,counted
3048,Town12,MergerIntoSlowTraffic,b2d_full,19,false,counted
3048,Town12,MergerIntoSlowTraffic,tfv6_lead,not determinable,false,not determinable
3048,Town12,MergerIntoSlowTraffic,bridgedrive_lead,not determinable,false,not determinable
3048,Town12,MergerIntoSlowTraffic,simlingo,not determinable,false,not determinable
3048,Town12,MergerIntoSlowTraffic,blue,not determinable,false,not determinable
3072,Town12,HighwayCutIn,b2d_base,11,false,counted
3072,Town12,HighwayCutIn,b2d_full,95,false,counted
3072,Town12,HighwayCutIn,tfv6_lead,not determinable,false,not determinable
3072,Town12,HighwayCutIn,bridgedrive_lead,not determinable,false,not determinable
3072,Town12,HighwayCutIn,simlingo,not determinable,false,not determinable
3072,Town12,HighwayCutIn,blue,not determinable,false,not determinable
3074,Town12,HighwayCutIn,b2d_base,11,false,counted
3074,Town12,HighwayCutIn,b2d_full,95,false,counted
3074,Town12,HighwayCutIn,tfv6_lead,not determinable,false,not determinable
3074,Town12,HighwayCutIn,bridgedrive_lead,not determinable,false,not determinable
3074,Town12,HighwayCutIn,simlingo,not determinable,false,not determinable
3074,Town12,HighwayCutIn,blue,not determinable,false,not determinable
3080,Town12,HighwayCutIn,b2d_base,11,false,counted
3080,Town12,HighwayCutIn,b2d_full,95,false,counted
3080,Town12,HighwayCutIn,tfv6_lead,not determinable,false,not determinable
3080,Town12,HighwayCutIn,bridgedrive_lead,not determinable,false,not determinable
3080,Town12,HighwayCutIn,simlingo,not determinable,false,not determinable
3080,Town12,HighwayCutIn,blue,not determinable,false,not determinable
3086,Town12,CrossingBicycleFlow,b2d_base,26,false,counted
3086,Town12,CrossingBicycleFlow,b2d_full,200,false,counted
3086,Town12,CrossingBicycleFlow,tfv6_lead,not determinable,false,not determinable
3086,Town12,CrossingBicycleFlow,bridgedrive_lead,not determinable,false,not determinable
3086,Town12,CrossingBicycleFlow,simlingo,not determinable,false,not determinable
3086,Town12,CrossingBicycleFlow,blue,not determinable,false,not determinable
3090,Town12,CrossingBicycleFlow,b2d_base,26,false,counted
3090,Town12,CrossingBicycleFlow,b2d_full,200,false,counted
3090,Town12,CrossingBicycleFlow,tfv6_lead,not determinable,false,not determinable
3090,Town12,CrossingBicycleFlow,bridgedrive_lead,not determinable,false,not determinable
3090,Town12,CrossingBicycleFlow,simlingo,not determinable,false,not determinable
3090,Town12,CrossingBicycleFlow,blue,not determinable,false,not determinable
3093,Town12,CrossingBicycleFlow,b2d_base,26,false,counted
3093,Town12,CrossingBicycleFlow,b2d_full,200,false,counted
3093,Town12,CrossingBicycleFlow,tfv6_lead,not determinable,false,not determinable
3093,Town12,CrossingBicycleFlow,bridgedrive_lead,not determinable,false,not determinable
3093,Town12,CrossingBicycleFlow,simlingo,not determinable,false,not determinable
3093,Town12,CrossingBicycleFlow,blue,not determinable,false,not determinable
3099,Town12,CrossingBicycleFlow,b2d_base,26,false,counted
3099,Town12,CrossingBicycleFlow,b2d_full,200,false,counted
3099,Town12,CrossingBicycleFlow,tfv6_lead,not determinable,false,not determinable
3099,Town12,CrossingBicycleFlow,bridgedrive_lead,not determinable,false,not determinable
3099,Town12,CrossingBicycleFlow,simlingo,not determinable,false,not determinable
3099,Town12,CrossingBicycleFlow,blue,not determinable,false,not determinable
3100,Town12,CrossingBicycleFlow,b2d_base,26,false,counted
3100,Town12,CrossingBicycleFlow,b2d_full,200,false,counted
3100,Town12,CrossingBicycleFlow,tfv6_lead,not determinable,false,not determinable
3100,Town12,CrossingBicycleFlow,bridgedrive_lead,not determinable,false,not determinable
3100,Town12,CrossingBicycleFlow,simlingo,not determinable,false,not determinable
3100,Town12,CrossingBicycleFlow,blue,not determinable,false,not determinable
3144,Town12,VanillaSignalizedTurnEncounterRedLight,b2d_base,6,false,counted
3144,Town12,VanillaSignalizedTurnEncounterRedLight,b2d_full,844,false,counted
3144,Town12,VanillaSignalizedTurnEncounterRedLight,tfv6_lead,not determinable,false,not determinable
3144,Town12,VanillaSignalizedTurnEncounterRedLight,bridgedrive_lead,not determinable,false,not determinable
3144,Town12,VanillaSignalizedTurnEncounterRedLight,simlingo,not determinable,false,not determinable
3144,Town12,VanillaSignalizedTurnEncounterRedLight,blue,not determinable,false,not determinable
3178,Town12,VanillaNonSignalizedTurn,b2d_base,0,false,counted
3178,Town12,VanillaNonSignalizedTurn,b2d_full,106,false,counted
3178,Town12,VanillaNonSignalizedTurn,tfv6_lead,not determinable,false,not determinable
3178,Town12,VanillaNonSignalizedTurn,bridgedrive_lead,not determinable,false,not determinable
3178,Town12,VanillaNonSignalizedTurn,simlingo,not determinable,false,not determinable
3178,Town12,VanillaNonSignalizedTurn,blue,not determinable,false,not determinable
3184,Town12,VanillaNonSignalizedTurnEncounterStopsign,b2d_base,8,false,counted
3184,Town12,VanillaNonSignalizedTurnEncounterStopsign,b2d_full,238,false,counted
3184,Town12,VanillaNonSignalizedTurnEncounterStopsign,tfv6_lead,not determinable,false,not determinable
3184,Town12,VanillaNonSignalizedTurnEncounterStopsign,bridgedrive_lead,not determinable,false,not determinable
3184,Town12,VanillaNonSignalizedTurnEncounterStopsign,simlingo,not determinable,false,not determinable
3184,Town12,VanillaNonSignalizedTurnEncounterStopsign,blue,not determinable,false,not determinable
3189,Town12,VanillaNonSignalizedTurnEncounterStopsign,b2d_base,8,false,counted
3189,Town12,VanillaNonSignalizedTurnEncounterStopsign,b2d_full,238,false,counted
3189,Town12,VanillaNonSignalizedTurnEncounterStopsign,tfv6_lead,not determinable,false,not determinable
3189,Town12,VanillaNonSignalizedTurnEncounterStopsign,bridgedrive_lead,not determinable,false,not determinable
3189,Town12,VanillaNonSignalizedTurnEncounterStopsign,simlingo,not determinable,false,not determinable
3189,Town12,VanillaNonSignalizedTurnEncounterStopsign,blue,not determinable,false,not determinable
3248,Town13,ParkingCrossingPedestrian,b2d_base,5,false,counted
