row,cluster,v0,a0,rater_best_score,onset_log,onset_log_from2,onset_rater_best,onset_rater_best_from2
660123,Cut_ins,0.6113294293807806,0.984373228034068,10.0,2.375,2.375,,
660581,Pedestrian,0.0027235093802254664,0.0007522750139345776,10.0,,,,
660811,Cyclist,4.265726437443168,-0.4059979204141939,10.0,0.125,0.375,0.125,
662155,Pedestrian,4.555642017108232,1.3045067403808872,8.0,2.125,2.125,0.125,1.625
663041,Cyclist,1.9702339799844335,-1.3450878926153536,8.0,,,,
666069,Pedestrian,15.306631206258992,-1.500241782754692,10.0,,,0.125,
666298,Pedestrian,-1.8479958357665684e-05,-0.0006361209168613255,8.0,,,,
666527,Cyclist,0.00146484375,0.00390625,10.0,,,,
668988,Cyclist,0.4550843451152736,-0.039045913025937073,10.0,,,,
669218,Pedestrian,-0.015466852643670651,-0.1559465838495032,10.0,,,,
669675,Cyclist,0.38526124202467477,-0.8554493004932682,10.0,,,,
669904,Cyclist,5.321319574442683,-4.601484021922026,10.0,,,,
670134,Pedestrian,0.7999979180229521,0.45556005094611596,10.0,1.125,1.125,1.125,1.125
670572,Cyclist,4.692322693370926,1.4110546096026546,10.0,1.375,1.375,1.375,1.375
672144,Cut_ins,6.360374447879778,0.20311298167181135,10.0,,,0.125,3.375
672362,Cyclist,3.4033327217025775,-0.9921574400265047,10.0,0.875,0.875,,
673840,Cyclist,3.23465748223727,0.8218135313008208,10.0,,,0.125,4.875
675174,Cyclist,2.632314607357233,-2.175879156600013,10.0,,,0.125,
675612,Cyclist,0.18745938029414816,0.43717504235318516,10.0,,,,
675832,Cyclist,1.9089371862657263,-0.31447133816350714,10.0,0.875,0.875,0.125,
676060,Cyclist,0.1103515625,-0.01171875,10.0,,,,
676688,Pedestrian,5.703336570390972,-1.0458435408090914,10.0,,,,
676917,Cyclist,2.9444008448744508,1.117358572282157,10.0,1.125,1.125,0.125,1.625
678243,Pedestrian,-0.0009765625,-0.0234375,10.0,,,,
680493,Pedestrian,1.2387323153240886,0.02389682078892008,8.0,,,,
680921,Cyclist,4.902444871673707,-4.343530182642503,10.0,,,0.125,
683120,Cyclist,2.160372469677932,-0.30022480379352423,10.0,1.125,1.125,0.625,0.625
683977,Cyclist,8.127757842944215,-2.3375241235674338,10.0,0.375,0.375,,
684206,Cyclist,7.060069158173057,-2.1783169280326966,10.0,0.375,0.375,,
684863,Cyclist,9.821545631921527,-0.08203114662424582,10.0,0.875,0.875,,
685322,Pedestrian,0.20609578719315835,0.06940415869775107,10.0,,,,
685978,Cyclist,12.525874860197984,0.10538778878922272,10.0,2.125,2.125,4.875,4.875
687094,Pedestrian,1.2460928210609923,-1.4376681284215973,10.0,,,,
687979,Cyclist,5.26633504469409,1.4664204817108804,8.0,3.125,3.125,0.125,2.875
689521,Pedestrian,0.476072114988611,0.19138098309367302,10.0,2.875,2.875,3.125,3.125
690436,Pedestrian,1.6465673977816262,-1.4685947066170346,10.0,,,,
691582,Pedestrian,6.796902847323035,-0.17198462685038152,10.0,,,0.125,3.875
691811,Cut_ins,10.71484149552181,0.12494631020234692,10.0,0.375,0.375,0.125,
692497,Cyclist,13.596217894770842,-3.6210862549024156,10.0,0.625,0.625,,
692727,Cyclist,0.0014348689937295428,-0.03734917305016366,10.0,,,,
692955,Cyclist,4.766109284458157,-0.6836540304838472,10.0,0.625,0.625,,
694728,Cyclist,1.0261475757090714,-0.5198646939029201,10.0,,,,
695186,Pedestrian,7.683627526687207,0.3125900711658858,10.0,2.125,2.125,0.125,1.875
695643,Pedestrian,6.815433268880474,-0.9335849094760214,10.0,0.625,0.625,,
696959,Cut_ins,8.443312801525234,-0.813017230502247,10.0,0.375,0.375,0.125,
697416,Cut_ins,4.05102329800958,-2.6972862914066518,10.0,0.375,0.375,,
698103,Pedestrian,5.753913280704625,1.0625128127184276,10.0,,,0.125,
698333,Cut_ins,8.220484165792111,0.15423040595036497,10.0,1.875,1.875,0.125,
699000,Pedestrian,3.0341796875,-0.1796875,10.0,,,0.125,1.375
699054,Pedestrian,4.437542229592632,0.812612612247019,10.0,3.125,3.125,0.125,3.125
699647,Cyclist,9.157245263913603,-1.0546397593257808,10.0,0.375,0.375,0.125,
699875,Pedestrian,7.644262471248384,-0.21049422887022118,9.0,,,3.875,3.875
700991,Pedestrian,0.0029296875,0.0078125,10.0,,,,
701648,Cut_ins,2.9999708485676098,0.2966211886816694,10.0,0.875,0.875,2.375,2.375
702087,Pedestrian,0.005859375,0.015625,10.0,,,,
703451,Cyclist,2.099609757618115,-0.4687540091893805,10.0,0.125,0.375,0.125,
703680,Cut_ins,2.1982530830152807,-1.320283445292585,10.0,,,,
704337,Cyclist,7.428246271633206,-2.3026720140574106,10.0,0.375,0.375,,
704547,Cut_ins,7.188537059549738,0.26513241389789854,10.0,2.875,2.875,0.125,3.125
705662,Pedestrian,10.11040297026021,-0.0780759783749474,10.0,,,0.125,
706109,Cyclist,0.07513427734375,-0.35986328125,10.0,,,,
706567,Cyclist,10.343025732033238,-1.2597443515230964,10.0,0.375,0.375,,
708369,Pedestrian,8.770383892555866,-0.19045532892078398,10.0,0.375,0.375,1.125,1.125
709206,Pedestrian,4.2724936040147,2.3047611794837017,10.0,1.375,1.375,0.125,0.375
709634,Pedestrian,0.8268062762412598,0.027470199025042774,8.0,,,4.875,4.875
710081,Pedestrian,0.00244140625,0.00390625,9.0,,,,
711226,Cyclist,0.6442973338753548,-1.845691083113902,10.0,,,,
711685,Cut_ins,1.4793442148344695,-0.34250783270294516,10.0,,,,
711914,Cyclist,4.872803282389852,-2.783201663627061,10.0,,,0.125,
712143,Pedestrian,1.6129738737291581,-0.6279010497131932,8.0,,,0.125,
712372,Cut_ins,10.053050786696803,-0.9822644144615538,10.0,0.375,0.375,0.125,
713518,Pedestrian,0.23242200312335062,-0.031249983858483654,8.0,,,,
713976,Pedestrian,3.0986653904480903,-0.6483523436831806,10.0,,,0.125,3.875
714205,Pedestrian,1.9833993990880028,-0.07812496285514037,10.0,0.375,0.375,0.125,0.625
715319,Cut_ins,4.397477744442704,-6.710945831421284,10.0,,,,
715777,Pedestrian,0.0029296875,0.0078125,10.0,,,,
716007,Cyclist,3.903357606606493,-1.3514645087031312,10.0,,,0.125,
716664,Cyclist,6.994614154170632,-1.714995632785925,10.0,0.375,0.375,0.125,
717550,Cyclist,4.950662184084903,-0.597832271600037,10.0,0.375,0.375,0.125,
717779,Cyclist,5.399168377835286,-0.42579360231770735,10.0,,,0.125,1.375
718007,Pedestrian,4.912699534752356,0.31398361056588087,8.0,3.875,3.875,0.125,3.875
718665,Pedestrian,0.5786425959924336,0.2434080122907234,9.0,1.125,1.125,1.125,1.125
719353,Cyclist,10.470216517794974,-0.5664019049113662,10.0,0.375,0.375,0.125,
721052,Pedestrian,0.23764474729490828,0.4159556204017248,8.0,1.375,1.375,1.625,1.625
721719,Cyclist,0.011102848512551739,0.024399262700137973,10.0,,,,
721938,Cyclist,0.0003662109375,0.0009765625,10.0,,,,
722574,Pedestrian,6.763663247180594,-0.8281940225552447,10.0,,,,
725024,Cyclist,-0.0009765625,-0.01953125,10.0,,,,
725709,Cyclist,2.251816690582821,-1.8976090888763881,10.0,0.375,0.375,,
