dataset,route,variant,seed,attempt,official_status,completion,collisions,segment,kind,core_exited,padded_window_exited,recovery_time_s,recovery_censored,entry_count,post_count,entry_cte_m_n,entry_cte_m_rms,entry_cte_m_p95_abs,entry_cte_m_max_abs,post_cte_m_n,post_cte_m_rms,post_cte_m_p95_abs,post_cte_m_max_abs,post_heading_deg_n,post_heading_deg_rms,post_heading_deg_p95_abs,post_heading_deg_max_abs
G2-v4,25854,pi/pursuit,,1,G2 diagnostic,,,1,right,True,True,0.9500000141561031,False,0,25,0,,,,25,0.18075070991796077,0.3053606615669173,0.31727415223587346,25,1.9952843863495895,2.447139476763834,2.4641340309573923
G2-v4,25854,pi-max/pursuit,,1,G2 diagnostic,,,1,right,True,True,0.0,False,0,25,0,,,,25,0.09375943539877746,0.17990742568461598,0.1956465337590456,25,1.7298418261575137,2.496162280212167,2.5126068174001315
G2-v4,26966,pi/carla,,1,G2 diagnostic,,,1,right-sharp,True,True,0.0,False,13,25,13,0.04125578950406549,0.0504262955763826,0.05124992187924134,25,0.2736795940272964,0.29981151260417666,0.30055444938151404,25,0.6777947368443726,1.1675656131746468,1.2938717893602232
G2-v4,26966,pi/pursuit,,1,G2 diagnostic,,,1,right-sharp,True,True,,True,13,25,13,0.0434514252961869,0.0550542046949341,0.056318243763169795,25,0.6005181800744038,0.9003229432141732,0.9448221751550544,25,3.9181065953145637,5.344297785377296,5.368481249427617
G2-v4,26966,pi-max/pursuit,,1,G2 diagnostic,,,1,right-sharp,True,True,,True,13,26,13,0.06007461428117538,0.06604884625630111,0.06680356543485128,26,0.31704522217735676,0.4444566283510138,0.4738995894121933,26,1.5538224888580154,2.930095643615515,3.200907797431777
Dev10-v4-pursuit-seed0-attempt1,17569,carla,0,1,Completed,100,1,1,S,True,True,0.6000000089406967,False,13,25,13,0.021288697464847035,0.03585896190159777,0.03696440674062519,25,0.1665430909522666,0.21164118945197904,0.22636993252636972,25,0.635625278826234,1.245218980949901,1.5783663836659911
Dev10-v4-pursuit-seed0-attempt1,17569,carla,0,1,Completed,100,1,2,S,True,True,0.9500000141561031,False,13,28,13,0.03816322051408257,0.04275676671365532,0.04349019309547171,28,0.1976070590303262,0.32598495859379034,0.35353685686439984,28,1.5072885322731728,2.6925157057230327,2.8700279483876465
Dev10-v4-pursuit-seed0-attempt1,2091,carla,0,1,Completed,100,3,1,left-sharp,True,True,0.7500000111758709,False,13,26,13,0.018001119072409942,0.030292783986777285,0.03215429869263966,26,0.09907592714018738,0.15476275400479103,0.2135783453173065,26,2.450695987319632,5.231875974913661,6.161861021300382
Dev10-v4-pursuit-seed0-attempt1,27494,carla,0,1,Completed,100,1,1,left-sharp,True,True,9.450000140815973,False,13,29,13,0.02338242827670079,0.03530847280125621,0.035471236417112056,29,0.04785490038450055,0.05931168924295453,0.06055152982892758,29,0.5398229812973592,0.8849178597202794,0.9143827230514934
Dev10-v4-pursuit-seed0-attempt1,28198,carla,0,1,Completed,100,0,1,left-sharp,True,True,0.10000000149011612,False,13,25,13,0.11005769470616199,0.11703590469495881,0.11767228071459027,25,0.04322343798631549,0.0648472087927002,0.0687457308441174,25,0.43818502915988455,0.7013124523041105,0.7097485452195917
Dev10-v4-pursuit-seed0-attempt1,17569,carla,1,1,Completed,100,1,1,S,True,True,0.6000000089406967,False,13,25,13,0.021288697464847035,0.03585896190159777,0.03696440674062519,25,0.1665430909522666,0.21164118945197904,0.22636993252636972,25,0.635625278826234,1.245218980949901,1.5783663836659911
Dev10-v4-pursuit-seed0-attempt1,17569,carla,1,1,Completed,100,1,2,S,True,True,0.9500000141561031,False,13,28,13,0.03816322051408257,0.04275676671365532,0.04349019309547171,28,0.1976070590303262,0.32598495859379034,0.35353685686439984,28,1.5072885322731728,2.6925157057230327,2.8700279483876465
Dev10-v4-pursuit-seed0-attempt1,2091,carla,1,1,Failed - TickRuntime,60.64,4,1,left-sharp,False,False,,True,13,0,13,0.018001119072409942,0.030292783986777285,0.03215429869263966,0,,,,0,,,
Dev10-v4-pursuit-seed0-attempt1,27494,carla,1,1,Completed,100,1,1,left-sharp,True,True,9.450000140815973,False,13,29,13,0.02338242827670079,0.03530847280125621,0.035471236417112056,29,0.04785490038450055,0.05931168924295453,0.06055152982892758,29,0.5398229812973592,0.8849178597202794,0.9143827230514934
Dev10-v4-pursuit-seed0-attempt1,28198,carla,1,1,Completed,100,0,1,left-sharp,True,True,0.10000000149011612,False,13,25,13,0.11005769470616199,0.11703590469495881,0.11767228071459027,25,0.04322343798631549,0.0648472087927002,0.0687457308441174,25,0.43818502915988455,0.7013124523041105,0.7097485452195917
Dev10-v4-pursuit-seed0-attempt1,17569,pursuit,0,1,Completed,100,1,1,S,True,True,0.6500000096857548,False,12,25,12,0.016322513284425147,0.02548440458229241,0.026843451225229947,25,0.1360424933029318,0.24108908247684435,0.24844601543515482,25,2.28631825055663,3.191650192475974,3.2186067344613076
Dev10-v4-pursuit-seed0-attempt1,17569,pursuit,0,1,Completed,100,1,2,S,True,True,0.20000000298023224,False,12,28,12,0.029837223306304,0.03798006412206219,0.0381541197651694,28,0.15212101042467072,0.22642963215840947,0.2277183924095939,28,1.4110359234981806,1.7230442337063088,1.7383130930220285
Dev10-v4-pursuit-seed0-attempt1,2091,pursuit,0,1,Failed - TickRuntime,79.01,2,1,left-sharp,True,True,0.5500000081956387,False,13,25,13,0.023401695634214105,0.04127990678169577,0.04395036303366956,25,0.08586505001327706,0.1131492512605926,0.11349573456402579,25,1.333510395042761,2.7177631209097552,3.2795062849722854
Dev10-v4-pursuit-seed0-attempt1,27494,pursuit,0,1,Completed,100,1,1,left-sharp,True,True,10.850000161677599,False,13,28,13,0.16834834371966934,0.19297999868895405,0.19347007407660896,28,0.12521461597154315,0.2545176727767952,0.2798659566737893,28,2.2891515781637737,3.9394279257595812,4.073074865804762
Dev10-v4-pursuit-seed0-attempt1,28198,pursuit,0,1,Completed,100,0,1,left-sharp,True,True,0.45000000670552254,False,13,25,13,0.015532756593315678,0.02269001018372753,0.022946146718186386,25,0.05370177738787423,0.10926298692456778,0.1377913288698673,25,1.4411564619488766,2.937370103847591,3.251791948330427
Dev10-v4-pursuit-seed0-attempt1,17569,pursuit,1,1,Completed,100,1,1,S,True,True,0.6500000096857548,False,12,25,12,0.016322513284425147,0.02548440458229241,0.026843451225229947,25,0.1360424933029318,0.24108908247684435,0.24844601543515482,25,2.28631825055663,3.191650192475974,3.2186067344613076
Dev10-v4-pursuit-seed0-attempt1,17569,pursuit,1,1,Completed,100,1,2,S,True,True,0.20000000298023224,False,12,28,12,0.029837223306304,0.03798006412206219,0.0381541197651694,28,0.15212101042467072,0.22642963215840947,0.2277183924095939,28,1.4110359234981806,1.7230442337063088,1.7383130930220285
Dev10-v4-pursuit-seed0-attempt1,2091,pursuit,1,1,Failed - TickRuntime,79.01,2,1,left-sharp,True,True,0.6000000089406967,False,13,25,13,0.023401695634214105,0.04127990678169577,0.04395036303366956,25,0.07855025061267211,0.10429864372103233,0.10495133362406188,25,1.403329787730032,2.9117236921988323,3.4800830671988456
Dev10-v4-pursuit-seed0-attempt1,27494,pursuit,1,1,Completed,100,1,1,left-sharp,True,True,10.850000161677599,False,13,28,13,0.16834834371966934,0.19297999868895405,0.19347007407660896,28,0.12521461597154315,0.2545176727767952,0.2798659566737893,28,2.2891515781637737,3.9394279257595812,4.073074865804762
Dev10-v4-pursuit-seed0-attempt1,28198,pursuit,1,1,Completed,100,0,1,left-sharp,True,True,0.45000000670552254,False,13,25,13,0.015532756593315678,0.02269001018372753,0.022946146718186386,25,0.05370177738787423,0.10926298692456778,0.1377913288698673,25,1.4411564619488766,2.937370103847591,3.251791948330427
Dev10-v4-pursuit-seed0-attempt1,17569,tcp,0,1,Completed,100,1,1,S,True,True,,True,12,25,12,0.035228365927900636,0.05552148949888171,0.05997792044258991,25,1.1539996246601856,1.385216643502124,1.3900006756958863,25,9.55833809294893,15.187041429623877,15.478512120439055
Dev10-v4-pursuit-seed0-attempt1,17569,tcp,0,1,Completed,100,1,2,S,True,True,,True,13,30,13,0.9368851336344522,1.1772370146135334,1.1916191995897272,30,0.4733295271054528,0.5930902583456754,0.5947751181377426,30,4.814760362510686,7.286076744844179,7.345759553358985
Dev10-v4-pursuit-seed0-attempt1,2091,tcp,0,2,Completed,100,1,1,left-sharp,True,True,,True,13,25,13,0.062301972844116815,0.10351972920518311,0.1087778360455766,25,0.5445934455473691,0.7611996029531183,0.7646829098636486,25,6.9031132507779835,10.917258851746986,11.047932069519893
Dev10-v4-pursuit-seed0-attempt1,27494,tcp,0,1,Completed,100,1,1,left-sharp,True,True,,True,12,31,12,0.28483301383874254,0.3567689956284077,0.36295014102253276,31,0.8496224595335186,1.4103744084527399,1.5971353919043418,31,18.45080501699301,29.39721173288638,30.449728631696917
Dev10-v4-pursuit-seed0-attempt1,28198,tcp,0,1,Completed,100,0,1,left-sharp,True,True,,True,12,26,12,0.05924332231139063,0.10257212931187544,0.10787113492317583,26,0.8173429332628432,0.9641066545691254,0.965904185116503,26,5.6949782760163465,8.565469267839177,9.149450837991738
Dev10-v4-pursuit-seed0-attempt1,17569,tcp,1,1,Completed,100,1,1,S,True,True,,True,12,25,12,0.035228365927900636,0.05552148949888171,0.05997792044258991,25,1.1539996246601856,1.385216643502124,1.3900006756958863,25,9.55833809294893,15.187041429623877,15.478512120439055
Dev10-v4-pursuit-seed0-attempt1,17569,tcp,1,1,Completed,100,1,2,S,True,True,,True,13,30,13,0.9368851336344522,1.1772370146135334,1.1916191995897272,30,0.4733295271054528,0.5930902583456754,0.5947751181377426,30,4.814760362510686,7.286076744844179,7.345759553358985
Dev10-v4-pursuit-seed0-attempt1,2091,tcp,1,1,Completed,100,1,1,left-sharp,True,True,,True,13,25,13,0.062301972844116815,0.10351972920518311,0.1087778360455766,25,0.5445934455473691,0.7611996029531183,0.7646829098636486,25,6.9031132507779835,10.917258851746986,11.047932069519893
Dev10-v4-pursuit-seed0-attempt1,27494,tcp,1,2,Completed,100,1,1,left-sharp,True,True,,True,12,31,12,0.28483301383874254,0.3567689956284077,0.36295014102253276,31,0.8496224595335186,1.4103744084527399,1.5971353919043418,31,18.45080501699301,29.39721173288638,30.449728631696917
Dev10-v4-pursuit-seed0-attempt1,28198,tcp,1,1,Completed,100,0,1,left-sharp,True,True,,True,12,26,12,0.05924332231139063,0.10257212931187544,0.10787113492317583,26,0.8173429332628432,0.9641066545691254,0.965904185116503,26,5.6949782760163465,8.565469267839177,9.149450837991738
