route,scen,status,t0,dur,final,disp,collided,frac_thr,n_plans,stay,rev,go,nav,top_cot,ncol_in,ncol_start
2643,AccidentTwoWays,Failed - TickRuntime,22.9,144.6,False,1.51,vehicle:vehicle.dodge.charger_police_2020,0.46,289,0.33,0.46,0.22,0.0,Nudge to the left to clear the stopped vehicle blocking the lane ahead,1,1
2643,AccidentTwoWays,Failed - TickRuntime,178.0,10.2,False,0.46,vehicle:vehicle.dodge.charger_police_2020,0.66,21,0.1,0.48,0.43,0.0,Keep distance to the cut-in vehicle since it merges into our lane ahead,0,0
2664,ParkedObstacleTwoWays,Failed - TickRuntime,22.3,177.8,True,5.32,vehicle:vehicle.mercedes.coupe_2020,0.56,355,0.29,0.39,0.32,0.0,Stop to yield to the cut-in vehicle from the right since it is entering our lane,1,1
2668,ParkedObstacleTwoWays,Failed - TickRuntime,16.0,113.6,False,4.38,vehicle:vehicle.lincoln.mkz_2020;vehicle:vehicle.mercedes.coupe_2020;vehicle:vehicle.ford.mustang;vehicle:vehicle.ford.mustang,0.53,226,0.32,0.46,0.22,0.0,Nudge to the left to clear the stopped vehicle blocking the lane ahead,2,1
2668,ParkedObstacleTwoWays,Failed - TickRuntime,167.1,17.4,False,0.63,vehicle:vehicle.lincoln.mkz_2020;vehicle:vehicle.mercedes.coupe_2020;vehicle:vehicle.ford.mustang;vehicle:vehicle.ford.mustang,0.35,35,0.51,0.43,0.06,0.0,Keep lane since the lane is clear ahead,1,0
2709,StaticCutIn,Failed - Agent got blo,23.3,60.0,True,0.16,vehicle:vehicle.audi.tt,0.43,120,0.41,0.33,0.27,0.0,Keep distance to the cut-in vehicle since it merges into our lane ahead,1,1
2847,OppositeVehicleRunningRedLight,Failed - Agent got blo,19.8,124.7,True,2.51,layout:static.prop.mesh,0.5,249,0.34,0.42,0.24,0.0,Nudge to the left to clear the stopped vehicle blocking the right side of our la,1,1
2903,NonSignalizedJunctionRightTurn,Failed - TickRuntime,27.5,172.6,True,0.28,layout:traffic.stop,0.47,345,0.36,0.45,0.19,1.0,Stop to yield to the cut-in vehicle from the right since it is entering our lane,1,1
2913,OppositeVehicleTakingPriority,Failed - Agent got blo,39.8,91.8,True,1.68,layout:traffic.speed_limit.30,0.49,183,0.33,0.5,0.17,0.0,Adapt speed for the right curve since the lane bends right ahead,1,1
3086,CrossingBicycleFlow,Failed - Agent got blo,29.3,105.8,True,0.05,layout:static.static,0.42,210,0.4,0.39,0.21,0.0,Keep distance to the lead vehicle since it is stopped ahead,0,0
3090,CrossingBicycleFlow,Failed - TickRuntime,19.5,180.6,True,0.58,layout:traffic.traffic_light,0.47,361,0.39,0.4,0.21,1.0,Keep distance to the lead vehicle since it is directly ahead in our lane,1,1
3099,CrossingBicycleFlow,Failed - Agent got blo,25.3,60.1,True,0.03,layout:static.static,0.43,120,0.4,0.34,0.26,1.0,Keep distance to the lead vehicle since it is directly ahead in our lane,1,1
3100,CrossingBicycleFlow,Failed - TickRuntime,18.1,147.5,False,2.6,layout:traffic.traffic_light;layout:traffic.speed_limit.30,0.47,294,0.29,0.55,0.16,1.0,Keep distance to the lead vehicle since it is directly ahead in our lane,1,1
3100,CrossingBicycleFlow,Failed - TickRuntime,168.7,31.4,True,0.25,layout:traffic.traffic_light;layout:traffic.speed_limit.30,0.39,62,0.35,0.4,0.24,1.0,Keep distance to the lead vehicle since it is directly ahead in our lane,1,1
3144,VanillaSignalizedTurnEncounterRedLight,Failed - Agent got blo,6.4,100.8,False,1.89,vehicle:vehicle.mini.cooper_s_2021,0.47,201,0.37,0.34,0.29,0.0,Keep distance to the lead vehicle since it is stopped ahead,1,1
3144,VanillaSignalizedTurnEncounterRedLight,Failed - Agent got blo,131.3,60.0,True,0.47,vehicle:vehicle.lincoln.mkz_2017,0.49,120,0.3,0.45,0.25,0.0,Nudge to the left to clear the tree blocking the center of our path,0,0
3178,VanillaNonSignalizedTurn,Completed,26.8,70.8,False,2.78,layout:static.fence;layout:static.fence,0.67,140,0.24,0.26,0.5,0.0,Keep distance to the lead vehicle since it is directly ahead in our lane,1,1
3184,VanillaNonSignalizedTurnEncounterStopsign,Failed - Agent got blo,25.7,60.1,True,0.32,layout:traffic.speed_limit.30,0.44,121,0.4,0.39,0.21,0.0,,1,1
3189,VanillaNonSignalizedTurnEncounterStopsign,Failed - Agent got blo,18.7,60.2,True,0.11,layout:traffic.speed_limit.30,0.49,119,0.34,0.34,0.3,0.0,Adapt speed to the speed limit since a 15 speed limit sign is posted ahead,0,0
3410,AccidentTwoWays,Failed - TickRuntime,36.3,163.8,True,0.06,vehicle:vehicle.dodge.charger_police_2020,0.33,326,0.41,0.43,0.16,0.0,Keep distance to the lead vehicle since it is stopped ahead,1,1
3514,ParkingExit,Failed - TickRuntime,4.1,196.0,True,0.07,vehicle:vehicle.nissan.patrol_2021,0.38,391,0.38,0.44,0.18,0.0,Keep distance to the lead vehicle since it is stopped ahead,1,1
3520,ParkingExit,Failed - TickRuntime,6.6,193.5,True,0.06,vehicle:vehicle.nissan.patrol_2021,0.35,385,0.42,0.41,0.17,0.0,Stop to keep distance to the lead vehicle since it is stationary ahead,1,1
3561,ControlLoss,Failed - Agent got blo,20.3,67.6,True,0.14,vehicle:vehicle.ford.mustang,0.45,135,0.36,0.4,0.24,0.0,Keep distance to the lead vehicle since it is directly ahead in our lane,1,1
3564,InvadingTurn,Failed - TickRuntime,14.4,185.6,True,1.41,vehicle:vehicle.chevrolet.impala,0.52,371,0.36,0.33,0.32,0.0,Nudge to the right to clear the stopped vehicle blocking the lane ahead,1,1
3666,NonSignalizedJunctionRightTurn,Failed - TickRuntime,19.3,180.3,False,0.35,vehicle:vehicle.lincoln.mkz_2017,0.49,359,0.32,0.44,0.24,1.0,Keep distance to the stopped vehicle blocking the lane ahead,1,1
3670,NonSignalizedJunctionRightTurn,Failed - TickRuntime,25.3,174.8,True,0.89,vehicle:vehicle.dodge.charger_2020,0.43,348,0.37,0.51,0.12,1.0,Stop to yield to the cut-in vehicle from the right since it is entering our lane,1,1
3676,NonSignalizedJunctionRightTurn,Failed - TickRuntime,28.7,171.4,True,1.76,layout:static.dynamic,0.49,342,0.3,0.54,0.16,0.0,Keep lane since the lane is clear ahead,1,1
3697,OppositeVehicleTakingPriority,Failed - Agent got blo,21.7,119.4,True,0.23,vehicle:vehicle.ford.ambulance,0.48,239,0.36,0.4,0.24,0.0,Keep lane since the lane is clear ahead,0,0
3708,VehicleTurningRoute,Failed - Agent got blo,37.5,60.1,True,0.36,layout:traffic.stop;layout:static.vegetation,0.4,119,0.35,0.55,0.1,0.0,Keep distance to the lead vehicle since it is directly ahead in our lane,1,1
3712,VehicleTurningRoute,Failed - Agent got blo,27.5,122.9,True,1.12,layout:static.fence,0.43,245,0.38,0.47,0.15,1.0,Stop to yield to the cyclist crossing ahead,1,1
3717,VehicleTurningRoute,Completed,20.8,14.7,False,0.34,layout:static.fence,0.59,29,0.31,0.45,0.24,1.0,Nudge to the left to clear the construction barrier blocking the right side of o,1,1
3731,VehicleTurningRoutePedestrian,Completed,15.3,14.8,False,0.06,vehicle:vehicle.audi.tt;vehicle:vehicle.audi.tt,0.3,29,0.34,0.45,0.21,1.0,Stop to keep distance to the lead vehicle since it is stopped ahead,1,1
3737,VehicleTurningRoutePedestrian,Failed - TickRuntime,28.9,16.8,False,0.09,vehicle:vehicle.dodge.charger_2020;vehicle:vehicle.dodge.charger_2020,0.34,33,0.36,0.36,0.27,1.0,Stop to keep distance to the lead vehicle since it is stationary ahead,1,1
3737,VehicleTurningRoutePedestrian,Failed - TickRuntime,55.4,85.0,False,1.07,vehicle:vehicle.audi.tt;vehicle:vehicle.audi.tt,0.45,169,0.37,0.47,0.17,0.0,Keep distance to the lead vehicle since it is stopped ahead,0,0
3737,VehicleTurningRoutePedestrian,Failed - TickRuntime,145.0,55.0,True,2.74,vehicle:vehicle.audi.tt;vehicle:vehicle.audi.tt;vehicle:vehicle.audi.tt;vehicle:vehicle.audi.tt,0.49,109,0.32,0.48,0.2,0.0,Stop to keep distance to the stopped lead vehicle blocking our lane,1,1
3865,VanillaSignalizedTurnEncounterRedLight,Failed - TickRuntime,19.6,180.5,True,0.19,vehicle:vehicle.ford.mustang,0.38,361,0.41,0.38,0.21,1.0,Keep distance to the lead vehicle since it is stopped ahead,1,1
3869,VanillaSignalizedTurnEncounterRedLight,Failed - Agent got blo,19.6,60.0,True,0.3,layout:static.prop.mesh,0.31,120,0.47,0.4,0.13,0.0,Keep distance to the lead vehicle since it is stopped ahead,1,1
3876,VanillaSignalizedTurnEncounterRedLight,Failed - Agent got blo,10.2,61.8,True,0.15,vehicle:vehicle.lincoln.mkz_2020,0.44,123,0.33,0.47,0.2,1.0,Keep distance to the lead vehicle since it is stopped ahead blocking our lane,1,1
3890,VanillaNonSignalizedTurn,Failed - TickRuntime,34.6,83.8,False,0.66,vehicle:vehicle.lincoln.mkz_2020;vehicle:vehicle.chevrolet.impala,0.47,167,0.33,0.51,0.16,1.0,Keep distance to the lead vehicle since it is stopped ahead in our lane,1,1
3890,VanillaNonSignalizedTurn,Failed - TickRuntime,122.0,78.1,True,0.04,vehicle:vehicle.lincoln.mkz_2020;vehicle:vehicle.chevrolet.impala,0.47,156,0.29,0.52,0.19,0.0,Keep distance to the lead vehicle since it is stopped ahead in our lane,1,1
3904,VanillaNonSignalizedTurnEncounterStopsign,Failed - Agent got blo,19.2,60.0,True,0.76,layout:traffic.speed_limit.30,0.48,119,0.41,0.37,0.22,0.9663865546218487,Keep distance to the lead vehicle since it is directly ahead in our lane,1,1
4183,SignalizedJunctionLeftTurn,Failed - TickRuntime,25.8,62.0,False,2.72,vehicle:vehicle.lincoln.mkz_2017,0.51,123,0.29,0.39,0.32,0.0,Keep distance to the lead vehicle since it is directly ahead in our lane,1,1
4183,SignalizedJunctionLeftTurn,Failed - TickRuntime,91.2,20.8,False,2.09,vehicle:vehicle.lincoln.mkz_2020;vehicle:vehicle.ford.mustang,0.57,41,0.22,0.59,0.2,0.0,Keep distance to the lead vehicle since it is stopped ahead,1,1
4183,SignalizedJunctionLeftTurn,Failed - TickRuntime,113.9,39.8,False,0.62,vehicle:vehicle.lincoln.mkz_2020;vehicle:vehicle.ford.mustang,0.57,79,0.24,0.49,0.27,0.0,Keep distance to the lead vehicle since it is stopped ahead,1,0
4183,SignalizedJunctionLeftTurn,Failed - TickRuntime,153.8,46.3,True,0.16,vehicle:vehicle.lincoln.mkz_2020;vehicle:vehicle.ford.mustang,0.67,92,0.22,0.34,0.45,0.0,Keep distance to the lead vehicle since it is directly ahead in our lane,1,1
4468,SignalizedJunctionLeftTurn,Failed - TickRuntime,22.7,177.4,True,1.8,layout:traffic.traffic_light,0.51,354,0.31,0.52,0.18,1.0,Turn left at the intersection since the cross-traffic vehicle has cleared,0,0
4669,SignalizedJunctionLeftTurn,Failed - TickRuntime,19.1,181.0,True,0.23,layout:static.prop.mesh;vehicle:vehicle.chevrolet.impala,0.44,362,0.34,0.47,0.19,1.0,Keep distance to the lead vehicle since it is stopped ahead,1,1
4683,SignalizedJunctionLeftTurn,Failed - TickRuntime,16.5,183.6,True,0.5,layout:static.prop.mesh,0.44,367,0.36,0.44,0.2,1.0,Keep distance to the lead vehicle since it is stopped ahead,1,1
4937,SignalizedJunctionRightTurn,Completed,43.9,90.4,False,1.16,vehicle:vehicle.lincoln.mkz_2020;vehicle:vehicle.lincoln.mkz_2017,0.5,179,0.34,0.5,0.16,0.0,Stop to keep distance to the stopped lead vehicle ahead,2,2
