route,kind,typ,t,dmin,v,vmax2s,plans,cot,low,lunge,revthr
17598,vehicle,vehicle.mercedes.coupe_2020,25.55,0.0,7.91,8.09,"[[23.7, 1.67, 'go', 11.57, 4.47, 0.75, 0.0], [24.2, 3.44, 'go', 21.1, 7.55, 0.75, 0.0], [24.7, 5.18, 'go', 20.47, 7.12, 0.75, 0.0], [25.2, 6.53, 'go', 24.32, 8.41, 0.75, 0.0]]",Change lanes to the left and accelerate to merge into a safe gap because a slow lead car b,False,False,False
17598,vehicle,vehicle.lincoln.mkz_2020,27.1,0.0,4.93,8.09,"[[25.2, 6.53, 'go', 24.32, 8.41, 0.75, 0.0], [25.7, 5.39, 'go', 26.35, 9.06, 0.75, 0.0], [26.2, 1.17, 'go', 15.01, 5.63, 0.75, 0.0], [26.7, 3.41, 'go', 28.78, 10.74, 0.75, 0.0]]",Keep distance to the lead vehicle since it is moving slowly ahead,False,False,False
17598,vehicle,vehicle.chevrolet.impala,32.35,0.0,5.03,5.29,"[[30.7, 0.76, 'go', 12.65, 4.91, 0.75, 0.0], [31.2, 1.8, 'go', 5.75, 2.04, 0.75, 0.0], [31.7, 3.43, 'go', 27.26, 10.21, 0.75, 0.0], [32.2, 5.2, 'go', 18.85, 6.5, 0.75, 0.0]]",Change lanes to the right due to slow lead vehicles in the leftmost lane and a safe gap be,False,False,False
17635,layout,static.guardrail,17.2,0.0,13.31,13.36,"[[15.6, 8.26, 'go', 27.12, 9.73, 0.75, 0.0], [16.1, 10.32, 'go', 33.52, 12.02, 0.75, 0.0], [16.6, 11.83, 'go', 41.75, 15.27, 0.75, 0.0], [17.1, 13.26, 'go', 35.55, 12.0, 0.0, 1.0]]",Keep distance to the lead vehicle since it is directly ahead in our lane,False,False,False
17635,layout,static.guardrail,23.75,0.0,4.38,4.38,"[[22.2, 0.0, 'rev', -4.12, 1.42, 0.75, 0.0], [22.7, 0.71, 'go', 4.9, 6.14, 0.75, 0.0], [23.2, 2.14, 'go', 8.21, 3.82, 0.75, 0.0], [23.7, 4.23, 'go', 10.67, 3.63, 0.0, 1.0]]",Keep distance to the lead vehicle since it is directly ahead in our lane,False,True,True
17635,layout,static.guardrail,68.95,0.0,2.94,9.08,"[[67.4, 7.99, 'go', 15.24, 5.81, 0.0, 1.0], [67.9, 0.06, 'rev', -7.2, 2.51, 0.75, 0.0], [68.4, 1.32, 'go', 5.17, 3.45, 0.75, 0.0], [68.9, 2.78, 'go', 4.25, 1.09, 0.0, 1.0]]",Keep lane since no lead vehicle is in our path,True,True,True
17635,vehicle,vehicle.mercedes.coupe_2020,15.05,0.0,5.16,9.33,"[[13.6, 2.97, 'go', 10.82, 3.63, 0.75, 0.0], [14.1, 2.26, 'go', 2.93, 3.65, 0.75, 0.0], [14.6, 4.22, 'rev', -0.44, 5.1, 0.75, 0.0], [15.1, 5.16, 'go', 20.25, 7.28, 0.75, 0.0]]",Keep distance to the cut-in vehicle since it merges into our lane ahead,False,False,False
17635,vehicle,vehicle.ford.mustang,66.65,0.0,8.85,8.88,"[[64.9, 2.61, 'go', 19.13, 7.86, 0.75, 0.0], [65.4, 4.64, 'go', 25.81, 9.6, 0.75, 0.0], [65.9, 5.59, 'go', 7.33, 7.36, 0.75, 0.0], [66.4, 7.78, 'go', 29.5, 11.42, 0.75, 0.0]]",Keep distance to the cut-in vehicle since it merges into our lane ahead,False,False,False
17635,vehicle,vehicle.ford.mustang,101.8,0.0,7.72,8.08,"[[100.0, 2.56, 'go', 20.81, 8.87, 0.75, 0.0], [100.5, 4.42, 'go', 25.9, 9.39, 0.75, 0.0], [101.0, 5.54, 'go', 19.93, 7.24, 0.75, 0.0], [101.5, 7.91, 'go', 19.08, 7.95, 0.11223867223793871, 0.0]]",Keep distance to the cut-in vehicle since it merges into our lane ahead,False,False,False
1773,vehicle,vehicle.audi.tt,8.4,0.0,3.24,5.93,"[[6.6, 5.05, 'go', 12.98, 4.53, 0.0, 1.0], [7.1, 0.0, 'go', 3.35, 1.14, 0.75, 0.0], [7.6, 0.79, 'go', 12.2, 4.8, 0.75, 0.0], [8.0, 2.08, 'go', 18.45, 6.84, 0.75, 0.0]]","Lane change to the left due to slower vehicles blocking the current right lane ahead, then",False,True,False
1773,vehicle,vehicle.lincoln.mkz_2017,13.65,0.0,7.56,7.77,"[[12.1, 3.9, 'go', 11.66, 4.11, 0.75, 0.0], [12.6, 4.12, 'go', 16.02, 6.41, 0.75, 0.0], [13.1, 5.19, 'go', 19.12, 6.79, 0.75, 0.0], [13.6, 7.35, 'go', 32.18, 11.51, 0.75, 0.0]]",Nudge to the right to increase clearance from the vehicle encroaching from the left,False,False,False
1773,vehicle,vehicle.chevrolet.impala,57.2,0.0,4.17,4.38,"[[55.6, 0.0, 'go', 2.48, 1.0, 0.75, 0.0], [56.1, 0.52, 'go', 9.79, 4.54, 0.75, 0.0], [56.6, 1.84, 'go', 7.4, 2.97, 0.75, 0.0], [57.1, 3.73, 'go', 16.09, 5.87, 0.75, 0.0]]",Change lanes to the right and merge into a gap because a slow lead vehicle blocks our lane,False,True,False
1773,vehicle,vehicle.mini.cooper_s_2021,59.75,0.0,5.08,5.28,"[[58.1, -0.01, 'rev', -2.42, 0.84, 0.75, 0.0], [58.6, 0.96, 'go', 5.45, 1.95, 0.75, 0.0], [59.1, 2.34, 'go', 12.93, 4.87, 0.75, 0.0], [59.6, 4.47, 'go', 13.93, 5.0, 0.75, 0.0]]",Lane change to the right due to slow/stopped vehicles blocking the current lane; merge int,False,True,True
1773,vehicle,vehicle.nissan.patrol_2021,150.65,0.0,7.58,7.81,"[[149.1, 1.97, 'go', 17.44, 6.45, 0.75, 0.0], [149.6, 3.95, 'go', 23.31, 8.4, 0.75, 0.0], [150.1, 5.18, 'go', 25.64, 9.15, 0.75, 0.0], [150.6, 7.37, 'go', 29.52, 10.56, 0.75, 0.0]]",Lane change to the right to avoid the stopped vehicle blocking the lane ahead,False,False,False
1790,vehicle,vehicle.diamondback.century,28.15,0.0,8.55,8.67,"[[26.6, 2.69, 'go', 15.62, 5.68, 0.75, 0.0], [27.1, 4.84, 'go', 21.92, 7.64, 0.75, 0.0], [27.6, 6.18, 'go', 20.16, 6.65, 0.75, 0.0], [28.1, 8.37, 'go', 24.16, 7.81, 0.0, 0.0]]",Keep distance to the cyclist since it is directly ahead in our lane,False,False,False
1825,layout,static.prop.trafficwarning,20.9,0.0,1.44,3.03,"[[19.1, 2.25, 'stay', 0.89, 0.1, 0.0, 1.0], [19.6, 0.0, 'stay', 0.59, 0.19, 0.0, 1.0], [20.1, 0.0, 'go', 2.43, 0.95, 0.75, 0.0], [20.6, 0.7, 'go', 8.62, 3.86, 0.75, 0.0]]",Nudge to the left to clear the construction trailer blocking the lane,True,True,False
1833,layout,static.prop.trafficwarning,24.2,0.0,1.77,1.9,"[[22.7, 0.0, 'rev', -1.01, 0.34, 0.0, 1.0], [23.2, 0.0, 'go', 2.64, 0.88, 0.75, 0.0], [23.7, 0.5, 'go', 9.41, 3.87, 0.75, 0.0], [24.2, 1.77, 'go', 12.68, 4.49, 0.75, 0.0]]",Nudge to the left to clear the construction cones blocking the right side of our lane,True,True,False
1852,vehicle,vehicle.dodge.charger_police_2020,24.6,0.0,0.66,1.1,"[[23.1, 0.0, 'stay', 0.52, 0.17, 0.0, 1.0], [23.6, 0.0, 'rev', -0.31, 0.11, 0.0, 1.0], [24.1, 0.0, 'go', 3.24, 1.07, 0.75, 0.0], [24.6, 0.66, 'go', 3.66, 1.26, 0.75, 0.0]]",Keep distance to the lead vehicle since it is stopped ahead,True,True,False
1956,vehicle,vehicle.mercedes.coupe_2020,3.55,0.0,2.37,3.56,"[[2.1, 3.39, 'go', 8.61, 3.05, 0.0, 1.0], [2.6, 0.03, 'rev', -2.2, 0.84, 0.75, 0.0], [3.1, 1.14, 'go', 6.94, 3.11, 0.75, 0.0], [3.6, 2.56, 'go', 12.91, 4.81, 0.75, 0.0]]","Lane change to the left due to slow/queued vehicles blocking the current right lane, using",True,True,True
2050,vehicle,vehicle.mercedes.coupe_2020,14.1,0.0,11.0,11.26,"[[12.3, 5.22, 'go', 16.13, 5.66, 0.75, 0.0], [12.8, 6.64, 'go', 30.2, 10.41, 0.75, 0.0], [13.3, 8.92, 'go', 27.97, 9.29, 0.75, 0.0], [13.8, 10.98, 'go', 35.64, 11.98, 0.75, 0.0]]",Nudge right due to the car encroaching from the left into our lane,False,False,False
2082,vehicle,vehicle.mercedes.coupe_2020,20.75,0.0,8.09,8.09,"[[19.1, 2.56, 'go', 9.17, 3.45, 0.75, 0.0], [19.6, 4.65, 'go', 16.75, 5.73, 0.75, 0.0], [20.1, 5.13, 'go', 20.8, 7.16, 0.75, 0.0], [20.6, 7.81, 'go', 22.06, 7.39, 0.0, 0.0]]",Keep distance to the lead vehicle since it is directly ahead in our lane,False,False,False
2084,vehicle,vehicle.mercedes.coupe_2020,17.15,0.0,8.8,8.86,"[[15.7, 3.96, 'go', 17.36, 6.18, 0.75, 0.0], [16.2, 5.2, 'go', 12.04, 6.09, 0.75, 0.0], [16.7, 7.23, 'go', 17.42, 9.73, 0.75, 0.0], [17.2, 8.86, 'go', 24.11, 10.72, 0.75, 0.0]]",Nudge left due to the stopped car blocking the right side of our lane,False,False,False
2091,layout,static.fence,16.9,0.0,10.53,10.58,"[[15.4, 7.48, 'go', 33.51, 11.77, 0.75, 0.0], [15.9, 9.42, 'go', 31.91, 10.81, 0.75, 0.0], [16.4, 9.08, 'go', 17.28, 9.31, 0.75, 0.0], [16.9, 10.53, 'go', 16.33, 4.87, 0.0, 1.0]]",Turn right due to the upcoming intersection,False,False,False
2115,vehicle,vehicle.mercedes.coupe_2020,25.1,0.0,7.38,7.91,"[[23.2, 1.98, 'go', 9.94, 5.17, 0.75, 0.0], [23.7, 4.02, 'go', 12.34, 7.37, 0.75, 0.0], [24.2, 5.26, 'go', 13.27, 5.56, 0.75, 0.0], [24.7, 7.59, 'go', 17.66, 7.41, 0.0, 0.0]]",Nudge right due to an oncoming vehicle ahead,False,False,False
2127,layout,traffic.stop,29.3,0.0,5.07,5.15,"[[27.7, 1.11, 'go', 3.56, 1.39, 0.75, 0.0], [28.2, 2.33, 'go', 4.39, 2.92, 0.75, 0.0], [28.8, 4.05, 'go', 10.48, 5.98, 0.75, 0.0], [29.3, 5.07, 'go', 6.71, 4.08, 0.0, 1.0]]",Keep distance to the lead vehicle since it is directly ahead in our lane after the right t,False,False,False
2127,vehicle,vehicle.carlamotors.firetruck,25.55,0.0,2.23,10.5,"[[23.7, 7.13, 'go', 26.79, 9.38, 0.75, 0.0], [24.2, 8.29, 'go', 10.09, 9.9, 0.75, 0.0], [24.7, 10.27, 'go', 18.23, 6.92, 0.0, 1.0], [25.2, 7.78, 'go', 6.34, 1.26, 0.0, 1.0]]",Nudge to the right to increase clearance from the stopped vehicles blocking the left side ,True,False,False
2143,layout,traffic.speed_limit.30,38.2,0.0,5.32,5.34,"[[36.7, 0.75, 'go', 4.26, 1.79, 0.75, 0.0], [37.2, 2.21, 'go', 10.33, 4.6, 0.75, 0.0], [37.7, 4.09, 'go', 12.53, 4.63, 0.75, 0.0], [38.2, 5.32, 'go', 24.19, 8.56, 0.75, 0.0]]",Keep lane since the lane is clear ahead,False,False,False
2143,vehicle,vehicle.dodge.charger_2020,47.15,0.0,1.75,1.96,"[[45.7, 1.15, 'go', 3.05, 0.93, 0.0, 1.0], [46.2, 0.0, 'go', 2.05, 0.67, 0.75, 0.0], [46.7, 0.6, 'go', 3.34, 1.11, 0.75, 0.0], [47.2, 1.96, 'go', 5.65, 1.72, 0.0, 1.0]]",Nudge to the right to create clearance for the stopped vehicle blocking the lane ahead,True,True,False
2144,layout,traffic.traffic_light,22.15,0.0,4.52,4.76,"[[20.6, 0.0, 'rev', -4.53, 1.93, 0.75, 0.0], [21.1, 0.84, 'go', 4.46, 2.64, 0.75, 0.0], [21.6, 2.17, 'go', 5.04, 2.71, 0.75, 0.0], [22.1, 4.25, 'go', 16.23, 7.05, 0.75, 0.0]]",Nudge left due to the stopped car blocking the right side of our lane,False,True,True
2144,layout,static.pole,32.15,0.0,2.16,2.32,"[[30.6, 0.0, 'stay', 0.25, 0.07, 0.0, 1.0], [31.1, 0.0, 'rev', -3.7, 1.24, 0.75, 0.0], [31.6, 0.76, 'go', 5.78, 2.5, 0.75, 0.0], [32.1, 2.0, 'go', 7.82, 3.2, 0.75, 0.0]]","Change lanes to the left due to the cyclist blocking the right side of our lane, then merg",True,True,True
2164,layout,static.fence,24.4,0.0,1.01,1.11,"[[22.7, 0.0, 'go', 2.38, 0.79, 0.75, 0.0], [23.2, 0.6, 'stay', 0.72, 0.2, 0.0, 1.0], [23.7, 0.0, 'go', 4.54, 1.57, 0.75, 0.0], [24.2, 0.69, 'go', 2.23, 0.82, 0.6126211070658438, 0.0]]",Keep distance to the lead vehicle since it is directly ahead in our lane,True,True,False
2164,layout,static.vegetation,64.85,0.0,4.66,5.04,"[[63.2, 0.68, 'go', 3.12, 1.19, 0.75, 0.0], [63.7, 1.93, 'go', 5.11, 2.06, 0.5853843186786173, 0.0], [64.2, 3.02, 'go', 8.0, 3.4, 0.75, 0.0], [64.7, 4.89, 'go', 10.15, 3.15, 0.0, 1.0]]",Nudge to the left to clear the tree blocking the center of our lane,False,False,False
2201,vehicle,vehicle.mercedes.coupe_2020,25.8,0.0,8.17,8.28,"[[24.2, 2.55, 'go', 6.94, 5.59, 0.75, 0.0], [24.7, 4.93, 'go', 10.65, 7.58, 0.75, 0.0], [25.2, 4.96, 'go', 11.31, 6.15, 0.75, 0.0], [25.7, 7.82, 'go', 32.41, 11.61, 0.75, 0.0]]",Turn right at the intersection since cross-traffic has cleared,False,False,False
2201,vehicle,vehicle.lincoln.mkz_2017,26.6,0.0,9.09,11.21,"[[24.7, 4.93, 'go', 10.65, 7.58, 0.75, 0.0], [25.2, 4.96, 'go', 11.31, 6.15, 0.75, 0.0], [25.7, 7.82, 'go', 32.41, 11.61, 0.75, 0.0], [26.2, 10.89, 'go', 28.01, 14.65, 0.75, 0.0]]",Turn right at the intersection since the right-turn traffic light turns green,False,False,False
2201,vehicle,vehicle.mercedes.coupe_2020,29.85,0.0,6.53,6.76,"[[28.2, 1.03, 'go', 17.93, 6.8, 0.75, 0.0], [28.7, 2.48, 'go', 20.22, 7.31, 0.75, 0.0], [29.2, 4.61, 'go', 23.4, 8.21, 0.75, 0.0], [29.7, 5.55, 'go', 24.07, 8.49, 0.75, 0.0]]",Keep lane since the lane is clear ahead,False,False,False
2204,vehicle,vehicle.audi.tt,32.35,0.0,0.92,1.07,"[[30.8, 0.0, 'rev', -2.7, 0.9, 0.75, 0.0], [31.3, 0.85, 'stay', 0.58, 0.28, 0.0, 1.0], [31.8, 0.0, 'go', 1.31, 0.43, 0.75, 0.0], [32.3, 0.72, 'go', 2.5, 0.91, 0.75, 0.0]]",Keep distance to the lead vehicle since it is stopped ahead,True,True,True
2215,layout,static.building,20.1,0.0,2.43,3.89,"[[18.6, 3.74, 'go', 8.39, 3.27, 0.0, 1.0], [19.1, 0.0, 'rev', -4.93, 1.73, 0.75, 0.0], [19.6, 0.95, 'go', 3.94, 1.72, 0.75, 0.0], [20.1, 2.43, 'go', 4.34, 1.23, 0.0, 1.0]]",Turn right to navigate around the building corner blocking the forward path,True,True,True
2283,layout,static.guardrail,9.35,0.0,2.02,2.02,"[[7.8, 0.52, 'stay', -0.25, 0.22, 0.0, 1.0], [8.3, 0.0, 'rev', -5.26, 1.78, 0.75, 0.0], [8.8, 0.61, 'go', 4.01, 1.75, 0.75, 0.0], [9.3, 1.93, 'stay', 1.15, 0.34, 0.0, 1.0]]",Keep lane since the lane is clear ahead,True,True,True
2373,vehicle,vehicle.lincoln.mkz_2020,42.3,0.0,0.88,2.1,"[[40.7, 0.69, 'go', 4.62, 1.78, 0.75, 0.0], [41.2, 1.96, 'stay', -0.15, 0.41, 0.0, 1.0], [41.7, 0.0, 'rev', -1.84, 0.63, 0.75, 0.0], [42.2, 0.73, 'rev', -6.15, 2.3, 0.75, 0.0]]",Stop to maintain a safe distance from the stopped vehicle blocking the lane ahead,True,True,True
2373,vehicle,vehicle.lincoln.mkz_2017,57.75,0.0,7.85,8.03,"[[56.2, 2.09, 'go', 10.77, 4.06, 0.75, 0.0], [56.7, 4.31, 'go', 14.86, 5.37, 0.75, 0.0], [57.2, 5.56, 'go', 27.49, 9.94, 0.75, 0.0], [57.7, 7.66, 'go', 38.26, 13.69, 0.75, 0.0]]","Change to the left lane and accelerate to pass slower traffic, after ensuring safe gap wit",False,False,False
2373,vehicle,vehicle.lincoln.mkz_2020,60.9,0.0,7.39,7.6,"[[59.2, 2.7, 'go', 20.72, 7.77, 0.75, 0.0], [59.7, 3.45, 'go', 22.71, 8.42, 0.75, 0.0], [60.2, 5.23, 'go', 20.72, 7.4, 0.75, 0.0], [60.7, 6.6, 'go', 30.23, 11.42, 0.75, 0.0]]",Change to the left lane and accelerate to merge because a car is entering from the right i,False,False,False
2390,vehicle,vehicle.dodge.charger_2020,17.45,0.0,2.64,2.83,"[[15.7, 0.0, 'rev', -0.56, 0.19, 0.0, 1.0], [16.2, 0.0, 'rev', -1.43, 0.62, 0.75, 0.0], [16.7, 0.6, 'rev', -1.96, 0.75, 0.75, 0.0], [17.2, 1.77, 'go', 6.89, 2.53, 0.75, 0.0]]","Change lanes to the right due to slow/stopped lead vehicles blocking the current lane, wai",True,True,True
2390,vehicle,vehicle.dodge.charger_2020,22.45,0.0,-1.56,-1.45,"[[20.7, -1.91, 'rev', -6.14, 2.06, 0.75, 0.0], [21.2, -1.91, 'rev', -3.77, 1.13, 0.75, 0.0], [21.7, -1.94, 'rev', -2.63, 0.81, 0.75, 0.0], [22.2, -2.0, 'rev', -4.06, 1.43, 0.75, 0.0]]",Stop for the stop sign controlling the junction,True,True,True
2397,vehicle,vehicle.mercedes.coupe_2020,24.05,0.0,0.35,0.89,"[[22.2, 0.0, 'stay', 0.62, 0.23, 0.0, 1.0], [22.7, 0.0, 'rev', -2.26, 0.76, 0.75, 0.0], [23.2, 0.89, 'go', 1.27, 0.36, 0.0, 1.0], [23.7, 0.0, 'rev', -3.85, 1.3, 0.75, 0.0]]",Stop to keep distance to the stopped lead vehicle blocking our lane,True,True,True
2403,vehicle,vehicle.mini.cooper_s_2021,45.8,0.0,5.24,5.28,"[[44.2, 1.76, 'go', 4.5, 3.65, 0.75, 0.0], [44.7, 3.52, 'go', 3.04, 3.62, 0.42007843860293315, 0.0], [45.2, 3.94, 'go', 1.55, 4.57, 0.75, 0.0], [45.7, 5.24, 'go', 8.09, 3.01, 0.0, 1.0]]",Yield to the cut-in vehicle from the left since it merges into our lane ahead,False,False,False
2509,layout,static.prop.trafficwarning,11.0,0.0,7.09,11.51,"[[9.3, 7.48, 'go', 33.72, 11.96, 0.75, 0.0], [9.8, 9.51, 'go', 33.57, 11.8, 0.75, 0.0], [10.3, 11.41, 'go', 19.2, 5.61, 0.0, 1.0], [10.8, 8.6, 'go', 7.29, 1.53, 0.0, 1.0]]",Keep distance to the lead vehicle since it is directly ahead in our lane,False,False,False
2513,layout,static.prop.trafficwarning,14.6,0.0,4.22,5.18,"[[12.7, 5.15, 'go', 6.57, 1.87, 0.0, 1.0], [13.2, 0.0, 'rev', -5.82, 2.04, 0.75, 0.0], [13.7, 1.12, 'go', 7.97, 3.84, 0.75, 0.0], [14.2, 2.51, 'go', 11.08, 4.4, 0.75, 0.0]]",Wait for a gap because a car is coming from behind in the left lane blocking an immediate ,False,True,True
2534,vehicle,vehicle.dodge.charger_police_2020,16.75,0.0,2.06,2.12,"[[15.2, 1.55, 'go', 4.24, 1.39, 0.0, 1.0], [15.7, 0.0, 'go', 1.71, 0.58, 0.75, 0.0], [16.2, 0.81, 'go', 6.68, 2.27, 0.75, 0.0], [16.7, 1.95, 'go', 2.77, 0.75, 0.0, 1.0]]",Keep distance to the lead vehicle since it is stopped ahead,True,True,False
2539,vehicle,vehicle.dodge.charger_police_2020,22.25,0.0,6.29,6.33,"[[20.7, 1.15, 'go', 13.3, 5.23, 0.75, 0.0], [21.2, 2.62, 'go', 19.45, 7.39, 0.75, 0.0], [21.7, 4.79, 'go', 18.85, 6.61, 0.75, 0.0], [22.2, 6.03, 'go', 15.57, 5.31, 0.0, 1.0]]",Keep distance to the lead vehicle since it is directly ahead in our lane,False,False,False
2554,vehicle,vehicle.mercedes.coupe_2020,21.95,0.0,1.52,1.62,"[[20.1, 0.0, 'go', 1.24, 0.41, 0.75, 0.0], [20.6, 0.57, 'stay', 1.14, 0.38, 0.0, 1.0], [21.1, 0.0, 'go', 1.22, 0.49, 0.75, 0.0], [21.6, 0.72, 'go', 4.04, 1.31, 0.75, 0.0]]",Keep distance to the lead vehicle since it is directly ahead in our lane,True,True,False
2606,layout,static.prop.trafficwarning,16.6,0.0,5.24,7.47,"[[15.1, 5.23, 'go', 17.23, 6.11, 0.75, 0.0], [15.6, 7.17, 'go', 19.83, 6.76, 0.0, 0.0], [16.1, 6.73, 'go', 20.19, 6.82, 0.5873159493158105, 0.0], [16.6, 5.24, 'go', 10.21, 3.18, 0.0, 1.0]]",Nudge to the left to clear the construction trailer blocking the lane,False,False,False
2643,layout,static.prop.mesh,196.45,0.0,8.81,9.95,"[[194.6, 6.13, 'go', 27.08, 9.51, 0.75, 0.0], [195.1, 5.46, 'go', 24.41, 8.56, 0.75, 0.0], [195.6, 7.61, 'go', 22.32, 7.8, 0.75, 0.0], [196.1, 9.7, 'go', 22.25, 7.18, 0.0, 1.0]]",Keep distance to the cut-in vehicle since it merges into our lane ahead,False,False,False
2643,vehicle,vehicle.dodge.charger_police_2020,22.8,0.0,1.37,2.18,"[[21.1, 0.72, 'go', 19.41, 7.61, 0.75, 0.0], [21.6, 2.05, 'go', 2.54, 0.61, 0.0, 1.0], [22.1, 0.0, 'go', 2.69, 0.89, 0.75, 0.0], [22.6, 0.77, 'go', 10.86, 4.45, 0.75, 0.0]]",Nudge to the left to clear the stopped lead vehicle blocking the lane,True,True,False
2664,vehicle,vehicle.mercedes.coupe_2020,22.2,0.0,5.18,5.25,"[[20.7, 0.79, 'go', 13.42, 5.4, 0.75, 0.0], [21.2, 2.12, 'go', 18.5, 6.9, 0.75, 0.0], [21.7, 4.23, 'go', 19.23, 6.85, 0.75, 0.0], [22.2, 5.18, 'go', 8.26, 2.49, 0.0, 1.0]]",Keep distance to the cut-in vehicle since it merges into our lane ahead,False,False,False
