source,route,seed,arm,step,t,speed,speed_3d,steer,b_shadow_steer,plan_k_right,k_cmd_right,k_ach_right,k_nom_right,k_ack_right,k_unscaled_right,replay_diff,reason,yaw_rate_right,world_x,world_y,yaw_deg
D3b,2084,0,B,404,20.250000301748514,8.34666803111248,8.411252133321533,-0.38386496901512146,-0.38386497262451386,-0.06427143116378928,nan,-0.12297034776258946,-0.15206892636842956,-0.1356407560006576,-0.1771325880151104,nan,,-1.0263926704447897,-1382.5582275390625,5322.0947265625,-20.803457260131836
D3b,2084,0,B,405,20.300000302493572,8.538745641915389,8.602438187438754,-0.400521457195282,-0.4005214574270778,-0.056379471246278345,nan,-0.126872209182009,-0.1591720031464968,-0.14126365102689173,-0.18616750211960664,nan,,-1.083329523233057,-1382.18212890625,5321.8896484375,-23.86042022705078
D3b,2084,0,B,406,20.35000030323863,8.626503703913007,8.686867208384145,-0.4085034728050232,-0.40850347111622487,-0.04756963425038016,nan,-0.13117380193171263,-0.1626122492635968,-0.14396675161285596,-0.19056646146897938,nan,,-1.1315712882202702,-1381.8155517578125,5321.6669921875,-27.039777755737305
D3b,2084,0,B,407,20.40000030398369,8.418102833470272,8.473201533091846,-0.404561847448349,-0.40456185662084154,-0.041273673830543915,nan,-0.1344075415043198,-0.16122219657165143,-0.14287612761710528,-0.1883884189417672,nan,,-1.1314565059772876,-1381.465087890625,5321.42724609375,-30.283212661743164
D3b,2084,0,B,408,20.450000304728746,8.997382229202938,9.056306388010801,-0.41882503032684326,-0.4188250318831867,-0.03468810323514472,nan,-0.135795569678785,-0.16658104102425897,-0.14706889974747628,-0.1963247078006575,nan,,-1.2218046454323894,-1381.1163330078125,5321.1591796875,-33.71119689941406
D3b,2084,0,C,327,16.400000244379044,6.492607052241627,6.562637566717849,-0.31881529092788696,-0.43423745393753055,-0.05706391366484083,-0.12653114121752648,-0.14948779165198905,-0.12653113568801158,-0.11494724405896091,-0.1435000950586377,2.220446049250313e-16,tracking,-0.9705654903037312,-1377.6099853515625,5326.1943359375,6.541822910308838
D3b,2084,0,C,328,16.4500002451241,6.535356276517302,6.592343096032779,-0.4188152849674225,0.05673078298568726,-0.03894402944480746,-0.18339571026601997,-0.1193604989040514,-0.1714667907654717,-0.15086407920082265,-0.19631923283027036,2.220446049250313e-16,tracking,-0.7800633856808288,-1377.2830810546875,5326.18798828125,4.0988078117370605
D3b,2084,0,C,339,17.00000025331974,7.859787813054749,7.901414721130226,-0.26809966564178467,-0.5106298202938504,-0.09078510700471049,-0.1035658495570022,-0.10390493374584674,-0.10356128739157514,-0.09567027073395612,-0.11878625356346185,9.992007221626409e-16,tracking,-0.8166707319718672,-1373.54296875,5325.07666015625,-23.79252052307129
D3b,2084,0,C,341,17.100000254809856,8.107278765602729,8.13217891877369,-0.1103370264172554,-0.0517179807027181,-0.16542647813421402,-0.03708059868221892,-0.08038884475538213,-0.0415246277086489,-0.04019527783400116,-0.04741337083443715,1.942890293094024e-16,tracking,-0.6517347740766438,-1372.8531494140625,5324.68505859375,-28.032705307006836
D3b,2084,0,C,342,17.150000255554914,8.36398072157186,8.373557258101588,-0.010337026789784431,-0.0517179807027181,-0.15786994759226802,0.020107917970559108,-0.06298604624980216,-0.00386208807677142,-0.0038502448773508053,-0.004415261884238628,1.942890293094024e-16,tracking,-0.5268140765613788,-1372.5054931640625,5324.46533203125,-29.645998001098633
D3b,2084,0,C,343,17.200000256299973,8.466204752042874,8.46762701760413,0.0738830491900444,-0.0517179807027181,-0.08403637434935979,0.02763117394527737,-0.025306486338030943,0.027631124690116214,0.027036145395291467,0.03164202793291483,3.3306690738754696e-16,tracking,-0.21424989489254562,-1372.1474609375,5324.248046875,-30.607248306274414
D3b,2084,0,C,344,17.25000025704503,8.490254685733223,8.491082634783275,0.17388305068016052,-0.0517179807027181,-0.08739140714579852,0.06743167721142207,-0.006739371122895463,0.06563384335120866,0.062373334988874575,0.07540461119277805,3.3306690738754696e-16,tracking,-0.05721897725505838,-1371.7830810546875,5324.0361328125,-30.922163009643555
D3b,2084,1,B,427,21.40000031888485,1.4384514599465827,1.4389470377918767,-0.05065778270363808,-0.05065778376741542,-0.0825937420458232,nan,-0.026878613820241676,-0.021101706422656345,-0.020752923369022378,-0.021664013380113274,nan,,-0.038663581291067034,-1387.5604248046875,5323.11376953125,-0.9865110516548157
D3b,2084,1,B,433,21.700000323355198,3.0418466723359803,3.0421532434849445,-0.051883596926927567,-0.05188359577001797,-0.1512365842153281,nan,-0.00753096658421598,-0.020971677003661277,-0.02062714404138447,-0.02218962820399921,nan,,-0.022908045643670844,-1386.9102783203125,5323.09033203125,-1.4189146757125854
D3b,2084,1,B,434,21.750000324100256,3.4359295905643967,3.437109780850416,-0.06386655569076538,-0.06386655315135917,-0.14182115107953658,nan,-0.01900480333091525,-0.025636676589360436,-0.025123692713838484,-0.027333412857245578,nan,,-0.06529916612754852,-1386.745849609375,5323.0830078125,-1.573578119277954
D3b,2084,1,B,435,21.800000324845314,3.8024652269946926,3.804529211282132,-0.08712468296289444,-0.0871246828739014,-0.14320814670515575,nan,-0.023970240470803865,-0.034778782257459034,-0.033841390590119244,-0.03735282859842203,nan,,-0.09114600587293259,-1386.562744140625,5323.072265625,-1.8114317655563354
D3b,2084,1,B,436,21.850000325590372,4.151979468484027,4.155867841872868,-0.10213708877563477,-0.10213708587197794,-0.13753100035309074,nan,-0.03181994937111939,-0.04054365294090642,-0.03927541094516674,-0.043851411438639534,nan,,-0.13211577647708897,-1386.3621826171875,5323.0576171875,-2.153839349746704
D3b,2084,1,B,437,21.90000032633543,4.49701682443126,4.50280029108866,-0.14257416129112244,-0.1425741654075682,-0.12744979229553938,nan,-0.03743949956564114,-0.05644842424822075,-0.05401978402648833,-0.06151800746923381,nan,,-0.16836605944497504,-1386.14453125,5323.03857421875,-2.602447986602783
D3b,2084,1,B,438,21.950000327080488,4.83401848659938,4.844460096285139,-0.0793946236371994,-0.07939462272036406,-0.13197759957691016,nan,-0.04938103423864856,-0.0310406754996687,-0.030291791352832335,-0.03401683379983495,nan,,-0.2387088323970241,-1385.910400390625,5323.013671875,-3.216034412384033
D3b,2084,1,B,439,22.000000327825546,5.195536094495725,5.201360760522694,-0.1276220828294754,-0.12762208893274266,-0.13185281392776182,nan,-0.034406836018488304,-0.0497424770058782,-0.04784690714708413,-0.05495447207250083,nan,,-0.17876195843145154,-1385.658935546875,5322.98681640625,-3.7809765338897705
D3b,2084,1,B,440,22.050000328570604,5.540942837076993,5.55028426250965,-0.17447809875011444,-0.17447809664118621,-0.11888883020741964,nan,-0.042608115208697485,-0.06792437961695881,-0.0644383687631343,-0.07567062666397102,nan,,-0.2360891307669836,-1385.3902587890625,5322.9541015625,-4.4032301902771
D3b,2084,1,B,441,22.100000329315662,5.668253042681262,5.6825827233610715,-0.24277998507022858,-0.24277999210067921,-0.11149881101724395,nan,-0.05137549541717393,-0.095492825458568,-0.08874342139671919,-0.10684517318866578,nan,,-0.29120930821765334,-1385.11181640625,5322.91357421875,-5.211123943328857
D3b,2084,1,B,442,22.15000033006072,5.582721206051436,5.604168314412219,-0.24743276834487915,-0.24743276477894852,-0.11394739008075666,nan,-0.07170091069277668,-0.09750299796457701,-0.09047690004387461,-0.10902184395214183,nan,,-0.4002861946177645,-1384.8365478515625,5322.86474609375,-6.258640766143799
D3b,2084,1,B,443,22.20000033080578,5.560549556107195,5.586443184082431,-0.2435363531112671,-0.24353634868438043,-0.11301745014661002,nan,-0.0831318345226338,-0.09591339067852431,-0.08910652372705283,-0.10719849954464145,nan,,-0.46225868555320815,-1384.5640869140625,5322.80859375,-7.521003246307373
D3b,2084,1,B,444,22.250000331550837,5.9685061068028,5.999693216586919,-0.26730310916900635,-0.26730311459344297,-0.10777986245112382,nan,-0.08126794407992997,-0.10535224295686627,-0.09719668365655715,-0.11840688408836772,nan,,-0.4850482205283705,-1384.2845458984375,5322.7421875,-8.89637279510498
D3b,2084,1,B,445,22.300000332295895,6.479834998590079,6.51853414979264,-0.2958585023880005,-0.29585848929774433,-0.09742556790374401,nan,-0.09221117727331091,-0.11674692389289786,-0.10681494089377928,-0.13217045965303179,nan,,-0.5975132137567941,-1383.98046875,5322.65966796875,-10.485093116760254
D3b,2084,1,B,446,22.350000333040953,6.9177667350676195,6.963841763803561,-0.3228382468223572,-0.3228382489147285,-0.09384336565784673,nan,-0.09385001827314238,-0.1276681921677999,-0.11588486479693087,-0.14551191622076795,nan,,-0.6492325344954326,-1383.65673828125,5322.55908203125,-12.290484428405762
D3b,2084,1,B,447,22.40000033378601,7.32185710921914,7.3754671312443065,-0.3041296899318695,-0.30412969556740593,-0.08897181969757628,nan,-0.10624975265420189,-0.11915912164299881,-0.10883062890051091,-0.13622372504415198,nan,,-0.7779455068239433,-1383.3172607421875,5322.439453125,-14.378283500671387
D3b,2084,1,B,448,22.45000033453107,7.72001034602141,7.77214773006588,-0.3352247178554535,-0.3352247215372821,-0.08095383539689277,nan,-0.09998053045473236,-0.13183546274970698,-0.11930807283078834,-0.15175865462543253,nan,,-0.7718507295112425,-1382.9639892578125,5322.2998046875,-16.59797477722168
D3b,2084,1,B,449,22.500000335276127,8.082323154698155,8.138318820424795,-0.38177210092544556,-0.38177210422025787,-0.06990910620376764,nan,-0.10983099347371968,-0.1516004782481926,-0.13526793059665898,-0.17601067463101813,nan,,-0.8876895816561465,-1382.599365234375,5322.13916015625,-19.011106491088867
D3b,2084,1,B,1597,79.90000119060278,1.0310623330478437,1.0383961225287903,-0.20041678845882416,-0.20041678647200267,-0.2362903332784791,nan,-0.08094190059623975,-0.08566641004706337,-0.08019479817727489,-0.0873523478428156,nan,,-0.08345614487008561,-1382.25341796875,5321.95849609375,-36.72023391723633
D3b,2084,1,B,1599,80.0000011920929,1.2906290807975143,1.291443265928257,-0.26791754364967346,-0.267917530602879,-0.23000196599129452,nan,-0.012863027393772142,-0.11574224931942906,-0.10597331984042824,-0.11869949370663137,nan,,-0.016601397221497387,-1382.164306640625,5321.8798828125,-37.12886428833008
D3b,2084,1,B,1600,80.05000119283795,1.3832368715756425,1.3863195388937575,-0.13772882521152496,-0.13772882786062027,-0.24142584033045233,nan,-0.04037886960823888,-0.057880793088775154,-0.055330121112508665,-0.05938663806536785,nan,,-0.055853541274661134,-1382.1121826171875,5321.8369140625,-37.22710037231445
D3b,2084,1,B,2729,136.5000020340085,1.1261406364860975,1.1293233321899383,-0.1142164021730423,-0.11421640064981249,-0.13384559919375355,nan,-0.04155229999365914,-0.048093896781220384,-0.04631965107544671,-0.04910185867364088,nan,,-0.04679373356232057,-1381.6453857421875,5321.4541015625,-37.73442077636719
D3b,2084,1,B,2730,136.55000203475356,1.2910728152896458,1.294343525009126,-0.16756640374660492,-0.16756640752156576,-0.1162172395524057,nan,-0.039003272801531874,-0.0708526261687152,-0.06706794360648509,-0.07258584166458719,nan,,-0.050356065221383826,-1381.599365234375,5321.4130859375,-37.88322448730469
D3b,2084,1,B,2731,136.60000203549862,1.4413866558254633,1.4479567480172437,-0.12060670554637909,-0.12060670673847197,-0.12048045113372963,nan,-0.06523280774411276,-0.05052300999643102,-0.04856865345780432,-0.051888163652839554,nan,,-0.09402569860439208,-1381.5479736328125,5321.3662109375,-38.132728576660156
D3b,2084,1,B,2732,136.65000203624368,1.6440345765248994,1.648887783683171,-0.06610975414514542,-0.06610975371466742,-0.12350141972549994,nan,-0.045158097889453075,-0.027456675745980683,-0.026869105652728802,-0.028297566847159297,nan,,-0.07424147434035694,-1381.4901123046875,5321.3134765625,-38.36180114746094
D3b,2084,1,B,2733,136.70000203698874,1.930246040050674,1.9324802723453116,-0.11966512352228165,-0.11966512501239776,-0.1118779397552151,nan,-0.03628312634001376,-0.049664268737301974,-0.04777454163874874,-0.0514772169239326,nan,,-0.07003536093846986,-1381.42041015625,5321.2529296875,-38.546966552734375
D3b,2084,1,B,2734,136.7500020377338,2.248562111825395,2.2535534523738416,-0.12734077870845795,-0.1273407758606805,-0.11472530758180624,nan,-0.03927171734476983,-0.05257808875075987,-0.050464832567135735,-0.05483136257248608,nan,,-0.08830489568776563,-1381.340576171875,5321.181640625,-38.78412628173828
D3b,2084,1,B,2735,136.80000203847885,2.52342937801902,2.529926053963815,-0.18601886928081512,-0.18601886285675898,-0.16209028635571407,nan,-0.05329000844249639,-0.07705401996517051,-0.07259866363070715,-0.08084686473405883,nan,,-0.13447357285867698,-1381.2513427734375,5321.09912109375,-39.12161636352539
D3b,2084,1,B,2736,136.8500020392239,2.800850451685334,2.8138389318797032,-0.11260481923818588,-0.1126048208607568,-0.10939570769653631,nan,-0.06333838685452974,-0.045931313269384245,-0.04431035221058825,-0.04840015300314016,nan,,-0.17740134943053004,-1381.154052734375,5321.00537109375,-39.58610153198242
D3b,2084,1,B,2737,136.90000203996897,3.107704575495501,3.115687711501008,-0.12974698841571808,-0.12974699371390874,-0.12119665541681181,nan,-0.048874047928113666,-0.052710148775352586,-0.05058647794626167,-0.05588484443214866,nan,,-0.15188610236918526,-1381.0457763671875,5320.90185546875,-40.0397834777832
D3b,2084,1,B,2738,136.95000204071403,3.463968801165968,3.4733102433856455,-0.17063651978969574,-0.170636521908972,-0.10990615731063433,nan,-0.0492065247317733,-0.06921992142158265,-0.0656032032830243,-0.07395471440141665,nan,,-0.17044986648466434,-1380.92578125,5320.7861328125,-40.5003547668457
D3b,2084,1,B,2739,137.00000204145908,3.804307022718107,3.8189976299695836,-0.21903330087661743,-0.2190333033270306,-0.0910910858248735,nan,-0.062168509147230405,-0.08899577177248884,-0.08310521725977245,-0.09584979983696483,nan,,-0.2365080959407235,-1380.7957763671875,5320.65478515625,-41.114540100097656
D3b,2084,1,B,2740,137.05000204220414,4.127748271136486,4.151414217137339,-0.26282089948654175,-0.26282089253266655,-0.0791535599079954,nan,-0.07780837833918128,-0.1070850073300728,-0.09866968189748697,-0.11627681225780025,nan,,-0.3211733991694891,-1380.658203125,5320.5087890625,-41.94881057739258
D3b,2084,1,B,2817,140.9000020995736,1.1877880853673992,1.2077445799652482,-0.481981486082077,-0.4819814811812507,-0.1118674645382237,nan,-0.11008513690559167,-0.2271787939679696,-0.1923717187687083,-0.23349067164225593,nan,,-0.13075781399250075,-1380.561279296875,5319.76171875,-33.75273132324219
D3b,2084,1,B,2818,140.95000210031867,1.4124819956406673,1.4439390633714435,-0.47222796082496643,-0.47222797446780734,-0.10458091983104037,nan,-0.1430182988560698,-0.22028252692642245,-0.18740367337468505,-0.22751385693028425,nan,,-0.20201077218135483,-1380.51220703125,5319.71435546875,-34.24531173706055
D3b,2084,1,B,2819,141.00000210106373,1.6436188446650482,1.7002833922829672,-0.33935263752937317,-0.3393526430924733,-0.09640157692239121,nan,-0.1857069548447339,-0.1487671499763101,-0.13300765823781555,-0.15385857676518308,nan,,-0.3052314505681658,-1380.4586181640625,5319.65625,-34.993408203125
D3b,2084,1,B,2820,141.0500021018088,1.8630979325024897,1.9046292644940448,-0.39449745416641235,-0.39449744794103836,-0.09056367226866228,nan,-0.13626104889656432,-0.1757407052367011,-0.154162748150528,-0.18287780037307613,nan,,-0.2538676784798096,-1380.39697265625,5319.59033203125,-35.75766372680664
D3b,2084,1,B,2821,141.10000210255384,2.0824083649485132,2.1362126885773973,-0.39291220903396606,-0.3929121948613061,-0.08681892619820623,nan,-0.15168528798712105,-0.17409420711330545,-0.1528942925448547,-0.18201631995713854,nan,,-0.3158707125440051,-1380.328369140625,5319.51611328125,-36.58449172973633
D3b,2084,1,B,2822,141.1500021032989,2.3539133653891025,2.412052470917856,-0.4177108108997345,-0.4177108159330156,-0.07902880821264359,nan,-0.14526495913224385,-0.18588841564781441,-0.16191653802260955,-0.19569920978713642,nan,,-0.34194112882409056,-1380.2523193359375,5319.4306640625,-37.53044128417969
D3b,2084,1,B,2823,141.20000210404396,2.6435363376270304,2.7153552889126025,-0.42287641763687134,-0.42287640690803524,-0.07710786977044466,nan,-0.15696580117819275,-0.1873934578896501,-0.16305724275201275,-0.19860716692812225,nan,,-0.4149447991792923,-1380.169189453125,5319.33251953125,-38.648834228515625
D3b,2084,1,B,2824,141.25000210478902,2.9852435036296225,3.065615992059371,-0.4162985384464264,-0.41629853871133593,-0.07594574949324957,nan,-0.15841226307538225,-0.18256867753145864,-0.1593919940325024,-0.19490775972926747,nan,,-0.4728991792410516,-1380.077880859375,5319.21923828125,-39.93861389160156
D3b,2084,1,B,2825,141.30000210553408,3.3524967378812933,3.439425209823131,-0.4465521275997162,-0.44655211647351584,-0.0673788926955302,nan,-0.15641823779244998,-0.1967631153408654,-0.17010553897287103,-0.2122102500773067,nan,,-0.524391631944329,-1379.9776611328125,5319.08935546875,-41.3815803527832
D3b,2084,1,B,2826,141.35000210627913,3.678131187578419,3.7797018590216798,-0.4299203157424927,-0.42992031216621396,-0.06199285701760942,nan,-0.16446105750089296,-0.1866806277066934,-0.16251726978887834,-0.2026063154886742,nan,,-0.6049093447361621,-1379.8712158203125,5318.94287109375,-43.03046798706055
D3b,2084,1,B,2827,141.4000021070242,4.02141683973791,4.125133074341017,-0.4223138093948364,-0.42231379522217644,-0.056486941484058556,nan,-0.15988464094187704,-0.18138280696695813,-0.15848735355015273,-0.198289441609824,nan,,-0.6429627874991136,-1379.7591552734375,5318.779296875,-44.82438659667969
D3b,2084,1,B,2828,141.45000210776925,4.362437651890561,4.467225577665592,-0.4296570420265198,-0.4296570519606272,-0.04324755453436843,nan,-0.15575243306932463,-0.18365164549093904,-0.1602168329826459,-0.202456128948186,nan,,-0.6794602783951863,-1379.641845703125,5318.5986328125,-46.7248420715332
D3b,2084,1,B,2829,141.5000021085143,4.694822422667311,4.80407641968231,-0.42135855555534363,-0.42135855979389614,-0.03642694710148507,nan,-0.15586562544302535,-0.17814605727598548,-0.15601058479665086,-0.1977505419459783,nan,,-0.7317614332529799,-1379.521484375,5318.400390625,-48.76210021972656
D3b,2084,1,B,2830,141.55000210925937,5.0391783942775,5.148493668328426,-0.29332226514816284,-0.29332226369116043,-0.03438983438784175,nan,-0.15265797953865126,-0.11812762023798537,-0.10796954890186665,-0.13093382121063368,nan,,-0.7692707922052282,-1379.39892578125,5318.18408203125,-50.91963577270508
D3b,2084,1,B,2831,141.60000211000443,5.457969011502754,5.5320957503956745,-0.3295239210128784,-0.32952391770150924,-0.032655488645243286,nan,-0.1177103879549658,-0.1328014650639902,-0.12009866235194844,-0.1488736406613585,nan,,-0.6424596497901703,-1379.2685546875,5317.95068359375,-52.91040802001953
D3b,2084,1,B,2832,141.65000211074948,5.536000593323031,5.6009561022692775,-0.3226659297943115,-0.32266592688030665,-0.031556996022887446,nan,-0.1276095760871575,-0.12956735995871282,-0.11744749237542769,-0.14542557497356337,nan,,-0.7064466889322044,-1379.13623046875,5317.70556640625,-54.79638671875
D3b,2084,1,C,339,17.00000025331974,1.3668627559842206,1.367030552866957,0.025993935763835907,-0.05441521176861392,-0.08018566379088604,0.010832531629367722,0.01972278571291973,0.010832529849778392,0.010739870879173443,0.01110595255772238,6.938893903907228e-18,tracking,0.026958341235247672,-1388.1038818359375,5323.2177734375,0.3344041109085083
D3b,2084,1,C,343,17.200000256299973,1.815876925199771,1.8161954054675178,-0.021269138902425766,-0.06925069375998444,-0.09808284569567063,-0.008789147795449644,0.01203616757221613,-0.008789146252879765,-0.008728048902185865,-0.009086265206758936,3.469446951953614e-18,tracking,0.021856198962225022,-1387.7818603515625,5323.22607421875,0.5642833709716797
D3b,2084,1,C,344,17.25000025704503,1.966908680591141,1.9669458051050064,-0.01991955190896988,-0.0690716460512744,-0.10532035267065895,-0.008208097169739704,-0.006221150856675871,-0.008208095148155516,-0.008154784570153104,-0.008509480570206998,1.3877787807814457e-17,tracking,-0.012236435623262784,-1387.6864013671875,5323.2265625,0.553349494934082
D3b,2084,1,C,346,17.350000258535147,2.303772017780812,2.304006727846947,0.031063931062817574,-0.061324916821387083,-0.11652826814887964,0.012723091616803031,0.011228810494274832,0.012723085568000168,0.012595452054792181,0.013274028025068635,2.7755575615628914e-17,tracking,0.025868619409673884,-1387.471435546875,5323.228515625,0.550529420375824
D3b,2084,1,C,347,17.400000259280205,2.4867340748377607,2.4870715810602944,0.025969546288251877,-0.07311825650433698,-0.1259366770807392,0.010598570583845739,0.012221961587573032,0.010598564554219769,0.01050984853970141,0.011095525113713403,0.0,tracking,0.03039276834117607,-1387.3505859375,5323.23193359375,0.6344197988510132
D3b,2084,1,C,348,17.450000260025263,2.687054268408587,2.687383469219293,0.00274600088596344,-0.09352495105730163,-0.13299778768153325,0.001116116823227717,0.010800384612636469,0.0011161161424549913,0.00111512487371856,0.0011728434286619768,1.734723475976807e-18,tracking,0.029021219573839248,-1387.2200927734375,5323.2353515625,0.7176991701126099
D3b,2084,1,C,349,17.50000026077032,2.890287218389928,2.890324593316931,0.013295530341565609,-0.09688953952656852,-0.1361125459078791,0.005383626395028424,0.0024049600229438463,0.005383621711684443,0.005360636452367429,0.005679127264227721,2.0816681711721685e-17,tracking,0.006951025215053348,-1387.0794677734375,5323.23779296875,0.7539335489273071
D3b,2084,1,C,350,17.55000026151538,3.1075975743917224,3.1076890354640474,-0.021355532109737396,-0.12376155652105807,-0.13430844644527468,-0.008612663744298886,0.004968057857596345,-0.008612655256985784,-0.008553978817750257,-0.009123189467382378,1.734723475976807e-17,tracking,0.01543872454770414,-1386.928466796875,5323.2412109375,0.7913194298744202
D3b,2084,1,C,351,17.600000262260437,3.3242590062921415,3.3243491777635024,-0.04939243942499161,-0.15522202340265115,-0.12910462495710096,-0.019854931877614165,-0.006440872545578325,-0.01985490559797064,-0.01954581897095427,-0.021121551252945094,2.7755575615628914e-17,tracking,-0.02141112856801854,-1386.7662353515625,5323.2421875,0.758087694644928
D3b,2084,1,C,352,17.650000263005495,3.5557241556455597,3.556619796710566,-0.0014785288367420435,-0.1558783241526948,-0.12547564494227637,-0.0005910756645041275,-0.017438517690693316,-0.0005910747268950078,-0.0005907966026201113,-0.0006314922254359978,1.474514954580286e-17,tracking,-0.06200655859145064,-1386.5928955078125,5323.2412109375,0.6137199401855469
