board,repo,category,original,verdict,reviewer,selection_seed,evidence,reason
navsim_v1,https://github.com/ZebinX/DriveVLA-M0,offline_candidate_library,no,no,independent_review_final,20260924,papers/drivevla_m0.pdf:5-7; repos/navsim_v1__drivevla_m0/navsim/agents/EpisodeDrive/action_decoder.py:154-207,离线 memory 储存失败案例的潜在特征/监督并作适应；推理候选由动作解码器生成，而非源域离线聚类固定大词表。
nuscenes,https://github.com/MSunDYY/SparseOccVLA,metric_grid_alignment,no,no,independent_review_final,20260924,repos/nuscenes__sparseoccvla/projects/configs/SparseOccVLA/sparseoccvla_stage3_4d_600q_forecasting.py:94-101; repos/nuscenes__sparseoccvla/projects/mmdet3d_plugin/models/detectors/sparseoccvla.py:544-562,规划训练使用 anchor 分类与轨迹差分 L1，未按碰撞占用评测的离散格尺度折减同格误差。
navsim_v1,https://github.com/valeoai/TOAD,future_label_conditioning,no,no,independent_review_final,20260924,"repos/navsim_v1__toad_nav1/navsim/agents/drivoR/drivor_features.py:38-60,207-229",测试特征来自 AgentInput 的当前/历史 ego 状态和导航命令；未来轨迹仅在 target builder 中作训练监督。
navsim_v2,https://github.com/valeoai/TOAD,metric_grid_alignment,no,no,independent_review_final,20260924,repos/navsim_v2__toad/navsim/agents/drivoR/layers/losses/drivor_loss.py:260-284,轨迹损失是连续坐标 L1 与多样性；式中 /0.5 是连续距离的评分辅助量，没有离散格内误差调权。
hugsim,https://github.com/AFARI-Research/WA-JEPA,simulator_pose_access,no,no,independent_review_final,20260924,repos/hugsim__wa_jepa/close_loop/hugsim_client.py:173-211; repos/hugsim__wa_jepa/close_loop/hugsim_planner.py:197-200,客户端使用主机 info 的 ego_box 构建历史位姿；未直接从仿真器 world/actor 查询位姿。
navsim_v1,https://github.com/ZebinX/DriveVLA-M0,future_label_conditioning,no,no,independent_review_final,20260924,"repos/navsim_v1__drivevla_m0/navsim/agents/EpisodeDrive/drivevla_features.py:85-106,150-160; repos/navsim_v1__drivevla_m0/navsim/common/dataclasses.py:200-204",测试提示命令取当前 ego_status.driving_command；未来轨迹另在 target builder 中生成，未证同一样本未来真值形成测试命令。
navsim_v2,https://github.com/valeoai/TOAD,metric_proxy_candidate_selection,no,no,independent_review_final,20260924,"repos/navsim_v2__toad/navsim/agents/drivoR/drivor_model.py:218-245,340-392; repos/navsim_v2__toad/README.md:175-179",DrivoR 先选基座候选作 CEM 锚点/回退；TOAD 正式推理反复生成并评估新轨迹，按 codebook 归测试搜索而非固定候选选择。
hugsim,https://github.com/hyzhou404/UniAD_SIM,control_interface_selection,no,no,independent_review_final,20260924,repos/hugsim__uniad/tools/closeloop/e2e.py:250-274; repos/hugsim__uniad/projects/mmdet3d_plugin/uniad/dense_heads/planning_head.py:175-198,客户端只取网络生成的 sdc_traj 作为输出；未在多种控制接口间选一路径再接手工控制器。
wod_e2e,https://github.com/vita-epfl/RAP,benchmark_target_shaping,no,no,independent_review_final,20260924,repos/wod_e2e__rap/README.md:175-191; repos/wod_e2e__rap/navsim/agents/rap_dino/rap_agent.py:485-501,Waymo 微调命令设 5 秒轨迹时域，损失直接拟合未来轨迹；未见专为榜单终点/子指标手工变形的监督目标。
hugsim,https://github.com/hyzhou404/UniAD_SIM,metric_proxy_candidate_selection,no,no,independent_review_final,20260924,repos/hugsim__uniad/projects/mmdet3d_plugin/uniad/dense_heads/planning_head.py:175-198; repos/hugsim__uniad/tools/closeloop/e2e.py:250-274,规划 query 聚合后回归一条 sdc_traj；未训练榜单子分数代理头来重排已有候选。
hugsim,https://github.com/hyzhou404/NAVSIM,inference_failure_brake_fallback,no,no,independent_review_final,20260924,repos/hugsim__ltf/ltf_e2e.py:56-78,RuntimeError 时发送 None 并退出客户端，没有发送全零轨迹使场景继续计分。
hugsim,https://github.com/hyzhou404/UniAD_SIM,metric_proxy_test_search,no,no,independent_review_final,20260924,"repos/hugsim__uniad/projects/configs/stage2_e2e/base_e2e.py:57,440-449; repos/hugsim__uniad/projects/mmdet3d_plugin/uniad/dense_heads/planning_head.py:193-235",测试可做碰撞优化，但目标是预测占用避碰，不调用榜单评分代理反复搜索新轨迹。
bench2drive,https://github.com/George-Ling3/BLUE,simulator_pose_access,no,no,independent_review_final,20260924,"repos/bench2drive__blue/team_code/agent_simlingo.py:351-401,468-494,1943-1949",闭环定位由 GPS/IMU 与 UKF 及公开全局路线完成；未直接查询 CARLA actor 的真实位姿。
bench2drive,https://github.com/swc-17/SparseDriveV2,multi_checkpoint_candidate_selection,no,no,independent_review_final,20260924,"repos/bench2drive__sparsedrivev2_b2d/leaderboard/team_code/sparsedrive_b2d_agent.py:70-113,489-512",评测 agent 从配置读取一个 ckpt_path 并加载一个模型；未汇合多个 checkpoint 候选后全局选轨。
