base_id,scenario,cls,seed,world,rid,mode,t_lat,max_abs_d,d_at_max,t_first_stop,v_min,k0,stop,ticks,registry_dropped,registry_kept,oncoming_in_window
1825,ConstructionObstacleTwoWays,2W,0,x00,182520,keep,,0.001,0.001,,7.444,45,route_end,276,ConstructionObstacleTwoWays,,0.0
1825,ConstructionObstacleTwoWays,2W,0,wnull,182530,bypass_L,119.0,3.243,3.243,,7.275,45,route_end,271,,ConstructionObstacleTwoWays,0.0
1825,ConstructionObstacleTwoWays,2W,0,x11,182540,stop,,0.011,0.011,155.0,0.0,45,after_trigger,845,,ConstructionObstacleTwoWays,6.0
1825,ConstructionObstacleTwoWays,2W,0,x01,182550,keep,,0.001,0.001,,7.444,45,route_end,276,ConstructionObstacleTwoWays,,3.0
1825,ConstructionObstacleTwoWays,2W,0,shoulder,182560,keep,,0.001,0.001,,7.444,45,route_end,276,ConstructionObstacleTwoWays,,0.0
1825,ConstructionObstacleTwoWays,2W,0,mirror,182570,stop,,0.008,-0.008,135.0,0.0,45,after_trigger,845,,ConstructionObstacleTwoWays,8.0
1825,ConstructionObstacleTwoWays,2W,1,x10,182511,bypass_L,120.0,3.128,3.128,,7.174,45,route_end,272,,ConstructionObstacleTwoWays,0.0
1825,ConstructionObstacleTwoWays,2W,1,x00,182521,keep,,0.002,0.002,,7.343,45,route_end,277,ConstructionObstacleTwoWays,,0.0
1825,ConstructionObstacleTwoWays,2W,1,x11,182541,stop,,0.003,0.003,113.0,0.0,45,after_trigger,845,,ConstructionObstacleTwoWays,7.0
1825,ConstructionObstacleTwoWays,2W,1,x01,182551,keep,,0.002,0.002,,7.343,45,route_end,277,ConstructionObstacleTwoWays,,5.0
1825,ConstructionObstacleTwoWays,2W,2,x10,182512,bypass_L,118.0,3.199,3.199,,7.333,45,route_end,271,,ConstructionObstacleTwoWays,0.0
1825,ConstructionObstacleTwoWays,2W,2,x00,182522,keep,,0.001,0.001,,8.506,45,route_end,275,ConstructionObstacleTwoWays,,0.0
1825,ConstructionObstacleTwoWays,2W,2,x11,182542,stop,,0.01,0.01,125.0,0.0,45,after_trigger,845,,ConstructionObstacleTwoWays,7.0
1825,ConstructionObstacleTwoWays,2W,2,x01,182552,keep,,0.001,0.001,,8.506,45,route_end,275,ConstructionObstacleTwoWays,,4.0
1833,ConstructionObstacleTwoWays,2W,0,x10,183310,bypass_L,136.0,3.085,3.085,,0.0,5,route_end,279,,ConstructionObstacleTwoWays,0.0
1833,ConstructionObstacleTwoWays,2W,0,x00,183320,keep,,0.001,-0.001,,0.0,5,route_end,286,ConstructionObstacleTwoWays,,0.0
1833,ConstructionObstacleTwoWays,2W,0,wnull,183330,bypass_L,136.0,3.085,3.085,,0.0,5,route_end,279,,ConstructionObstacleTwoWays,0.0
1833,ConstructionObstacleTwoWays,2W,0,x11,183340,stop,,0.001,0.001,158.0,0.0,5,after_trigger,857,,ConstructionObstacleTwoWays,6.0
1833,ConstructionObstacleTwoWays,2W,0,x01,183350,keep,,0.001,-0.001,,0.0,5,route_end,286,ConstructionObstacleTwoWays,,3.0
1833,ConstructionObstacleTwoWays,2W,0,shoulder,183360,keep,,0.002,0.002,,0.0,5,route_end,286,ConstructionObstacleTwoWays,,0.0
1833,ConstructionObstacleTwoWays,2W,0,mirror,183370,stop,,0.002,-0.002,139.0,0.0,5,after_trigger,857,,ConstructionObstacleTwoWays,7.0
1833,ConstructionObstacleTwoWays,2W,1,x10,183311,bypass_L,132.0,3.214,3.214,,0.0,5,route_end,276,,ConstructionObstacleTwoWays,0.0
1833,ConstructionObstacleTwoWays,2W,1,x00,183321,keep,,0.001,-0.001,,0.0,5,route_end,281,ConstructionObstacleTwoWays,,0.0
1833,ConstructionObstacleTwoWays,2W,1,x11,183341,stop,,0.001,-0.001,132.0,0.0,5,after_trigger,857,,ConstructionObstacleTwoWays,6.0
1833,ConstructionObstacleTwoWays,2W,1,x01,183351,keep,,0.001,-0.001,,0.0,5,route_end,281,ConstructionObstacleTwoWays,,5.0
1833,ConstructionObstacleTwoWays,2W,2,x10,183312,bypass_L,136.0,3.162,3.162,,0.0,5,route_end,279,,ConstructionObstacleTwoWays,0.0
1833,ConstructionObstacleTwoWays,2W,2,x00,183322,keep,,0.001,-0.001,,0.0,5,route_end,285,ConstructionObstacleTwoWays,,0.0
1833,ConstructionObstacleTwoWays,2W,2,x11,183342,stop,,0.004,0.004,173.0,0.0,5,after_trigger,857,,ConstructionObstacleTwoWays,6.0
1833,ConstructionObstacleTwoWays,2W,2,x01,183352,keep,,0.001,-0.001,,0.0,5,route_end,285,ConstructionObstacleTwoWays,,4.0
1852,AccidentTwoWays,2W,0,x10,185210,bypass_L,145.0,3.122,3.122,,0.0,5,route_end,289,,AccidentTwoWays,0.0
1852,AccidentTwoWays,2W,0,x00,185220,keep,,0.001,-0.001,,0.0,5,route_end,289,AccidentTwoWays,,0.0
1852,AccidentTwoWays,2W,0,wnull,185230,bypass_L,145.0,3.122,3.122,,0.0,5,route_end,289,,AccidentTwoWays,0.0
1852,AccidentTwoWays,2W,0,x11,185240,stop,,0.014,0.014,176.0,0.0,5,after_trigger,857,,AccidentTwoWays,6.0
1852,AccidentTwoWays,2W,0,x01,185250,keep,,0.001,-0.001,,0.0,5,route_end,289,AccidentTwoWays,,5.0
1852,AccidentTwoWays,2W,0,shoulder,185260,stop,,0.001,-0.001,172.0,0.0,5,after_trigger,857,AccidentTwoWays,,0.0
1852,AccidentTwoWays,2W,0,mirror,185270,stop,,0.005,0.005,165.0,0.0,5,after_trigger,857,,AccidentTwoWays,10.0
1852,AccidentTwoWays,2W,1,x10,185211,bypass_L,143.0,3.115,3.115,,0.0,5,route_end,284,,AccidentTwoWays,0.0
1852,AccidentTwoWays,2W,1,x00,185221,keep,,0.001,0.001,,0.0,5,route_end,286,AccidentTwoWays,,0.0
1852,AccidentTwoWays,2W,1,x11,185241,stop,,0.001,0.001,140.0,0.0,5,after_trigger,857,,AccidentTwoWays,6.0
1852,AccidentTwoWays,2W,1,x01,185251,keep,,0.001,0.001,,0.0,5,route_end,286,AccidentTwoWays,,5.0
1852,AccidentTwoWays,2W,2,x10,185212,bypass_L,143.0,3.088,3.088,,0.0,5,route_end,287,,AccidentTwoWays,0.0
1852,AccidentTwoWays,2W,2,x00,185222,keep,,0.001,0.001,,0.0,5,route_end,286,AccidentTwoWays,,0.0
1852,AccidentTwoWays,2W,2,x11,185242,stop,,0.002,0.002,150.0,0.0,5,after_trigger,853,,AccidentTwoWays,5.0
1852,AccidentTwoWays,2W,2,x01,185252,keep,,0.001,0.001,,0.0,5,route_end,286,AccidentTwoWays,,5.0
2509,ConstructionObstacle,1W,0,x10,250910,bypass_L,97.0,3.498,3.498,101.0,0.0,5,route_end,353,,ConstructionObstacle,
2509,ConstructionObstacle,1W,0,x00,250920,keep,,0.008,0.008,,0.0,5,route_end,170,ConstructionObstacle,,
2509,ConstructionObstacle,1W,0,wnull,250930,bypass_L,97.0,3.498,3.498,101.0,0.0,5,route_end,353,,ConstructionObstacle,
2509,ConstructionObstacle,1W,0,shoulder,250960,keep,,0.008,0.008,,0.0,5,route_end,170,ConstructionObstacle,,
2509,ConstructionObstacle,1W,1,x10,250911,wait_then_bypass_L,177.0,3.497,3.497,101.0,0.0,5,route_end,305,,ConstructionObstacle,
2509,ConstructionObstacle,1W,1,x00,250921,keep,,0.008,0.008,,0.0,5,route_end,172,ConstructionObstacle,,
2509,ConstructionObstacle,1W,2,x10,250912,wait_then_bypass_L,180.0,3.491,3.491,135.0,0.0,5,route_end,378,,ConstructionObstacle,
2509,ConstructionObstacle,1W,2,x00,250922,keep,,0.008,0.008,,0.0,5,route_end,187,ConstructionObstacle,,
2513,ConstructionObstacle,1W,0,x10,251310,wait_then_bypass_L,189.0,3.247,3.247,136.0,0.0,5,route_end,359,,ConstructionObstacle,
2513,ConstructionObstacle,1W,0,x00,251320,keep,,0.001,0.001,,0.0,5,route_end,292,ConstructionObstacle,,
2513,ConstructionObstacle,1W,0,wnull,251330,wait_then_bypass_L,189.0,3.247,3.247,136.0,0.0,5,route_end,359,,ConstructionObstacle,
2513,ConstructionObstacle,1W,0,shoulder,251360,keep,,0.01,0.01,,0.0,5,route_end,292,ConstructionObstacle,,
2513,ConstructionObstacle,1W,1,x10,251311,bypass_L,130.0,3.246,3.246,,0.0,5,route_end,302,,ConstructionObstacle,
2513,ConstructionObstacle,1W,1,x00,251321,keep,,0.002,-0.002,,0.0,5,route_end,292,ConstructionObstacle,,
2513,ConstructionObstacle,1W,2,x10,251312,bypass_L,136.0,3.246,3.246,,0.0,5,route_end,308,,ConstructionObstacle,
2513,ConstructionObstacle,1W,2,x00,251322,keep,,0.001,-0.001,,0.0,5,route_end,292,ConstructionObstacle,,
2534,Accident,1W,0,x10,253410,wait_then_bypass_L,176.0,3.5,3.5,133.0,0.0,5,route_end,347,,Accident,
2534,Accident,1W,0,x00,253420,keep,,0.002,0.002,,0.0,5,route_end,246,Accident,,
2534,Accident,1W,0,wnull,253430,wait_then_bypass_L,176.0,3.5,3.5,133.0,0.0,5,route_end,347,,Accident,
2534,Accident,1W,0,shoulder,253460,keep,,0.002,0.002,,0.0,5,route_end,246,Accident,,
2534,Accident,1W,1,x10,253411,bypass_L,133.0,3.498,3.498,,0.0,5,route_end,345,,Accident,
2534,Accident,1W,1,x00,253421,keep,,0.002,0.002,,0.0,5,route_end,243,Accident,,
2534,Accident,1W,2,x10,253412,bypass_L,140.0,3.5,3.5,144.0,0.0,5,route_end,415,,Accident,
2534,Accident,1W,2,x00,253422,keep,,0.003,0.003,,0.0,5,route_end,274,Accident,,
2539,Accident,1W,0,x10,253910,bypass_L,154.0,3.5,3.5,,0.0,5,route_end,325,,Accident,
2539,Accident,1W,0,x00,253920,keep,,0.017,0.017,,0.0,5,route_end,301,Accident,,
2539,Accident,1W,0,wnull,253930,bypass_L,154.0,3.5,3.5,,0.0,5,route_end,325,,Accident,
2539,Accident,1W,0,shoulder,253960,keep,,0.017,0.017,,0.0,5,route_end,301,Accident,,
2539,Accident,1W,1,x10,253911,bypass_L,138.0,3.499,3.499,,0.0,5,route_end,312,,Accident,
2539,Accident,1W,1,x00,253921,keep,,0.018,0.018,,0.0,5,route_end,310,Accident,,
2539,Accident,1W,2,x10,253912,wait_then_bypass_L,255.0,3.5,3.5,152.0,0.0,5,route_end,430,,Accident,
2539,Accident,1W,2,x00,253922,keep,,0.018,0.018,,0.0,5,route_end,301,Accident,,
2554,ParkedObstacle,1W,0,x10,255410,bypass_L,96.0,3.399,3.399,,0.0,5,route_end,268,,ParkedObstacle,
2554,ParkedObstacle,1W,0,x00,255420,keep,,0.002,0.002,,0.0,5,route_end,267,ParkedObstacle,,
2554,ParkedObstacle,1W,0,wnull,255430,bypass_L,96.0,3.399,3.399,,0.0,5,route_end,268,,ParkedObstacle,
2554,ParkedObstacle,1W,0,shoulder,255460,keep,,0.002,0.002,,0.0,5,route_end,267,ParkedObstacle,,
2554,ParkedObstacle,1W,1,x10,255411,bypass_L,100.0,3.388,3.388,,0.0,5,route_end,292,,ParkedObstacle,
2554,ParkedObstacle,1W,1,x00,255421,keep,,0.001,-0.001,,0.0,5,route_end,261,ParkedObstacle,,
2554,ParkedObstacle,1W,2,x10,255412,wait_then_bypass_L,189.0,3.363,3.363,143.0,0.0,5,route_end,370,,ParkedObstacle,
2554,ParkedObstacle,1W,2,x00,255422,keep,,0.001,0.001,,0.0,5,route_end,291,ParkedObstacle,,
2606,ConstructionObstacleTwoWays,2W,0,x10,260610,bypass_L,132.0,3.071,3.071,,0.0,5,route_end,273,,ConstructionObstacleTwoWays,0.0
2606,ConstructionObstacleTwoWays,2W,0,x00,260620,keep,,0.001,0.001,,0.0,5,route_end,280,ConstructionObstacleTwoWays,,0.0
2606,ConstructionObstacleTwoWays,2W,0,wnull,260630,bypass_L,132.0,3.071,3.071,,0.0,5,route_end,273,,ConstructionObstacleTwoWays,0.0
2606,ConstructionObstacleTwoWays,2W,0,x11,260640,stop,,0.003,0.003,162.0,0.0,5,after_trigger,853,,ConstructionObstacleTwoWays,6.0
2606,ConstructionObstacleTwoWays,2W,0,x01,260650,keep,,0.001,0.001,,0.0,5,route_end,280,ConstructionObstacleTwoWays,,3.0
2606,ConstructionObstacleTwoWays,2W,0,shoulder,260660,keep,,0.074,0.074,,0.0,5,route_end,280,ConstructionObstacleTwoWays,,0.0
2606,ConstructionObstacleTwoWays,2W,0,mirror,260670,stop,,0.002,0.002,147.0,0.0,5,after_trigger,853,,ConstructionObstacleTwoWays,9.0
2606,ConstructionObstacleTwoWays,2W,1,x10,260611,bypass_L,130.0,3.106,3.106,,0.0,5,route_end,271,,ConstructionObstacleTwoWays,0.0
2606,ConstructionObstacleTwoWays,2W,1,x00,260621,keep,,0.001,0.001,,0.0,5,route_end,277,ConstructionObstacleTwoWays,,0.0
2606,ConstructionObstacleTwoWays,2W,1,x11,260641,stop,,0.003,-0.003,167.0,0.0,5,after_trigger,857,,ConstructionObstacleTwoWays,6.0
2606,ConstructionObstacleTwoWays,2W,1,x01,260651,keep,,0.001,0.001,,0.0,5,route_end,277,ConstructionObstacleTwoWays,,5.0
2606,ConstructionObstacleTwoWays,2W,2,x10,260612,bypass_L,131.0,3.236,3.236,,0.0,5,route_end,273,,ConstructionObstacleTwoWays,0.0
2606,ConstructionObstacleTwoWays,2W,2,x00,260622,keep,,0.001,0.001,,0.0,5,route_end,277,ConstructionObstacleTwoWays,,0.0
2606,ConstructionObstacleTwoWays,2W,2,x11,260642,stop,,0.001,0.001,173.0,0.0,5,after_trigger,853,,ConstructionObstacleTwoWays,6.0
2606,ConstructionObstacleTwoWays,2W,2,x01,260652,keep,,0.001,0.001,,0.0,5,route_end,277,ConstructionObstacleTwoWays,,4.0
2643,AccidentTwoWays,2W,0,x10,264310,bypass_L,134.0,3.043,3.043,199.0,0.0,5,passed,345,,AccidentTwoWays,0.0
2643,AccidentTwoWays,2W,0,x00,264320,stop,,0.001,-0.001,235.0,0.0,5,passed,357,AccidentTwoWays,,0.0
2643,AccidentTwoWays,2W,0,wnull,264330,bypass_L,134.0,3.043,3.043,199.0,0.0,5,passed,345,,AccidentTwoWays,0.0
2643,AccidentTwoWays,2W,0,x11,264340,wait_then_bypass_L,209.0,2.989,2.989,140.0,0.0,5,passed,429,,AccidentTwoWays,4.0
2643,AccidentTwoWays,2W,0,x01,264350,stop,,0.003,0.003,222.0,0.0,5,passed,357,AccidentTwoWays,,4.0
2643,AccidentTwoWays,2W,0,shoulder,264360,stop,,0.001,-0.001,235.0,0.0,5,passed,357,AccidentTwoWays,,1.0
2643,AccidentTwoWays,2W,0,mirror,264370,stop,,0.002,-0.002,141.0,0.0,5,after_trigger,849,,AccidentTwoWays,7.0
2643,AccidentTwoWays,2W,1,x10,264311,bypass_L,135.0,3.207,3.207,223.0,0.0,5,passed,345,,AccidentTwoWays,0.0
2643,AccidentTwoWays,2W,1,x00,264321,stop,,0.002,0.002,234.0,0.0,5,passed,357,AccidentTwoWays,,0.0
2643,AccidentTwoWays,2W,1,x11,264341,wait_then_bypass_L,803.0,2.99,2.99,143.0,0.0,5,after_trigger,849,,AccidentTwoWays,4.0
2643,AccidentTwoWays,2W,1,x01,264351,stop,,0.001,-0.001,236.0,0.0,5,passed,357,AccidentTwoWays,,0.0
2643,AccidentTwoWays,2W,2,x10,264312,bypass_L,134.0,3.037,3.037,228.0,0.0,5,passed,345,,AccidentTwoWays,0.0
2643,AccidentTwoWays,2W,2,x00,264322,keep,,0.002,0.002,,0.0,5,route_end,236,AccidentTwoWays,,0.0
2643,AccidentTwoWays,2W,2,x11,264342,wait_then_bypass_L,722.0,2.99,2.99,142.0,0.0,5,route_end,833,,AccidentTwoWays,4.0
2643,AccidentTwoWays,2W,2,x01,264352,keep,,0.001,-0.001,,0.0,5,route_end,237,AccidentTwoWays,,0.0
2664,ParkedObstacleTwoWays,2W,0,x10,266410,bypass_L,134.0,1.612,1.612,,0.0,5,route_end,288,,ParkedObstacleTwoWays,0.0
2664,ParkedObstacleTwoWays,2W,0,x00,266420,keep,,0.001,0.001,,0.0,5,route_end,289,ParkedObstacleTwoWays,,0.0
2664,ParkedObstacleTwoWays,2W,0,wnull,266430,bypass_L,134.0,1.612,1.612,,0.0,5,route_end,288,,ParkedObstacleTwoWays,0.0
2664,ParkedObstacleTwoWays,2W,0,x11,266440,bypass_L,149.0,1.625,1.625,,0.0,5,route_end,310,,ParkedObstacleTwoWays,4.0
2664,ParkedObstacleTwoWays,2W,0,x01,266450,keep,,0.001,0.001,,0.0,5,route_end,289,ParkedObstacleTwoWays,,4.0
2664,ParkedObstacleTwoWays,2W,0,shoulder,266460,keep,,0.001,0.001,,0.0,5,passed,233,ParkedObstacleTwoWays,,1.0
2664,ParkedObstacleTwoWays,2W,0,mirror,266470,stop,,0.001,0.001,192.0,0.0,5,after_trigger,849,,ParkedObstacleTwoWays,6.0
2664,ParkedObstacleTwoWays,2W,1,x10,266411,bypass_L,136.0,1.609,1.609,,0.0,5,route_end,291,,ParkedObstacleTwoWays,0.0
2664,ParkedObstacleTwoWays,2W,1,x00,266421,keep,,0.001,0.001,,0.0,5,route_end,290,ParkedObstacleTwoWays,,0.0
2664,ParkedObstacleTwoWays,2W,1,x11,266441,wait_then_bypass_L,271.0,1.633,1.633,154.0,0.0,5,route_end,439,,ParkedObstacleTwoWays,6.0
2664,ParkedObstacleTwoWays,2W,1,x01,266451,keep,,0.001,0.001,,0.0,5,route_end,302,ParkedObstacleTwoWays,,6.0
2664,ParkedObstacleTwoWays,2W,2,x10,266412,bypass_L,136.0,1.613,1.613,,0.0,5,route_end,288,,ParkedObstacleTwoWays,0.0
2664,ParkedObstacleTwoWays,2W,2,x00,266422,keep,,0.001,0.001,,0.0,5,route_end,291,ParkedObstacleTwoWays,,0.0
2664,ParkedObstacleTwoWays,2W,2,x11,266442,bypass_L,171.0,1.62,1.62,,0.0,5,route_end,338,,ParkedObstacleTwoWays,5.0
2664,ParkedObstacleTwoWays,2W,2,x01,266452,keep,,0.001,0.001,,0.0,5,route_end,291,ParkedObstacleTwoWays,,5.0
2668,ParkedObstacleTwoWays,2W,0,x10,266810,bypass_L,134.0,1.645,1.645,,0.001,5,passed,321,,ParkedObstacleTwoWays,0.0
2668,ParkedObstacleTwoWays,2W,0,x00,266820,stop,,0.026,-0.026,222.0,0.0,5,passed,297,ParkedObstacleTwoWays,,0.0
2668,ParkedObstacleTwoWays,2W,0,wnull,266830,bypass_L,134.0,1.645,1.645,,0.001,5,passed,321,,ParkedObstacleTwoWays,0.0
2668,ParkedObstacleTwoWays,2W,0,x11,266840,wait_then_bypass_L,225.0,1.628,1.628,134.0,0.0,5,passed,421,,ParkedObstacleTwoWays,4.0
2668,ParkedObstacleTwoWays,2W,0,x01,266850,stop,,0.025,-0.025,220.0,0.0,5,passed,297,ParkedObstacleTwoWays,,4.0
2668,ParkedObstacleTwoWays,2W,0,shoulder,266860,stop,,0.026,-0.026,222.0,0.0,5,passed,297,ParkedObstacleTwoWays,,0.0
2668,ParkedObstacleTwoWays,2W,0,mirror,266870,stop,,0.023,-0.023,178.0,0.0,5,after_trigger,861,,ParkedObstacleTwoWays,8.0
2668,ParkedObstacleTwoWays,2W,1,x10,266811,bypass_L,129.0,1.631,1.631,231.0,0.0,5,passed,317,,ParkedObstacleTwoWays,0.0
2668,ParkedObstacleTwoWays,2W,1,x00,266821,stop,,0.024,-0.024,210.0,0.0,5,passed,289,ParkedObstacleTwoWays,,0.0
2668,ParkedObstacleTwoWays,2W,1,x11,266841,bypass_L,133.0,1.612,1.612,233.0,0.0,5,passed,321,,ParkedObstacleTwoWays,4.0
2668,ParkedObstacleTwoWays,2W,1,x01,266851,stop,,0.027,-0.027,208.0,0.0,5,passed,293,ParkedObstacleTwoWays,,4.0
2668,ParkedObstacleTwoWays,2W,2,x10,266812,bypass_L,131.0,1.649,1.649,246.0,0.0,5,passed,317,,ParkedObstacleTwoWays,0.0
2668,ParkedObstacleTwoWays,2W,2,x00,266822,stop,,0.025,-0.025,224.0,0.0,5,passed,293,ParkedObstacleTwoWays,,0.0
2668,ParkedObstacleTwoWays,2W,2,x11,266842,bypass_L,132.0,1.652,1.652,238.0,0.0,5,passed,321,,ParkedObstacleTwoWays,4.0
2668,ParkedObstacleTwoWays,2W,2,x01,266852,stop,,0.024,-0.024,228.0,0.0,5,passed,293,ParkedObstacleTwoWays,,4.0
2790,InvadingTurn,IT,0,x10,279010,bypass_R,98.0,1.197,-1.197,,15.861,81,route_end,155,,InvadingTurn,
2790,InvadingTurn,IT,0,x00,279020,keep,,0.002,-0.002,,15.971,81,route_end,154,InvadingTurn,,
2790,InvadingTurn,IT,0,wnull,279030,bypass_R,98.0,1.197,-1.197,,15.861,81,route_end,155,,InvadingTurn,
2790,InvadingTurn,IT,1,x10,279011,bypass_R,100.0,1.196,-1.196,,15.851,81,route_end,157,,InvadingTurn,
2790,InvadingTurn,IT,1,x00,279021,keep,,0.001,-0.001,,15.973,81,route_end,156,InvadingTurn,,
2790,InvadingTurn,IT,2,x10,279012,bypass_R,97.0,1.196,-1.196,,15.907,81,route_end,154,,InvadingTurn,
2790,InvadingTurn,IT,2,x00,279022,keep,,0.001,0.001,,15.971,81,route_end,153,InvadingTurn,,
2802,InvadingTurn,IT,0,x10,280210,bypass_R,128.0,1.266,-1.266,226.0,0.0,53,route_end,339,,InvadingTurn,
2802,InvadingTurn,IT,0,x00,280220,keep,,0.001,-0.001,,8.225,53,route_end,238,InvadingTurn,,
2802,InvadingTurn,IT,0,wnull,280230,bypass_R,128.0,1.266,-1.266,226.0,0.0,53,route_end,339,,InvadingTurn,
2802,InvadingTurn,IT,1,x10,280211,bypass_R,127.0,1.266,-1.266,231.0,0.0,49,route_end,360,,InvadingTurn,
2802,InvadingTurn,IT,1,x00,280221,keep,,0.001,-0.001,,7.575,49,route_end,240,InvadingTurn,,
2802,InvadingTurn,IT,2,x10,280212,bypass_R,128.0,1.265,-1.265,214.0,0.0,57,route_end,339,,InvadingTurn,
2802,InvadingTurn,IT,2,x00,280222,keep,,0.001,-0.001,,8.236,57,route_end,238,InvadingTurn,,
3307,Accident,1W,0,x10,330710,bypass_L,126.0,3.5,3.5,,0.0,5,route_end,299,,Accident,
3307,Accident,1W,0,x00,330720,keep,,0.002,-0.002,,0.0,5,route_end,263,Accident,,
3307,Accident,1W,0,wnull,330730,bypass_L,126.0,3.5,3.5,,0.0,5,route_end,299,,Accident,
3307,Accident,1W,0,shoulder,330760,keep,,0.002,-0.002,,0.0,5,route_end,263,Accident,,
3307,Accident,1W,1,x10,330711,wait_then_bypass_L,219.0,3.499,3.499,115.0,0.0,5,route_end,400,,Accident,
3307,Accident,1W,1,x00,330721,keep,,0.002,0.002,,0.0,5,route_end,228,Accident,,
3307,Accident,1W,2,x10,330712,bypass_L,106.0,1.179,1.179,113.0,0.0,5,after_trigger,845,,Accident,
3307,Accident,1W,2,x00,330722,keep,,0.001,-0.001,,0.0,5,route_end,238,Accident,,
3364,YieldToEmergencyVehicle,EV,0,x10,336410,bypass_R,141.0,3.5,-3.5,,6.564,141,route_end,221,,YieldToEmergencyVehicle,
3364,YieldToEmergencyVehicle,EV,0,x00,336420,keep,,0.001,-0.001,,20.456,141,route_end,149,YieldToEmergencyVehicle,,
3364,YieldToEmergencyVehicle,EV,0,wnull,336430,bypass_R,141.0,3.5,-3.5,,6.564,141,route_end,221,,YieldToEmergencyVehicle,
3364,YieldToEmergencyVehicle,EV,1,x10,336411,bypass_R,169.0,3.5,-3.5,,6.658,169,route_end,238,,YieldToEmergencyVehicle,
3364,YieldToEmergencyVehicle,EV,1,x00,336421,no_window,,,,,,169,route_end,147,YieldToEmergencyVehicle,,
3364,YieldToEmergencyVehicle,EV,2,x10,336412,bypass_R,125.0,3.5,-3.5,,8.345,125,route_end,199,,YieldToEmergencyVehicle,
3364,YieldToEmergencyVehicle,EV,2,x00,336422,keep,,0.001,0.001,,20.44,125,route_end,139,YieldToEmergencyVehicle,,
3373,YieldToEmergencyVehicle,EV,0,x10,337310,bypass_L,129.0,3.501,3.501,,6.884,129,route_end,210,,YieldToEmergencyVehicle,
3373,YieldToEmergencyVehicle,EV,0,x00,337320,keep,,0.001,-0.001,,20.125,129,route_end,141,YieldToEmergencyVehicle,,
