base_id,scenario,cls,seed,t_trig,t_vis,t_div,t_last,t_div_lat,smoke1_frames,smoke1_keep,max_d_x00_in_window,reason
2534,Accident,1W,2,57,5.0,68,274,138.0,11,11,0.001,ok
2539,Accident,1W,0,69,5.0,84,301,153.0,19,19,0.001,ok
2539,Accident,1W,1,69,5.0,83,310,137.0,20,20,0.001,ok
2539,Accident,1W,2,69,5.0,82,301,251.0,11,11,0.001,ok
2554,ParkedObstacle,1W,0,49,5.0,83,267,94.0,9,9,0.001,ok
2554,ParkedObstacle,1W,1,49,5.0,69,261,98.0,13,13,0.001,ok
2554,ParkedObstacle,1W,2,57,5.0,73,291,186.0,10,10,0.001,ok
2606,ConstructionObstacleTwoWays,2W,0,53,5.0,74,273,131.0,9,9,0.001,ok
2606,ConstructionObstacleTwoWays,2W,1,57,5.0,64,271,128.0,9,9,0.001,ok
2606,ConstructionObstacleTwoWays,2W,2,53,5.0,69,273,129.0,10,10,0.001,ok
2643,AccidentTwoWays,2W,0,49,5.0,70,345,133.0,10,10,0.001,ok
2643,AccidentTwoWays,2W,1,49,5.0,62,345,134.0,10,10,0.0,ok
2643,AccidentTwoWays,2W,2,49,5.0,68,236,133.0,10,10,0.001,ok
2664,ParkedObstacleTwoWays,2W,0,49,5.0,61,288,133.0,3,3,0.0,ok
2664,ParkedObstacleTwoWays,2W,1,49,5.0,61,290,135.0,3,3,0.0,ok
2664,ParkedObstacleTwoWays,2W,2,49,5.0,60,288,134.0,3,3,0.001,ok
2668,ParkedObstacleTwoWays,2W,0,53,5.0,79,297,133.0,3,3,0.015,ok
2668,ParkedObstacleTwoWays,2W,1,53,5.0,73,289,127.0,3,3,0.017,ok
2668,ParkedObstacleTwoWays,2W,2,53,5.0,76,293,130.0,2,2,0.015,ok
2790,InvadingTurn,IT,0,49,81.0,73,154,97.0,13,13,0.002,early
2790,InvadingTurn,IT,1,49,81.0,75,156,98.0,12,12,0.001,early
2790,InvadingTurn,IT,2,49,81.0,72,153,95.0,13,13,0.001,early
2802,InvadingTurn,IT,0,49,53.0,61,238,126.0,27,27,0.001,ok
2802,InvadingTurn,IT,1,49,49.0,61,240,125.0,27,27,0.001,ok
2802,InvadingTurn,IT,2,49,57.0,61,238,126.0,27,27,0.001,ok
3307,Accident,1W,0,45,5.0,58,263,124.0,19,19,0.001,ok
3307,Accident,1W,1,45,5.0,61,228,215.0,1,1,0.0,ok
3307,Accident,1W,2,45,5.0,49,238,104.0,32,32,0.001,ok
3364,YieldToEmergencyVehicle,EV,0,45,141.0,54,149,109.0,9,9,0.002,early
3364,YieldToEmergencyVehicle,EV,1,45,169.0,51,147,115.0,7,7,0.001,early
3364,YieldToEmergencyVehicle,EV,2,45,125.0,46,139,90.0,11,11,0.001,early
3373,YieldToEmergencyVehicle,EV,0,49,129.0,44,141,95.0,11,11,0.003,early
3373,YieldToEmergencyVehicle,EV,1,49,145.0,52,152,115.0,8,8,0.001,early
3373,YieldToEmergencyVehicle,EV,2,49,141.0,44,144,112.0,7,7,0.001,early
3378,YieldToEmergencyVehicle,EV,0,45,137.0,51,161,109.0,12,12,0.002,early
3378,YieldToEmergencyVehicle,EV,1,45,173.0,52,161,115.0,11,11,0.001,early
3378,YieldToEmergencyVehicle,EV,2,45,121.0,46,154,89.0,15,15,0.001,early
3380,YieldToEmergencyVehicle,EV,0,49,,46,140,94.0,10,10,0.004,never_visible
3380,YieldToEmergencyVehicle,EV,1,49,149.0,50,151,115.0,8,8,0.005,early
3380,YieldToEmergencyVehicle,EV,2,49,141.0,45,144,111.0,7,7,0.005,early
3410,AccidentTwoWays,2W,0,69,5.0,100,301,139.0,9,9,0.025,ok
3410,AccidentTwoWays,2W,1,61,5.0,89,284,128.0,9,9,0.025,ok
3410,AccidentTwoWays,2W,2,53,5.0,83,250,123.0,9,9,0.026,ok
3436,HazardAtSideLaneTwoWays,2W,0,69,5.0,96,301,178.0,11,11,0.001,ok
3436,HazardAtSideLaneTwoWays,2W,1,57,5.0,75,280,155.0,11,11,0.001,ok
3436,HazardAtSideLaneTwoWays,2W,2,53,5.0,66,276,151.0,11,11,0.001,ok
3457,ParkedObstacleTwoWays,2W,0,73,5.0,97,329,153.0,3,3,0.0,ok
3457,ParkedObstacleTwoWays,2W,1,57,5.0,70,325,131.0,3,3,0.0,ok
3457,ParkedObstacleTwoWays,2W,2,53,5.0,66,321,128.0,3,3,0.0,ok
3464,VehicleOpensDoorTwoWays,2W,0,69,5.0,110,329,153.0,1,1,0.0,ok
3464,VehicleOpensDoorTwoWays,2W,1,53,5.0,68,307,126.0,1,1,0.0,ok
3464,VehicleOpensDoorTwoWays,2W,2,53,5.0,63,292,126.0,1,1,0.0,ok
3472,VehicleOpensDoorTwoWays,2W,0,69,69.0,102,267,158.0,2,2,0.004,ok
3472,VehicleOpensDoorTwoWays,2W,1,57,57.0,96,255,149.0,1,1,0.004,ok
3472,VehicleOpensDoorTwoWays,2W,2,53,53.0,86,225,141.0,1,1,0.003,ok
3476,VehicleOpensDoorTwoWays,2W,0,49,45.0,80,220,128.0,2,2,0.001,ok
3476,VehicleOpensDoorTwoWays,2W,1,49,45.0,82,252,,0,0,,ok
3476,VehicleOpensDoorTwoWays,2W,2,49,45.0,76,257,,0,0,,ok
3482,VehicleOpensDoorTwoWays,2W,0,49,5.0,54,246,,0,0,,ok
3482,VehicleOpensDoorTwoWays,2W,1,53,5.0,90,309,,0,0,,ok
3482,VehicleOpensDoorTwoWays,2W,2,49,5.0,59,262,,0,0,,ok
3564,InvadingTurn,IT,0,53,93.0,109,223,114.0,0,0,,ok
3564,InvadingTurn,IT,1,49,61.0,106,220,111.0,0,0,,ok
3564,InvadingTurn,IT,2,49,89.0,103,217,108.0,0,0,,ok
3572,InvadingTurn,IT,0,49,89.0,95,160,100.0,0,0,,ok
3572,InvadingTurn,IT,1,49,61.0,89,155,94.0,0,0,,ok
3572,InvadingTurn,IT,2,45,61.0,80,145,85.0,0,0,,ok
3575,InvadingTurn,IT,0,81,105.0,124,184,130.0,0,0,,ok
3575,InvadingTurn,IT,1,57,89.0,94,154,100.0,0,0,,ok
3575,InvadingTurn,IT,2,53,61.0,89,149,95.0,0,0,,ok
20920,ConstructionObstacleTwoWays,2W,0,53,5.0,76,276,123.0,9,9,0.001,ok
20920,ConstructionObstacleTwoWays,2W,1,57,5.0,64,272,119.0,9,9,0.001,ok
20920,ConstructionObstacleTwoWays,2W,2,53,5.0,69,273,120.0,9,9,0.001,ok
24240,Accident,1W,0,49,5.0,87,218,142.0,18,18,0.101,ok
24240,Accident,1W,1,53,5.0,94,225,149.0,19,19,0.107,ok
24240,Accident,1W,2,49,5.0,85,221,150.0,18,18,0.087,ok
24258,HazardAtSideLaneTwoWays,2W,0,49,21.0,66,273,137.0,12,12,0.043,ok
24258,HazardAtSideLaneTwoWays,2W,1,49,21.0,66,273,137.0,12,12,0.043,ok
24258,HazardAtSideLaneTwoWays,2W,2,49,21.0,66,271,135.0,11,11,0.049,ok
24367,ConstructionObstacle,1W,0,57,5.0,71,280,110.0,18,18,0.001,ok
24367,ConstructionObstacle,1W,1,53,5.0,66,277,123.0,17,17,0.001,ok
24367,ConstructionObstacle,1W,2,57,5.0,69,280,165.0,17,17,0.001,ok
24757,ParkedObstacle,1W,0,49,5.0,71,284,119.0,8,8,0.001,ok
24757,ParkedObstacle,1W,1,49,5.0,70,284,118.0,8,8,0.001,ok
24757,ParkedObstacle,1W,2,49,5.0,66,286,121.0,10,10,0.001,ok
24785,ConstructionObstacle,1W,0,53,5.0,51,191,122.0,16,16,0.039,ok
24785,ConstructionObstacle,1W,1,53,5.0,51,185,126.0,14,14,0.038,ok
24785,ConstructionObstacle,1W,2,57,5.0,74,195,133.0,14,14,0.038,ok
24795,ConstructionObstacle,1W,0,53,5.0,49,183,118.0,15,15,0.037,ok
24795,ConstructionObstacle,1W,1,53,5.0,49,180,121.0,13,13,0.037,ok
24795,ConstructionObstacle,1W,2,53,5.0,78,190,127.0,14,14,0.039,ok
24816,Accident,1W,0,65,5.0,81,230,139.0,16,16,0.001,ok
24816,Accident,1W,1,65,5.0,79,231,,0,0,,ok
24816,Accident,1W,2,53,5.0,78,221,113.0,0,0,,ok
25300,HazardAtSideLane,1W,0,57,49.0,122,247,145.0,24,24,0.086,ok
25300,HazardAtSideLane,1W,1,57,49.0,187,322,193.0,29,29,0.068,ok
25300,HazardAtSideLane,1W,2,61,49.0,164,266,172.0,23,23,0.085,ok
25318,ParkedObstacle,1W,0,53,5.0,70,280,191.0,15,15,0.04,ok
25318,ParkedObstacle,1W,1,61,5.0,73,298,137.0,0,0,,ok
25318,ParkedObstacle,1W,2,53,5.0,73,309,136.0,18,18,0.063,ok
25378,YieldToEmergencyVehicle,EV,0,53,141.0,65,190,107.0,20,20,0.001,early
25378,YieldToEmergencyVehicle,EV,1,49,,78,199,111.0,21,21,0.001,never_visible
25378,YieldToEmergencyVehicle,EV,2,49,,48,181,107.0,18,18,0.001,never_visible
25381,HazardAtSideLane,1W,0,57,5.0,85,218,129.0,20,20,0.026,ok
25381,HazardAtSideLane,1W,1,57,5.0,88,223,137.0,19,19,0.015,ok
25381,HazardAtSideLane,1W,2,57,5.0,105,241,145.0,0,0,,ok
25383,ParkedObstacle,1W,0,49,5.0,70,303,138.0,17,17,0.038,ok
25383,ParkedObstacle,1W,1,57,5.0,80,333,147.0,10,10,0.03,ok
25383,ParkedObstacle,1W,2,49,5.0,65,304,131.0,8,8,0.039,ok
25424,ConstructionObstacleTwoWays,2W,0,53,5.0,69,208,130.0,9,9,0.001,ok
25424,ConstructionObstacleTwoWays,2W,1,61,5.0,86,218,142.0,10,10,0.001,ok
25424,ConstructionObstacleTwoWays,2W,2,65,5.0,83,219,142.0,10,10,0.001,ok
25439,HazardAtSideLane,1W,0,53,5.0,65,268,160.0,25,25,0.041,ok
25439,HazardAtSideLane,1W,1,65,5.0,79,282,171.0,27,27,0.042,ok
25439,HazardAtSideLane,1W,2,61,5.0,78,278,196.0,18,18,0.04,ok
25845,AccidentTwoWays,2W,0,57,5.0,75,284,136.0,10,10,0.003,ok
25845,AccidentTwoWays,2W,1,49,5.0,66,258,128.0,10,10,0.005,ok
25845,AccidentTwoWays,2W,2,49,5.0,61,240,126.0,10,10,0.003,ok
25854,HazardAtSideLaneTwoWays,2W,0,49,61.0,77,210,109.0,12,12,0.002,ok
25854,HazardAtSideLaneTwoWays,2W,1,49,69.0,91,215,119.0,11,11,0.001,ok
25854,HazardAtSideLaneTwoWays,2W,2,49,65.0,83,214,113.0,12,12,0.001,ok
25857,AccidentTwoWays,2W,0,49,5.0,78,227,106.0,10,10,0.135,ok
25857,AccidentTwoWays,2W,1,49,5.0,81,233,108.0,10,10,0.135,ok
25857,AccidentTwoWays,2W,2,49,5.0,86,244,113.0,11,11,0.141,ok
25865,ParkedObstacleTwoWays,2W,0,53,5.0,78,325,135.0,3,3,0.001,ok
25865,ParkedObstacleTwoWays,2W,1,57,5.0,84,329,139.0,3,3,0.0,ok
25865,ParkedObstacleTwoWays,2W,2,65,5.0,82,337,147.0,4,4,0.001,ok
25896,ParkedObstacleTwoWays,2W,0,53,65.0,74,265,127.0,3,3,0.001,ok
25896,ParkedObstacleTwoWays,2W,1,53,69.0,80,269,132.0,4,4,0.0,ok
25896,ParkedObstacleTwoWays,2W,2,53,65.0,79,270,129.0,3,3,0.0,ok
25928,VehicleOpensDoorTwoWays,2W,0,57,33.0,76,345,155.0,2,2,0.0,ok
25928,VehicleOpensDoorTwoWays,2W,1,65,33.0,101,237,169.0,2,2,0.0,ok
25928,VehicleOpensDoorTwoWays,2W,2,69,33.0,84,353,165.0,2,2,0.001,ok
25951,HazardAtSideLaneTwoWays,2W,0,53,5.0,67,280,146.0,12,12,0.046,ok
25951,HazardAtSideLaneTwoWays,2W,1,57,5.0,71,284,150.0,12,12,0.044,ok
25951,HazardAtSideLaneTwoWays,2W,2,57,5.0,70,283,150.0,12,12,0.045,ok
25955,HazardAtSideLaneTwoWays,2W,0,45,5.0,75,210,110.0,11,11,0.145,ok
25955,HazardAtSideLaneTwoWays,2W,1,49,5.0,78,214,112.0,11,11,0.144,ok
25955,HazardAtSideLaneTwoWays,2W,2,49,5.0,88,202,119.0,11,11,0.14,ok
