base_id,town,family,seed,plus,minus,t_trig,t_vis,t_div,t_last,reason,n_obs,t_div_null,n_null,null_window
24759,Town05,ParkingCutIn,0,2475910,2475920,65.0,5.0,168,400,ok,37,179.0,37.0,
24759,Town05,ParkingCutIn,1,2475911,2475921,65.0,5.0,168,400,ok,37,,,
24759,Town05,ParkingCutIn,2,2475912,2475922,65.0,5.0,168,400,ok,37,,,
24781,Town01,HardBreakRoute,0,2478110,2478120,65.0,,466,465,never_visible,0,466.0,30.0,fallback
24781,Town01,HardBreakRoute,1,2478111,2478121,65.0,,466,465,never_visible,0,,,
24781,Town01,HardBreakRoute,2,2478112,2478122,65.0,,466,465,never_visible,0,,,
25358,Town06,StaticCutIn,0,2535810,2535820,69.0,169.0,221,407,ok,13,451.0,13.0,
25358,Town06,StaticCutIn,1,2535811,2535821,69.0,181.0,235,419,ok,14,,,
25358,Town06,StaticCutIn,2,2535812,2535822,69.0,185.0,239,423,ok,14,,,
25863,Town07,PedestrianCrossing,0,2586310,2586320,41.0,41.0,442,441,ok,76,442.0,76.0,
25863,Town07,PedestrianCrossing,1,2586311,2586321,41.0,41.0,442,441,ok,76,,,
25863,Town07,PedestrianCrossing,2,2586312,2586322,41.0,41.0,442,441,ok,76,,,
25968,Town07,Light,0,2596810,2596820,637.0,637.0,994,993,ok,65,994.0,65.0,
25968,Town07,Light,1,2596811,2596821,637.0,637.0,996,995,ok,65,,,
25968,Town07,Light,2,2596812,2596822,637.0,637.0,994,993,ok,65,,,
25975,Town07,Light,0,2597510,2597520,,,602,601,never_visible,0,602.0,0.0,fallback
25975,Town07,Light,1,2597511,2597521,,,602,601,never_visible,0,,,
25975,Town07,Light,2,2597512,2597522,,,602,601,never_visible,0,,,
26396,Town05,StaticCutIn,0,2639610,2639620,61.0,77.0,216,398,ok,35,445.0,35.0,
26396,Town05,StaticCutIn,1,2639611,2639621,61.0,77.0,216,398,ok,35,,,
26396,Town05,StaticCutIn,2,2639612,2639622,61.0,77.0,216,398,ok,35,,,
26405,Town15,StaticCutIn,0,2640510,2640520,65.0,97.0,238,402,ok,35,448.0,35.0,
26405,Town15,StaticCutIn,1,2640511,2640521,65.0,93.0,231,398,ok,35,,,
26405,Town15,StaticCutIn,2,2640512,2640522,65.0,93.0,231,398,ok,35,,,
26406,Town04,HardBreakRoute,0,2640610,2640620,69.0,,470,469,never_visible,0,470.0,30.0,fallback
26406,Town04,HardBreakRoute,1,2640611,2640621,69.0,,470,469,never_visible,0,,,
26406,Town04,HardBreakRoute,2,2640612,2640622,69.0,,470,469,never_visible,0,,,
26456,Town03,HardBreakRoute,0,2645610,2645620,65.0,,466,465,never_visible,0,466.0,30.0,fallback
26456,Town03,HardBreakRoute,1,2645611,2645621,65.0,,466,465,never_visible,0,,,
26456,Town03,HardBreakRoute,2,2645612,2645622,65.0,,466,465,never_visible,0,,,
26944,Town04,OppositeVehicleRunningRedLight,0,2694410,2694420,61.0,145.0,146,461,ok,0,462.0,30.0,fallback
26944,Town04,OppositeVehicleRunningRedLight,1,2694411,2694421,61.0,145.0,146,461,ok,0,,,
26944,Town04,OppositeVehicleRunningRedLight,2,2694412,2694422,61.0,145.0,146,461,ok,0,,,
26950,Town03,OppositeVehicleRunningRedLight,0,2695010,2695020,41.0,141.0,247,246,ok,2,247.0,2.0,
26950,Town03,OppositeVehicleRunningRedLight,1,2695011,2695021,41.0,141.0,247,246,ok,2,,,
26950,Town03,OppositeVehicleRunningRedLight,2,2695012,2695022,41.0,141.0,247,246,ok,2,,,
2709,Town12,StaticCutIn,0,270910,270920,61.0,77.0,230,362,ok,38,233.0,38.0,
2709,Town12,StaticCutIn,1,270911,270921,61.0,77.0,230,362,ok,38,,,
2709,Town12,StaticCutIn,2,270912,270922,61.0,77.0,230,362,ok,38,,,
2715,Town12,StaticCutIn,0,271510,271520,69.0,77.0,227,393,ok,38,454.0,38.0,
2715,Town12,StaticCutIn,1,271511,271521,69.0,77.0,227,393,ok,38,,,
2715,Town12,StaticCutIn,2,271512,271522,69.0,77.0,226,393,ok,37,,,
27515,Town03,PedestrianCrossing,0,2751510,2751520,73.0,129.0,474,473,ok,62,474.0,62.0,
27515,Town03,PedestrianCrossing,1,2751511,2751521,69.0,121.0,470,469,ok,63,,,
27515,Town03,PedestrianCrossing,2,2751512,2751522,69.0,121.0,470,469,ok,63,,,
27529,Town04,PedestrianCrossing,0,2752910,2752920,41.0,41.0,105,357,ok,16,358.0,16.0,
27529,Town04,PedestrianCrossing,1,2752911,2752921,41.0,41.0,105,358,ok,16,,,
27529,Town04,PedestrianCrossing,2,2752912,2752922,41.0,41.0,105,367,ok,16,,,
27582,Town11,PedestrianCrossing,0,2758210,2758220,41.0,41.0,431,430,ok,73,431.0,73.0,
27582,Town11,PedestrianCrossing,1,2758211,2758221,41.0,41.0,431,430,ok,73,,,
27582,Town11,PedestrianCrossing,2,2758212,2758222,41.0,41.0,431,430,ok,73,,,
2844,Town12,OppositeVehicleRunningRedLight,0,284410,284420,41.0,,136,227,never_visible,0,146.0,26.0,fallback
2844,Town12,OppositeVehicleRunningRedLight,1,284411,284421,41.0,,136,227,never_visible,0,,,
2844,Town12,OppositeVehicleRunningRedLight,2,284412,284422,41.0,,136,227,never_visible,0,,,
2847,Town12,OppositeVehicleRunningRedLight,0,284710,284720,49.0,,127,239,never_visible,0,450.0,30.0,fallback
2847,Town12,OppositeVehicleRunningRedLight,1,284711,284721,49.0,,127,239,never_visible,0,,,
2847,Town12,OppositeVehicleRunningRedLight,2,284712,284722,49.0,,127,239,never_visible,0,,,
3072,Town12,HighwayCutIn,0,307210,307220,53.0,73.0,275,380,ok,51,454.0,51.0,
3072,Town12,HighwayCutIn,1,307211,307221,53.0,73.0,275,380,ok,51,,,
3072,Town12,HighwayCutIn,2,307212,307222,53.0,81.0,288,396,ok,52,,,
3074,Town12,HighwayCutIn,0,307410,307420,25.0,25.0,201,321,ok,44,426.0,44.0,
3074,Town12,HighwayCutIn,1,307411,307421,25.0,25.0,201,321,ok,44,,,
3074,Town12,HighwayCutIn,2,307412,307422,25.0,25.0,201,321,ok,44,,,
3080,Town12,HighwayCutIn,0,308010,308020,49.0,57.0,283,379,ok,56,450.0,56.0,
3080,Town12,HighwayCutIn,1,308011,308021,49.0,57.0,282,379,ok,56,,,
3080,Town12,HighwayCutIn,2,308012,308022,49.0,57.0,298,394,ok,60,,,
3144,Town12,Light,0,314410,314420,,,642,641,never_visible,0,642.0,0.0,fallback
3144,Town12,Light,1,314411,314421,,,642,641,never_visible,0,,,
3144,Town12,Light,2,314412,314422,,,642,641,never_visible,0,,,
3248,Town13,ParkingCrossingPedestrian,0,324810,324820,57.0,153.0,161,396,ok,2,444.0,2.0,
3248,Town13,ParkingCrossingPedestrian,1,324811,324821,57.0,149.0,159,393,ok,3,,,
3248,Town13,ParkingCrossingPedestrian,2,324812,324822,57.0,149.0,159,393,ok,3,,,
3255,Town13,ParkingCrossingPedestrian,0,325510,325520,65.0,161.0,170,465,ok,2,466.0,2.0,
3255,Town13,ParkingCrossingPedestrian,1,325511,325521,65.0,157.0,168,465,ok,3,,,
3255,Town13,ParkingCrossingPedestrian,2,325512,325522,65.0,157.0,168,465,ok,3,,,
3540,Town13,HardBreakRoute,0,354010,354020,69.0,,470,469,never_visible,0,470.0,30.0,fallback
3540,Town13,HardBreakRoute,1,354011,354021,65.0,,466,465,never_visible,0,,,
3540,Town13,HardBreakRoute,2,354012,354022,65.0,,466,465,never_visible,0,,,
3731,Town13,VehicleTurningRoutePedestrian,0,373110,373120,41.0,41.0,442,441,ok,76,442.0,76.0,
3731,Town13,VehicleTurningRoutePedestrian,1,373111,373121,41.0,41.0,442,441,ok,76,,,
3731,Town13,VehicleTurningRoutePedestrian,2,373112,373122,41.0,41.0,442,441,ok,76,,,
3737,Town13,VehicleTurningRoutePedestrian,0,373710,373720,37.0,61.0,438,437,ok,70,438.0,70.0,
3737,Town13,VehicleTurningRoutePedestrian,1,373711,373721,37.0,61.0,438,437,ok,70,,,
3737,Town13,VehicleTurningRoutePedestrian,2,373712,373722,37.0,61.0,438,437,ok,70,,,
3813,Town13,HighwayCutIn,0,381310,381320,53.0,97.0,281,418,ok,46,454.0,46.0,
3813,Town13,HighwayCutIn,1,381311,381321,53.0,81.0,273,402,ok,48,,,
3813,Town13,HighwayCutIn,2,381312,381322,53.0,81.0,273,402,ok,48,,,
3865,Town13,Light,0,386510,386520,617.0,617.0,619,776,ok,1,891.0,1.0,
3865,Town13,Light,1,386511,386521,617.0,617.0,619,782,ok,1,,,
3865,Town13,Light,2,386512,386522,617.0,617.0,619,780,ok,1,,,
3869,Town13,Light,0,386910,386920,609.0,609.0,610,768,ok,0,883.0,30.0,fallback
3869,Town13,Light,1,386911,386921,609.0,609.0,610,768,ok,0,,,
3869,Town13,Light,2,386912,386922,609.0,609.0,610,768,ok,0,,,
3876,Town13,Light,0,387610,387620,49.0,49.0,49,191,expert_reacted_before_visible,0,245.0,30.0,fallback
3876,Town13,Light,1,387611,387621,49.0,49.0,49,191,expert_reacted_before_visible,0,,,
3876,Town13,Light,2,387612,387622,49.0,49.0,49,191,expert_reacted_before_visible,0,,,
