method,board,protocol/split,metric,score,source,is_author_reported,same_checkpoint
SimLingo-BASE,bench2drive,base-set closed-loop 220 routes,Driving Score,85.94,"papers/simlingo_base.pdf (Table 2, PDF p.7)",yes,"unknown; B2D row labelled LB2.0 model, but MAP/SENSORS submission checkpoint not identified"
SimLingo-BASE,bench2drive,base-set closed-loop 220 routes,Success Rate (%),66.82,"papers/simlingo_base.pdf (Table 2, PDF p.7)",yes,"unknown; B2D row labelled LB2.0 model, but MAP/SENSORS submission checkpoint not identified"
SparseDriveV2,bench2drive,base-set closed-loop 220 routes,Driving Score,89.15,"papers/sparsedrivev2.pdf (Table 4, PDF p.13)",yes,no; separate NAVSIM and Bench2Drive training in Sections 4.2-4.3
SparseDriveV2,bench2drive,base-set closed-loop 220 routes,Success Rate (%),70.0,"papers/sparsedrivev2.pdf (Table 4, PDF p.13)",yes,no; separate NAVSIM and Bench2Drive training in Sections 4.2-4.3
SteerVLA,bench2drive,base-set closed-loop 220 routes,Driving Score,90.71,"papers/steervla.pdf (Table 3, PDF p.21)",yes,no; p.22 explicitly says stronger nuScenes backbones
SteerVLA,bench2drive,base-set closed-loop 220 routes,Success Rate (%),73.64,"papers/steervla.pdf (Table 3, PDF p.21)",yes,no; p.22 explicitly says stronger nuScenes backbones
TCP*,bench2drive,base-set closed-loop 220 routes,Comfortness,47.80,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
TCP*,bench2drive,base-set closed-loop 220 routes,Driving Score,40.70,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
TCP*,bench2drive,base-set closed-loop 220 routes,Efficiency,54.26,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
TCP*,bench2drive,base-set closed-loop 220 routes,Success Rate (%),15.00,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
TCP-ctrl*,bench2drive,base-set closed-loop 220 routes,Comfortness,51.51,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
TCP-ctrl*,bench2drive,base-set closed-loop 220 routes,Driving Score,30.47,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
TCP-ctrl*,bench2drive,base-set closed-loop 220 routes,Efficiency,55.97,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
TCP-ctrl*,bench2drive,base-set closed-loop 220 routes,Success Rate (%),7.27,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
TCP-traj w/o distillation,bench2drive,base-set closed-loop 220 routes,Comfortness,22.96,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
TCP-traj w/o distillation,bench2drive,base-set closed-loop 220 routes,Driving Score,49.30,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
TCP-traj w/o distillation,bench2drive,base-set closed-loop 220 routes,Efficiency,78.78,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
TCP-traj w/o distillation,bench2drive,base-set closed-loop 220 routes,Success Rate (%),20.45,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
TCP-traj*,bench2drive,base-set closed-loop 220 routes,Comfortness,18.08,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
TCP-traj*,bench2drive,base-set closed-loop 220 routes,Driving Score,59.90,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
TCP-traj*,bench2drive,base-set closed-loop 220 routes,Efficiency,76.54,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
TCP-traj*,bench2drive,base-set closed-loop 220 routes,Success Rate (%),30.00,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
TF++,bench2drive,base-set closed-loop 220 routes,Driving Score,84.21,"papers/tfpp.pdf (Table 4, PDF p.6)",yes,unknown; LB2 and B2D checkpoint identity not stated
TF++,bench2drive,base-set closed-loop 220 routes,Success Rate (%),67.27,"papers/tfpp.pdf (Table 4, PDF p.6)",yes,unknown; LB2 and B2D checkpoint identity not stated
"TFv5 (RegNetY-032, 110C+L)",bench2drive,base-set closed-loop 220 routes,Driving Score,83.5,"papers/tfv6.pdf (Table 5, PDF p.7)",yes,"unknown; one configuration row in TFv6 Table 5, but seed/checkpoint pairing not stated"
"TFv5 (RegNetY-032, 110C+L)",bench2drive,base-set closed-loop 220 routes,Success Rate (%),67.3,"papers/tfv6.pdf (Table 5, PDF p.7)",yes,"unknown; one configuration row in TFv6 Table 5, but seed/checkpoint pairing not stated"
"TFv6 (RegNetY-032, 140C+L+R)",bench2drive,base-set closed-loop 220 routes,Driving Score,95.2,"papers/tfv6.pdf (Table 5, PDF p.7)",yes,"unknown; one configuration row in TFv6 Table 5, but seed/checkpoint pairing not stated"
"TFv6 (RegNetY-032, 140C+L+R)",bench2drive,base-set closed-loop 220 routes,Success Rate (%),86.8,"papers/tfv6.pdf (Table 5, PDF p.7)",yes,"unknown; one configuration row in TFv6 Table 5, but seed/checkpoint pairing not stated"
"TFv6 (ResNet34, 140C+L+R)",bench2drive,base-set closed-loop 220 routes,Driving Score,94.7,"papers/tfv6.pdf (Table 5, PDF p.7)",yes,"unknown; one configuration row in TFv6 Table 5, but seed/checkpoint pairing not stated"
"TFv6 (ResNet34, 140C+L+R)",bench2drive,base-set closed-loop 220 routes,Success Rate (%),82.1,"papers/tfv6.pdf (Table 5, PDF p.7)",yes,"unknown; one configuration row in TFv6 Table 5, but seed/checkpoint pairing not stated"
"TFv6 (ResNet34, 360C)",bench2drive,base-set closed-loop 220 routes,Driving Score,91.6,"papers/tfv6.pdf (Table 5, PDF p.7)",yes,"unknown; one configuration row in TFv6 Table 5, but seed/checkpoint pairing not stated"
"TFv6 (ResNet34, 360C)",bench2drive,base-set closed-loop 220 routes,Success Rate (%),79.5,"papers/tfv6.pdf (Table 5, PDF p.7)",yes,"unknown; one configuration row in TFv6 Table 5, but seed/checkpoint pairing not stated"
"TFv6 (ResNet34, 360C+L)",bench2drive,base-set closed-loop 220 routes,Driving Score,94.7,"papers/tfv6.pdf (Table 5, PDF p.7)",yes,"unknown; one configuration row in TFv6 Table 5, but seed/checkpoint pairing not stated"
"TFv6 (ResNet34, 360C+L)",bench2drive,base-set closed-loop 220 routes,Success Rate (%),85.6,"papers/tfv6.pdf (Table 5, PDF p.7)",yes,"unknown; one configuration row in TFv6 Table 5, but seed/checkpoint pairing not stated"
"TFv6 (ResNet34, 360C+L+R)",bench2drive,base-set closed-loop 220 routes,Driving Score,95.0,"papers/tfv6.pdf (Table 5, PDF p.7)",yes,"unknown; one configuration row in TFv6 Table 5, but seed/checkpoint pairing not stated"
"TFv6 (ResNet34, 360C+L+R)",bench2drive,base-set closed-loop 220 routes,Success Rate (%),84.3,"papers/tfv6.pdf (Table 5, PDF p.7)",yes,"unknown; one configuration row in TFv6 Table 5, but seed/checkpoint pairing not stated"
"TFv6 (ResNet34, 360C+R)",bench2drive,base-set closed-loop 220 routes,Driving Score,94.2,"papers/tfv6.pdf (Table 5, PDF p.7)",yes,"unknown; one configuration row in TFv6 Table 5, but seed/checkpoint pairing not stated"
"TFv6 (ResNet34, 360C+R)",bench2drive,base-set closed-loop 220 routes,Success Rate (%),85.3,"papers/tfv6.pdf (Table 5, PDF p.7)",yes,"unknown; one configuration row in TFv6 Table 5, but seed/checkpoint pairing not stated"
ThinkTwice*,bench2drive,base-set closed-loop 220 routes,Comfortness,16.22,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
ThinkTwice*,bench2drive,base-set closed-loop 220 routes,Driving Score,62.44,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
ThinkTwice*,bench2drive,base-set closed-loop 220 routes,Efficiency,69.33,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
ThinkTwice*,bench2drive,base-set closed-loop 220 routes,Success Rate (%),31.23,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
UniAD-Base,bench2drive,base-set closed-loop 220 routes,Comfortness,43.58,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
UniAD-Base,bench2drive,base-set closed-loop 220 routes,Driving Score,45.81,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
UniAD-Base,bench2drive,base-set closed-loop 220 routes,Efficiency,129.21,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
UniAD-Base,bench2drive,base-set closed-loop 220 routes,Success Rate (%),16.36,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
UniAD-Tiny,bench2drive,base-set closed-loop 220 routes,Comfortness,47.04,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
UniAD-Tiny,bench2drive,base-set closed-loop 220 routes,Driving Score,40.73,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
UniAD-Tiny,bench2drive,base-set closed-loop 220 routes,Efficiency,123.92,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
UniAD-Tiny,bench2drive,base-set closed-loop 220 routes,Success Rate (%),13.18,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
VAD,bench2drive,base-set closed-loop 220 routes,Comfortness,46.01,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
VAD,bench2drive,base-set closed-loop 220 routes,Driving Score,42.35,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
VAD,bench2drive,base-set closed-loop 220 routes,Efficiency,157.94,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
VAD,bench2drive,base-set closed-loop 220 routes,Success Rate (%),15.00,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
VAD-Base,bench2drive,base-set closed-loop 220 routes,Driving Score,42.35,"papers/omnispace.pdf (Table 2, PDF p.7)",no (comparison table),unknown; nuScenes checkpoint not linked
AD-MLP,bench2drive,base-set open-loop 2s@2Hz,Avg L2 (m),3.64,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
DriveAdapter*,bench2drive,base-set open-loop 2s@2Hz,Avg L2 (m),1.01,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
TCP*,bench2drive,base-set open-loop 2s@2Hz,Avg L2 (m),1.70,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
TCP-traj w/o distillation,bench2drive,base-set open-loop 2s@2Hz,Avg L2 (m),1.96,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
TCP-traj*,bench2drive,base-set open-loop 2s@2Hz,Avg L2 (m),1.70,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
ThinkTwice*,bench2drive,base-set open-loop 2s@2Hz,Avg L2 (m),0.95,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
UniAD-Base,bench2drive,base-set open-loop 2s@2Hz,Avg L2 (m),0.73,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
UniAD-Tiny,bench2drive,base-set open-loop 2s@2Hz,Avg L2 (m),0.80,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
VAD,bench2drive,base-set open-loop 2s@2Hz,Avg L2 (m),0.91,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),unknown; Table 3 pairs metrics but does not explicitly identify checkpoint
HiP-AD,carla_lb2,"Longest6 v2, CARLA LB2 local",Driving Score,7,"papers/tfv6.pdf (Table 5, PDF p.7)",no (comparison table),unknown; compared across protocols in one table
HiP-AD,carla_lb2,"Longest6 v2, CARLA LB2 local",Route Completion (%),56,"papers/tfv6.pdf (Table 5, PDF p.7)",no (comparison table),unknown; compared across protocols in one table
LEAD,carla_lb2,"Longest6 v2, CARLA LB2 local",Driving Score,73,"papers/tfv6.pdf (Table 5, PDF p.7)",yes,not applicable; privileged LEAD expert; Longest6 result reported in Table 5
LEAD,carla_lb2,"Longest6 v2, CARLA LB2 local",Route Completion (%),93,"papers/tfv6.pdf (Table 5, PDF p.7)",yes,not applicable; privileged LEAD expert; Longest6 result reported in Table 5
PDM-Lite,carla_lb2,"Longest6 v2, CARLA LB2 local",Driving Score,73,"papers/tfv6.pdf (Table 5, PDF p.7)",no (comparison table),"not applicable; rule-based privileged expert, no learned checkpoint"
PDM-Lite,carla_lb2,"Longest6 v2, CARLA LB2 local",Route Completion (%),100,"papers/tfv6.pdf (Table 5, PDF p.7)",no (comparison table),"not applicable; rule-based privileged expert, no learned checkpoint"
RoG-DAgger,carla_lb2,"Longest6 v2, CARLA LB2 local",Driving Score,44,"papers/rog_dagger.pdf (Table 1, PDF p.6)",yes,"unknown; two protocols in RoG-DAgger Table 1, checkpoint identity not explicit"
RoG-DAgger,carla_lb2,"Longest6 v2, CARLA LB2 local",Route Completion (%),88,"papers/rog_dagger.pdf (Table 1, PDF p.6)",yes,"unknown; two protocols in RoG-DAgger Table 1, checkpoint identity not explicit"
SimLingo,carla_lb2,"Longest6 v2, CARLA LB2 local",Driving Score,22,"papers/tfv6.pdf (Table 5, PDF p.7)",no (comparison table),unknown; compared across protocols in one table
SimLingo,carla_lb2,"Longest6 v2, CARLA LB2 local",Route Completion (%),70,"papers/tfv6.pdf (Table 5, PDF p.7)",no (comparison table),unknown; compared across protocols in one table
TF++,carla_lb2,"Longest6 v2, CARLA LB2 local",Driving Score,23,"papers/rog_dagger.pdf (Table 1, PDF p.6)",no (comparison table),"unknown; two protocols in RoG-DAgger Table 1, checkpoint identity not explicit"
TF++,carla_lb2,"Longest6 v2, CARLA LB2 local",Route Completion (%),70,"papers/rog_dagger.pdf (Table 1, PDF p.6)",no (comparison table),"unknown; two protocols in RoG-DAgger Table 1, checkpoint identity not explicit"
"TFv5 (RegNetY-032, 110C+L)",carla_lb2,"Longest6 v2, CARLA LB2 local",Driving Score,23,"papers/tfv6.pdf (Table 5, PDF p.7)",yes,"unknown; one configuration row in TFv6 Table 5, but seed/checkpoint pairing not stated"
"TFv5 (RegNetY-032, 110C+L)",carla_lb2,"Longest6 v2, CARLA LB2 local",Route Completion (%),70,"papers/tfv6.pdf (Table 5, PDF p.7)",yes,"unknown; one configuration row in TFv6 Table 5, but seed/checkpoint pairing not stated"
"TFv6 (RegNetY-032, 140C+L+R)",carla_lb2,"Longest6 v2, CARLA LB2 local",Driving Score,62,"papers/tfv6.pdf (Table 5, PDF p.7)",yes,"unknown; one configuration row in TFv6 Table 5, but seed/checkpoint pairing not stated"
"TFv6 (RegNetY-032, 140C+L+R)",carla_lb2,"Longest6 v2, CARLA LB2 local",Route Completion (%),91,"papers/tfv6.pdf (Table 5, PDF p.7)",yes,"unknown; one configuration row in TFv6 Table 5, but seed/checkpoint pairing not stated"
"TFv6 (ResNet34, 140C+L+R)",carla_lb2,"Longest6 v2, CARLA LB2 local",Driving Score,57,"papers/tfv6.pdf (Table 5, PDF p.7)",yes,"unknown; one configuration row in TFv6 Table 5, but seed/checkpoint pairing not stated"
"TFv6 (ResNet34, 140C+L+R)",carla_lb2,"Longest6 v2, CARLA LB2 local",Route Completion (%),99,"papers/tfv6.pdf (Table 5, PDF p.7)",yes,"unknown; one configuration row in TFv6 Table 5, but seed/checkpoint pairing not stated"
"TFv6 (ResNet34, 360C)",carla_lb2,"Longest6 v2, CARLA LB2 local",Driving Score,43,"papers/tfv6.pdf (Table 5, PDF p.7)",yes,"unknown; one configuration row in TFv6 Table 5, but seed/checkpoint pairing not stated"
"TFv6 (ResNet34, 360C)",carla_lb2,"Longest6 v2, CARLA LB2 local",Route Completion (%),85,"papers/tfv6.pdf (Table 5, PDF p.7)",yes,"unknown; one configuration row in TFv6 Table 5, but seed/checkpoint pairing not stated"
"TFv6 (ResNet34, 360C+L)",carla_lb2,"Longest6 v2, CARLA LB2 local",Driving Score,52,"papers/tfv6.pdf (Table 5, PDF p.7)",yes,"unknown; one configuration row in TFv6 Table 5, but seed/checkpoint pairing not stated"
"TFv6 (ResNet34, 360C+L)",carla_lb2,"Longest6 v2, CARLA LB2 local",Route Completion (%),88,"papers/tfv6.pdf (Table 5, PDF p.7)",yes,"unknown; one configuration row in TFv6 Table 5, but seed/checkpoint pairing not stated"
"TFv6 (ResNet34, 360C+L+R)",carla_lb2,"Longest6 v2, CARLA LB2 local",Driving Score,54,"papers/tfv6.pdf (Table 5, PDF p.7)",yes,"unknown; one configuration row in TFv6 Table 5, but seed/checkpoint pairing not stated"
"TFv6 (ResNet34, 360C+L+R)",carla_lb2,"Longest6 v2, CARLA LB2 local",Route Completion (%),89,"papers/tfv6.pdf (Table 5, PDF p.7)",yes,"unknown; one configuration row in TFv6 Table 5, but seed/checkpoint pairing not stated"
"TFv6 (ResNet34, 360C+R)",carla_lb2,"Longest6 v2, CARLA LB2 local",Driving Score,52,"papers/tfv6.pdf (Table 5, PDF p.7)",yes,"unknown; one configuration row in TFv6 Table 5, but seed/checkpoint pairing not stated"
"TFv6 (ResNet34, 360C+R)",carla_lb2,"Longest6 v2, CARLA LB2 local",Route Completion (%),88,"papers/tfv6.pdf (Table 5, PDF p.7)",yes,"unknown; one configuration row in TFv6 Table 5, but seed/checkpoint pairing not stated"
PDM-Lite,carla_lb2,"Town13 val, CARLA LB2 local",Driving Score,36.3,"papers/tfv6.pdf (Table 4, PDF p.6)",no (comparison table),"not applicable; rule-based privileged expert, no learned checkpoint"
TFv5,carla_lb2,"Town13 val, CARLA LB2 local",Driving Score,1.08,"papers/tfv6.pdf (Table 4, PDF p.6)",yes,unknown; Town13 versus other evaluation checkpoints not explicit
"TFv6 (RegNetY-032, 140C+L+R)",carla_lb2,"Town13 val, CARLA LB2 local",Driving Score,3.52,"papers/tfv6.pdf (Table 4, PDF p.6)",yes,unknown; Town13 versus other evaluation checkpoints not explicit
SimLingo-BASE,carla_lb2,"official test, MAP track",Driving Score,6.25,"papers/simlingo_base.pdf (Table 1, PDF p.6)",yes,"unknown; B2D row labelled LB2.0 model, but MAP/SENSORS submission checkpoint not identified"
TF++,carla_lb2,"official test, MAP track",Driving Score,5.56,"papers/simlingo_base.pdf (Table 1, PDF p.6)",no (comparison table),unknown; LB2 and B2D checkpoint identity not stated
SimLingo-BASE,carla_lb2,"official test, SENSORS track",Driving Score,6.87,"papers/simlingo_base.pdf (Table 1, PDF p.6)",yes,"unknown; B2D row labelled LB2.0 model, but MAP/SENSORS submission checkpoint not identified"
