repo,issue_url,issue_date,category,user_reported_numbers,paper_numbers,paper_url,author_replied,author_reply_summary,author_quote,author_reply_url,resolved,issue_state,case_summary,related_methods,paper_locator
autonomousvision/carla_garage,https://github.com/autonomousvision/carla_garage/issues/73,2025-06-04,evaluation_config;protocol_split,用户部分 Bench2Drive 路线崩溃；改评 Longest6v2 后 DS 25,该 issue 无可比论文数字；作者仅称用户 Longest6v2 DS 25 在方差内,N/A（无对应论文数字）,yes,作者指出不应混用 LB1 阈值 0.33 与 LB2 代码，LB2 brake_uncertainty_threshold 应为 0.9；Bench2Drive 与 CARLA leaderboard 计分软件不同。,…brake_uncertainty_threshold should be [0.9](https://github.com/autonomousvision…,https://github.com/autonomousvision/carla_garage/issues/73#issuecomment-2944826794,partial,closed,作者指出不应混用 LB1 阈值 0.33 与 LB2 代码，LB2 brake_uncertainty_threshold 应为 0.9；Bench2Drive 与 CARLA leaderboard 计分软件不同。,TF++[A],No comparable paper number; author comment in issue
autonomousvision/carla_garage,https://github.com/autonomousvision/carla_garage/issues/95,2025-09-19,protocol_split,未报告数字,该 issue 无可比论文数字,https://arxiv.org/pdf/2412.09602,yes,用户称 B2D 220 测试路线不在训练集，质疑 training benchmark；作者区分精确路线与同一 town/空间重叠，不能把两者混同。,…the exact evaluation routes are not in the training set does not mean that the evaluation routes …,https://github.com/autonomousvision/carla_garage/issues/95#issuecomment-3312481039,partial,closed,用户称 B2D 220 测试路线不在训练集，质疑 training benchmark；作者区分精确路线与同一 town/空间重叠，不能把两者混同。,TF++[A],N/A; issue URL is the source for user and author statements
autonomousvision/carla_garage,https://github.com/autonomousvision/carla_garage/issues/103,2025-10-14,protocol_split;evaluation_config,用户问 TF++ Bench2Drive DS 84.21/SR 67.27 的训练路由,相关论文 DS 84.21/SR 67.27（用户引用）,https://arxiv.org/pdf/2412.09602,yes,作者说训练未用 B2D 或 Longest6-v2 评测路线，而用 TransFuser 自动生成路线与 Town12/13 LB2 路线切段。,"…We use neither; we have our own set of training routes, which is a mix of the routes generated f…",https://github.com/autonomousvision/carla_garage/issues/103#issuecomment-3401274480,yes,closed,作者说训练未用 B2D 或 Longest6-v2 评测路线，而用 TransFuser 自动生成路线与 Town12/13 LB2 路线切段。,TF++[A],"Hidden Biases Table 4, PDF p.6"
autonomousvision/carla_garage,https://github.com/autonomousvision/carla_garage/issues/108,2025-11-18,evaluation_config;protocol_split,作者给 TF++ Longest6-v2 DS 23/RC 70,技术报告未报此数（作者称）,https://arxiv.org/pdf/2412.09602,yes,作者警告不要把 Bench2Drive 评测脚本直接用于 LB2，两个基准计算指标不同；给出 SLURM 脚本。,"…These two benchmarks have differences in the way they compute metrics, etc.",https://github.com/autonomousvision/carla_garage/issues/108#issuecomment-3547519230,yes,closed,作者警告不要把 Bench2Drive 评测脚本直接用于 LB2，两个基准计算指标不同；给出 SLURM 脚本。,TF++[A],N/A; issue URL is the source for user and author statements
autonomousvision/carla_garage,https://github.com/autonomousvision/carla_garage/issues/120,2026-08-10,score_gap;evaluation_config,用户单路线观察到较多碰撞,论文 LB2 Table 5 DS 约 1、RC 约 50（作者引用）,https://arxiv.org/pdf/2412.09602,yes,作者指出用户单模型、单路线视频不能与论文三模型 ensemble 的 20 路线均值直接对照。,…result in the paper is an ensemble of 3. The result you attached is only of a sin…,https://github.com/autonomousvision/carla_garage/issues/120#issuecomment-5244203137,partial,closed,作者指出用户单模型、单路线视频不能与论文三模型 ensemble 的 20 路线均值直接对照。,TF++[A],"Hidden Biases Table 5, PDF p.8"
autonomousvision/navsim,https://github.com/autonomousvision/navsim/issues/35,2024-11-02,score_gap;evaluation_config,用户自训 TransFuser navtest PDMS 约 80,NAVSIM Table 1 TransFuser PDMS 84.0；Hydra-MDP Table 1 TransFuser Score 78.0（DDC 省略）；用户引用两篇已发表数字,https://arxiv.org/pdf/2406.15349; https://arxiv.org/pdf/2406.06978,yes,作者说明 NAVSIM baseline 用 navtrain、单 GPU batch 64、100 epoch；用户曾用 8 GPU 且每卡 batch 64，更新次数不同。,…we only used 1 GPU with a batch size of 64. That's correct!,https://github.com/autonomousvision/navsim/issues/35#issuecomment-2452965654,partial,closed,作者说明 NAVSIM baseline 用 navtrain、单 GPU batch 64、100 epoch；用户曾用 8 GPU 且每卡 batch 64，更新次数不同。,"PDM-Closed[A,excluded]","NAVSIM Table 1, PDF p.7; Hydra-MDP Table 1, PDF p.4"
autonomousvision/navsim,https://github.com/autonomousvision/navsim/issues/40,2024-12-19,protocol_split,warmup_test_e2e 与 mini train logs 有重叠,未涉及论文数字,https://arxiv.org/pdf/2406.15349,yes,维护者确认 warmup-test 基于整个 mini，不限 mini 的 test logs，存在 mini train 与 warmup test 重叠；这是熟悉提交流程用途。,…there can be overlaps between the mini train logs and the warmup test ones. Warmup-test‘s mere purpose was to give …,https://github.com/autonomousvision/navsim/issues/40#issuecomment-2552725681,yes,closed,维护者确认 warmup-test 基于整个 mini，不限 mini 的 test logs，存在 mini train 与 warmup test 重叠；这是熟悉提交流程用途。,"PDM-Closed[A,excluded]",N/A; issue URL is the source for user and author statements
autonomousvision/navsim,https://github.com/autonomousvision/navsim/issues/57,2025-02-28,protocol_split,未报告数字,该 issue 无可比论文数字,https://arxiv.org/pdf/2406.15349,yes,用户询问 EP 超过人类参考轨迹时得高分等机制；维护者解释参考轨迹用于归一化进度，不能把超出其进度自动视为错误。,…the planning agent's goal is *not* to accurately match the progress of the expert but to p…,https://github.com/autonomousvision/navsim/issues/57#issuecomment-2716713575,yes,closed,用户询问 EP 超过人类参考轨迹时得高分等机制；维护者解释参考轨迹用于归一化进度，不能把超出其进度自动视为错误。,"PDM-Closed[A,excluded]",N/A; issue URL is the source for user and author statements
autonomousvision/navsim,https://github.com/autonomousvision/navsim/issues/62,2025-03-08,evaluation_config,未报告本人复现实测；提问引用 Hydra-MDP Table 1 的 TransFuser PDMS 78.0,Hydra-MDP Table 1 TransFuser Score 78.0（PDM score，§3.1 说明 DDC 因实现问题省略）；NAVSIM Table 1 TransFuser PDMS 84.0；两篇实现口径未核同,https://arxiv.org/pdf/2406.06978; https://arxiv.org/pdf/2406.15349,no,N/A（无作者回复）,N/A（无作者回复）,N/A（无作者回复）,partial,closed,提问比较两篇论文中 TransFuser 已发表的 PDMS 78.0 与 84.0；非 NAVSIM 维护者回复称训练设置似乎不同，未证实具体原因。,"TransFuser (issue subject); PDM-Closed[A,excluded] (repo association only)","Hydra-MDP Table 1, PDF p.4; NAVSIM Table 1, PDF p.7"
autonomousvision/navsim,https://github.com/autonomousvision/navsim/issues/69,2025-03-17,evaluation_config;protocol_split,未报告数字,该 issue 无可比论文数字,https://arxiv.org/pdf/2406.15349,yes,作者说 NAVSIM v2 伪闭环不支持 LiDAR，指标变动需重新收集/缓存；随后更正合成场景确实有历史轨迹。,…we do provide historical trajectories in the preliminary synthetic scenes. Sorry for the earlier misunderstanding!,https://github.com/autonomousvision/navsim/issues/69#issuecomment-2729561710,yes,closed,作者说 NAVSIM v2 伪闭环不支持 LiDAR，指标变动需重新收集/缓存；随后更正合成场景确实有历史轨迹。,"PDM-Closed[A,excluded]",N/A; issue URL is the source for user and author statements
autonomousvision/navsim,https://github.com/autonomousvision/navsim/issues/81,2025-03-26,score_gap;evaluation_config;protocol_split,用户本地 warmup 两阶段 CV 的 ego_progress 与 leaderboard 不同，未给数字,官方榜分数未在帖中转录,https://arxiv.org/pdf/2406.15349,yes,维护者说 warmup 榜不支持不同 traffic agent 设置，建议清缓存重算；用户怀疑 Shapely/Scipy 版本，未最终定位。,…we currently do not support different traffic agent settings. The synthetic sensor data provided is al…,https://github.com/autonomousvision/navsim/issues/81#issuecomment-2755298063,partial,closed,维护者说 warmup 榜不支持不同 traffic agent 设置，建议清缓存重算；用户怀疑 Shapely/Scipy 版本，未最终定位。,"PDM-Closed[A,excluded]",N/A; issue URL is the source for user and author statements
autonomousvision/navsim,https://github.com/autonomousvision/navsim/issues/116,2025-07-03,evaluation_config;protocol_split,用户把均值子分数代公式得不到总 PDMS,未涉及具体数值,https://arxiv.org/pdf/2406.15349,yes,维护者解释 PDMS 应逐场景组合后求平均，不能先对子指标求平均再代入乘积公式。,"…calculated _per scene_ using the formula, and then averaged over scenes. Combining…",https://github.com/autonomousvision/navsim/issues/116#issuecomment-3036611170,yes,closed,维护者解释 PDMS 应逐场景组合后求平均，不能先对子指标求平均再代入乘积公式。,"PDM-Closed[A,excluded]",N/A; issue URL is the source for user and author statements
autonomousvision/navsim,https://github.com/autonomousvision/navsim/issues/139,2025-08-06,evaluation_config;protocol_split,用户只得到 navtest 5044 vs 预期 12146、navtrain 47950 vs 预期 >100k,预期场景数来自用户,https://arxiv.org/pdf/2406.15349,yes,社区追查下载文件 MD5 后得到 navtrain 103288；维护者确认 v1.1 download_test.sh 用于 navtest。,…yes that's correct.,https://github.com/autonomousvision/navsim/issues/139#issuecomment-3250447587,partial,closed,社区追查下载文件 MD5 后得到 navtrain 103288；维护者确认 v1.1 download_test.sh 用于 navtest。,"PDM-Closed[A,excluded]",N/A; issue URL is the source for user and author statements
autonomousvision/navsim,https://github.com/autonomousvision/navsim/issues/140,2025-08-08,protocol_split;evaluation_config,用户报告 NumPy pinv 与 solve 使 EP 不同,未涉及数字,https://arxiv.org/pdf/2406.15349,yes,维护者称 pinv 沿用 nuplan-devkit，用户升级 NumPy 后问题消失；没有正式给出两法数值一致性结论。,"…pinv` is something we inherited from the `nuplan-devkit`, see [here](http…",https://github.com/autonomousvision/navsim/issues/140#issuecomment-3249714817,partial,closed,维护者称 pinv 沿用 nuplan-devkit，用户升级 NumPy 后问题消失；没有正式给出两法数值一致性结论。,"PDM-Closed[A,excluded]",N/A; issue URL is the source for user and author statements
autonomousvision/navsim,https://github.com/autonomousvision/navsim/issues/151,2025-09-03,protocol_split;author_disclosure,人工驾驶员被惩罚过滤后，显示子分数与最终分数不一致,受影响的 EPDMS 具体数值不适用,https://arxiv.org/pdf/2406.15349,yes,维护者明确承认 human_penalty_filter bug，挑战期保留，随后称 v2.2 修复并更新 navhard 榜。,"…This is indeed a bug. We’ll keep it as is for the challenge, a…",https://github.com/autonomousvision/navsim/issues/151#issuecomment-3251472060,yes,closed,维护者明确承认 human_penalty_filter bug，挑战期保留，随后称 v2.2 修复并更新 navhard 榜。,"PDM-Closed[A,excluded]",N/A; issue URL is the source for user and author statements
autonomousvision/navsim,https://github.com/autonomousvision/navsim/issues/158,2025-09-15,protocol_split;author_disclosure,用户见全部显示子分数为 1，但最终乘积为 0,该 issue 无可比论文数字；零分来自用户评测显示,N/A（用户报告，见 issue_url）,yes,维护者确认显示与最终分数来自人类过滤 bug，挑战期保留，随后修复见 #151；当时该例按未激活过滤计算。,…This is resulted from this [bug](https://github.com/autonomousvision…,https://github.com/autonomousvision/navsim/issues/158#issuecomment-3298931882,yes,closed,维护者确认显示与最终分数来自人类过滤 bug，挑战期保留，随后修复见 #151；当时该例按未激活过滤计算。,"PDM-Closed[A,excluded]",N/A; issue URL is the source for user and author statements
autonomousvision/navsim,https://github.com/autonomousvision/navsim/issues/172,2025-11-11,protocol_split,用户称若干 navtest token 所有显示子分数为 1 但 EPDMS=0,该 issue 无可比论文数字；零分来自用户评测显示,N/A（用户报告，见 issue_url）,yes,维护者要求先复现 LTF/CV 基线；帖内没有确认新 bug，v1.1 与 two_stage 混用也被询问。,"…Can you check if you can porperly reproduce the results of the baselines (LTF,CV) [he…",https://github.com/autonomousvision/navsim/issues/172#issuecomment-3519771458,no,open,维护者要求先复现 LTF/CV 基线；帖内没有确认新 bug，v1.1 与 two_stage 混用也被询问。,"PDM-Closed[A,excluded]",N/A; issue URL is the source for user and author statements
autonomousvision/navsim,https://github.com/autonomousvision/navsim/issues/200,2026-05-26,protocol_split,未报告数字,该 issue 无可比论文数字,https://arxiv.org/pdf/2406.15349,no,N/A（无作者回复）,N/A（无作者回复）,N/A（无作者回复）,no,open,用户报告 navhard_two_stage 合成场景 3D box z 字段似乎等于 heading，并附样例；无回复，未独立验证数据缺陷。,"PDM-Closed[A,excluded]",N/A; issue URL is the source for user and author statements
autonomousvision/navsim,https://github.com/autonomousvision/navsim/issues/204,2026-08-24,protocol_split,未报告数字,该 issue 无可比论文数字,https://arxiv.org/pdf/2406.15349,no,N/A（无作者回复）,N/A（无作者回复）,N/A（无作者回复）,no,open,"用户指出 batched SE2 变换使用 [:,2] 而非 [...,2] 可能选错轴；无回复，尚未独立验证指标影响。","PDM-Closed[A,excluded]",N/A; issue URL is the source for user and author statements
E2E-AD/AD-MLP,https://github.com/E2E-AD/AD-MLP/issues/4,2023-09-17,protocol_split;author_disclosure,用户称发布 pkl 的 CAN bus 加速度/速度字段含未来 GT waypoint；作者称重审数据后修订训练流程及结果,修订后论文/README avg L2 0.29（见 sampling.csv；issue 未给精确 L2）,https://arxiv.org/pdf/2305.10430,yes,这是用户的数据泄露指控；作者确认重审训练数据并更新流程，称结论与旧技术报告略有差异，但未在回复中逐项确认指控细节。,We have reviewed the code and data again and have updated the revised training pro…,https://github.com/E2E-AD/AD-MLP/issues/4#issuecomment-1772058541,partial,closed,这是用户的数据泄露指控；作者确认重审训练数据并更新流程，称结论与旧技术报告略有差异，但未在回复中逐项确认指控细节。,AD-MLP[A],"AD-MLP Table 1, PDF p.3"
E2E-AD/AD-MLP,https://github.com/E2E-AD/AD-MLP/issues/5,2023-10-27,score_gap;evaluation_config,用户称使用原始 CAN bus 速度/加速度无法复现 AD-MLP 表现，未给数值,修订后 avg L2 0.29（非同配置直接比较）,https://arxiv.org/pdf/2305.10430,yes,作者解释其离线历史物理信息基于 ST-P3 预处理，VAD 数据项与之不一致；部分 pkl 生成代码曾丢失，后上传 generate_feng.py。,…Our project is based on ST-P3 and generates the above-mentioned histori…,https://github.com/E2E-AD/AD-MLP/issues/5#issuecomment-1855041260,partial,open,作者解释其离线历史物理信息基于 ST-P3 预处理，VAD 数据项与之不一致；部分 pkl 生成代码曾丢失，后上传 generate_feng.py。,AD-MLP[A],"AD-MLP Table 1, PDF p.3"
E2E-AD/AD-MLP,https://github.com/E2E-AD/AD-MLP/issues/6,2024-12-23,protocol_split,未报告数字,该 issue 无可比论文数字,https://arxiv.org/pdf/2305.10430,yes,用户询问前两帧是否因表现差而被排除；作者否认该因果说法，称沿用先前评测做法。,"…We did not exclude earlier frames from the metric due to their poor performance. Instead, we followed the testing m…",https://github.com/E2E-AD/AD-MLP/issues/6#issuecomment-2560610198,yes,open,用户询问前两帧是否因表现差而被排除；作者否认该因果说法，称沿用先前评测做法。,AD-MLP[A],N/A; issue URL is the source for user and author statements
George-Ling3/BLUE,https://github.com/George-Ling3/BLUE/issues/2,2026-06-16,evaluation_config;author_disclosure,用户单路线 Game/System 0.031；作者参考约 0.127,非论文得分,https://arxiv.org/pdf/2606.08684,yes,作者确认发布包漏掉 simlingo_training/models，后补文件；正式评测为单 A100、每个 evaluator 独占 GPU、batch 1。,"…official BLUE evaluation results were obtained on single A100 GPUs, with one evaluator process pinned to one…",https://github.com/George-Ling3/BLUE/issues/2#issuecomment-4725205510,yes,closed,作者确认发布包漏掉 simlingo_training/models，后补文件；正式评测为单 A100、每个 evaluator 独占 GPU、batch 1。,BLUE[B],N/A; issue URL is the source for user and author statements
George-Ling3/BLUE,https://github.com/George-Ling3/BLUE/issues/3,2026-06-29,protocol_split,用户单路线 MinSpeedTest 308.98%,非论文得分,https://arxiv.org/pdf/2606.08684,yes,作者对照 SimLingo 与 BLUE 日志解释最小速度事件率相近，指标值受背景车速度影响。,…SimLingo: 150.32 events/km - BLUE: 150.13 events/km The per-event Mi…,https://github.com/George-Ling3/BLUE/issues/3#issuecomment-4850050273,partial,open,作者对照 SimLingo 与 BLUE 日志解释最小速度事件率相近，指标值受背景车速度影响。,BLUE[B],N/A; issue URL is the source for user and author statements
George-Ling3/BLUE,https://github.com/George-Ling3/BLUE/issues/4,2026-07-22,author_disclosure,未报告数字,对比表 DeLL expert data 原写 Think2Drive,https://arxiv.org/pdf/2606.08684v1; https://arxiv.org/pdf/2606.08684,yes,DeLL 作者指出 BLUE 论文对比表的 DeLL 数据来源错；BLUE 作者确认应为 PDM-Lite 并称已在修订版更正。,"…DeLL’s expert data should be listed as PDM-Lite, and we’ll correct it in the next update.…",https://github.com/George-Ling3/BLUE/issues/4#issuecomment-5054138113,yes,closed,DeLL 作者指出 BLUE 论文对比表的 DeLL 数据来源错；BLUE 作者确认应为 PDM-Lite 并称已在修订版更正。,BLUE[B],"BLUE arXiv v1 Table 1, PDF p.4 (original Think2Drive); current Table 1, PDF p.4 (corrected PDM-Lite)"
George-Ling3/BLUE,https://github.com/George-Ling3/BLUE/issues/5,2026-09-13,author_disclosure,BLUE Bench2Drive SR 76.18%; DS 90.58；SimLingo SR 67.27%; DS 85.07,BLUE DS 90.58,https://arxiv.org/pdf/2606.08684,yes,作者确认跳过语言生成时沿用 CoT prompt 与原 SimLingo 训练设置不一致，未单独测试该因素。,…We have not separately tested this factor. We keep the same prompt for both cases s…,https://github.com/George-Ling3/BLUE/issues/5#issuecomment-5673526636,partial,open,作者确认跳过语言生成时沿用 CoT prompt 与原 SimLingo 训练设置不一致，未单独测试该因素。,BLUE[B],"BLUE Table 6, PDF p.6"
hustvl/Senna,https://github.com/hustvl/Senna/issues/2,2024-11-05,author_disclosure;evaluation_config,未报告数字,该 issue 无可比论文数字,https://arxiv.org/pdf/2410.22313,yes,作者确认 DriveX 为私有数据集；用户指出论文未给可检索引用。,our private dataset,https://github.com/hustvl/Senna/issues/2#issuecomment-2458607391,yes,closed,作者确认 DriveX 为私有数据集；用户指出论文未给可检索引用。,"Senna[C,excluded]",N/A; issue URL is the source for user and author statements
hustvl/Senna,https://github.com/hustvl/Senna/issues/10,2024-12-12,author_disclosure;evaluation_config,未报告数字,该 issue 无可比论文数字,https://arxiv.org/pdf/2410.22313,yes,作者确认 Senna-E2E 部分依赖公司内部框架，可能无法完全开源；说明 VLM meta-action 的可训练嵌入送入 E2E 规划。,"…may not be fully open-sourced. However, I will try to open-source the c…",https://github.com/hustvl/Senna/issues/10#issuecomment-2558837061,partial,closed,作者确认 Senna-E2E 部分依赖公司内部框架，可能无法完全开源；说明 VLM meta-action 的可训练嵌入送入 E2E 规划。,"Senna[C,excluded]",N/A; issue URL is the source for user and author statements
hustvl/Senna,https://github.com/hustvl/Senna/issues/11,2024-12-16,score_gap;evaluation_config,两用户在 nuScenes val 规划动作准确率 18.64%、18.60%,Senna Table II 的 Senna*（输入 ego status）平均 L2 0.22 m；无星 Senna 为 0.59 m；与用户所报指标不同,https://arxiv.org/pdf/2410.22313,yes,作者称发布权重仅在私有 DriveX 预训练，需在 nuScenes 生成数据上微调以取得最佳结果。,The model weights we provide are pretrained on the DriveX dataset for scene understanding to facilitate fin…,https://github.com/hustvl/Senna/issues/11#issuecomment-2558848826,partial,open,作者称发布权重仅在私有 DriveX 预训练，需在 nuScenes 生成数据上微调以取得最佳结果。,"Senna[C,excluded]","Senna Table II, PDF p.6; Senna* has ego status input"
hustvl/Senna,https://github.com/hustvl/Senna/issues/26,2025-01-13,score_gap;protocol_split,nuScenes mini 动作准确率约 40%、39.13%；第三方改导航命令后报告全量 val 68.41%,Senna Table II 的 Senna*（输入 ego status）平均 L2 0.22 m；无星 Senna 为 0.59 m；与用户所报指标不同,https://arxiv.org/pdf/2410.22313,no,N/A（无作者回复）,N/A（无作者回复）,N/A（无作者回复）,no,open,社区用户提出 ego_navi_cmd 坐标变换错误的可能解释；无作者确认，不把原因定论。,"Senna[C,excluded]","Senna Table II, PDF p.6; Senna* has ego status input"
hustvl/Senna,https://github.com/hustvl/Senna/issues/39,2025-03-26,protocol_split;evaluation_config,未报告数字,该 issue 无可比论文数字,https://arxiv.org/pdf/2410.22313,no,N/A（无作者回复）,N/A（无作者回复）,N/A（无作者回复）,no,closed,用户指出 drive command 与 ego_navi_cmd 在左右方向的坐标判定不一致；另一用户提交替代实现，原提问者表示认同；无作者确认。,"Senna[C,excluded]",N/A; issue URL is the source for user and author statements
kesai-labs/lead,https://github.com/kesai-labs/lead/issues/67,2026-04-13,author_disclosure;evaluation_config,未报告数字,该 issue 无可比论文数字,https://arxiv.org/pdf/2512.20563,yes,作者主动报告训练发散会损害闭环表现，后确认论文使用的 transfuser_token_dim=256 与早期公开配置不符；Torch 版本影响稳定性。,…this is the correct number that we used in the paper. Thanks for reporting the issue. We updat…,https://github.com/kesai-labs/lead/issues/67#issuecomment-4243807260,partial,closed,作者主动报告训练发散会损害闭环表现，后确认论文使用的 transfuser_token_dim=256 与早期公开配置不符；Torch 版本影响稳定性。,TFv6[A],N/A; issue URL is the source for user and author statements
