method,board,split,metric,component,baseline_config,variant_config,baseline_score,variant_score,delta,same_weights_or_retrained,seeds_or_runs,n_samples,source,notes,hack_finding_id
TFv6,bench2drive,paper protocol,SR,sensor_radar,360 camera + LiDAR,360 camera + LiDAR + radar,85.6,84.3,-1.3,retrained,3 independent training seeds,220 routes (paper PDF p.3),"tfv6.pdf, Table 5, PDF p.7",连续配置比较；多个因素的对比仅在所列配置间成立。,N/A
TFv6,aux:longest6_v2,paper protocol,DS,sensor_radar,360 camera + LiDAR,360 camera + LiDAR + radar,52,54,+2,retrained,3 independent training seeds,36 routes (paper PDF p.3),"tfv6.pdf, Table 5, PDF p.7",连续配置比较；多个因素的对比仅在所列配置间成立。,N/A
TFv6,aux:longest6_v2,paper protocol,RC,sensor_radar,360 camera + LiDAR,360 camera + LiDAR + radar,88,89,+1,retrained,3 independent training seeds,36 routes (paper PDF p.3),"tfv6.pdf, Table 5, PDF p.7",连续配置比较；多个因素的对比仅在所列配置间成立。,N/A
TFv6,bench2drive,paper protocol,DS,sensor_camera_fov,"360 camera + LiDAR + radar, ResNet-34","140 camera + LiDAR + radar, ResNet-34",95.0,94.7,-0.3,retrained,3 independent training seeds,220 routes (paper PDF p.3),"tfv6.pdf, Table 5, PDF p.7",连续配置比较；多个因素的对比仅在所列配置间成立。,N/A
TFv6,bench2drive,paper protocol,SR,sensor_camera_fov,"360 camera + LiDAR + radar, ResNet-34","140 camera + LiDAR + radar, ResNet-34",84.3,82.1,-2.2,retrained,3 independent training seeds,220 routes (paper PDF p.3),"tfv6.pdf, Table 5, PDF p.7",连续配置比较；多个因素的对比仅在所列配置间成立。,N/A
TFv6,aux:longest6_v2,paper protocol,DS,sensor_camera_fov,"360 camera + LiDAR + radar, ResNet-34","140 camera + LiDAR + radar, ResNet-34",54,57,+3,retrained,3 independent training seeds,36 routes (paper PDF p.3),"tfv6.pdf, Table 5, PDF p.7",连续配置比较；多个因素的对比仅在所列配置间成立。,N/A
TFv6,aux:longest6_v2,paper protocol,RC,sensor_camera_fov,"360 camera + LiDAR + radar, ResNet-34","140 camera + LiDAR + radar, ResNet-34",89,99,+10,retrained,3 independent training seeds,36 routes (paper PDF p.3),"tfv6.pdf, Table 5, PDF p.7",连续配置比较；多个因素的对比仅在所列配置间成立。,N/A
TFv6,bench2drive,paper protocol,DS,backbone_scale,"140 camera + LiDAR + radar, ResNet-34","140 camera + LiDAR + radar, RegNetY-032",94.7,95.2,+0.5,retrained,3 independent training seeds,220 routes (paper PDF p.3),"tfv6.pdf, Table 5, PDF p.7",连续配置比较；多个因素的对比仅在所列配置间成立。,N/A
TFv6,bench2drive,paper protocol,SR,backbone_scale,"140 camera + LiDAR + radar, ResNet-34","140 camera + LiDAR + radar, RegNetY-032",82.1,86.8,+4.7,retrained,3 independent training seeds,220 routes (paper PDF p.3),"tfv6.pdf, Table 5, PDF p.7",连续配置比较；多个因素的对比仅在所列配置间成立。,N/A
TFv6,aux:longest6_v2,paper protocol,DS,backbone_scale,"140 camera + LiDAR + radar, ResNet-34","140 camera + LiDAR + radar, RegNetY-032",57,62,+5,retrained,3 independent training seeds,36 routes (paper PDF p.3),"tfv6.pdf, Table 5, PDF p.7",连续配置比较；多个因素的对比仅在所列配置间成立。,N/A
TFv6,aux:longest6_v2,paper protocol,RC,backbone_scale,"140 camera + LiDAR + radar, ResNet-34","140 camera + LiDAR + radar, RegNetY-032",99,91,-8,retrained,3 independent training seeds,36 routes (paper PDF p.3),"tfv6.pdf, Table 5, PDF p.7",连续配置比较；多个因素的对比仅在所列配置间成立。,N/A
TFv6,bench2drive,paper protocol,DS,expert_reference,LEAD expert (estimated),TFv6 trained policy,96.8,95.2,-1.6,different_policy,N/A,220 routes (paper PDF p.3),"tfv6.pdf, Table 5, PDF p.7; https://github.com/kesai-labs/lead/issues/90#issuecomment-4779487301",作者后续澄清：LEAD expert 的 B2D 96.8 未直接评测，是标准 leaderboard 分数按异常路线记零的估计；TFv6 95.2 是表中模型评测。不得当作同协议严格差值。,N/A
AD-MLP,nuscenes,paper planning split,avg_L2_m,ego_state_navigation_input,history trajectory,+ acceleration,0.97,0.49,-0.48,retrained,N/A,N/A,"ad_mlp.pdf, Table 1, PDF p.3",由表中 Ours 连续行配对；每个配置重新训练；高层命令由未来轨迹真值生成，见论文方法。,REAL-NUS-001
AD-MLP,nuscenes,paper planning split,avg_collision_pct,ego_state_navigation_input,history trajectory,+ acceleration,0.49,0.3,-0.19,retrained,N/A,N/A,"ad_mlp.pdf, Table 1, PDF p.3",由表中 Ours 连续行配对；每个配置重新训练；高层命令由未来轨迹真值生成，见论文方法。,REAL-NUS-001
AD-MLP,nuscenes,paper planning split,avg_L2_m,ego_state_navigation_input,history trajectory + acceleration,+ velocity,0.49,0.35,-0.14,retrained,N/A,N/A,"ad_mlp.pdf, Table 1, PDF p.3",由表中 Ours 连续行配对；每个配置重新训练；高层命令由未来轨迹真值生成，见论文方法。,REAL-NUS-001
AD-MLP,nuscenes,paper planning split,avg_collision_pct,ego_state_navigation_input,history trajectory + acceleration,+ velocity,0.3,0.23,-0.07,retrained,N/A,N/A,"ad_mlp.pdf, Table 1, PDF p.3",由表中 Ours 连续行配对；每个配置重新训练；高层命令由未来轨迹真值生成，见论文方法。,REAL-NUS-001
AD-MLP,nuscenes,paper planning split,avg_L2_m,ego_state_navigation_input,history trajectory + acceleration + velocity,+ high-level command,0.35,0.29,-0.06,retrained,N/A,N/A,"ad_mlp.pdf, Table 1, PDF p.3",由表中 Ours 连续行配对；每个配置重新训练；高层命令由未来轨迹真值生成，见论文方法。,REAL-NUS-006
AD-MLP,nuscenes,paper planning split,avg_collision_pct,ego_state_navigation_input,history trajectory + acceleration + velocity,+ high-level command,0.23,0.19,-0.04,retrained,N/A,N/A,"ad_mlp.pdf, Table 1, PDF p.3",由表中 Ours 连续行配对；每个配置重新训练；高层命令由未来轨迹真值生成，见论文方法。,REAL-NUS-006
CarLLaVA,carla_lb2,official hidden test,DS,output_representation,waypoints,waypoints + path,3.21,4.49,+1.28,retrained,N/A,N/A,"carllava.pdf, Table 2, PDF p.4",单次官方提交分数；路径输出改变需重训。,N/A
CarLLaVA,carla_lb2,official hidden test,static_layout_collision_per_km,output_representation,waypoints,waypoints + path,0.68,0.0,-0.68,retrained,N/A,N/A,"carllava.pdf, Table 2, PDF p.4",单次官方提交分数；路径输出改变需重训。,N/A
CarLLaVA,carla_lb2,official hidden test,DS,vision_pretraining,LLaVA vision encoder,no pretraining,6.87,0.45,-6.42,retrained,N/A,N/A,"carllava.pdf, Table 2, PDF p.4",单次官方提交分数。,N/A
CarLLaVA,carla_lb2,official hidden test,DS,vision_pretraining,LLaVA vision encoder,ResNet-34,6.87,2.71,-4.16,retrained,N/A,N/A,"carllava.pdf, Table 2, PDF p.4",单次官方提交分数。,N/A
CarLLaVA,carla_lb2,official hidden test,DS,early_termination_distance,stop after 2100 m,stop after 1300 m,6.87,3.93,-2.94,same_weights,N/A,N/A,"carllava.pdf, Table 2, PDF p.4",官方提交分数；不同提交存在评测方差，论文重复试验另见正文。,N/A
CarLLaVA,carla_lb2,official hidden test,DS,early_termination_distance,stop after 2100 m,stop after 1800 m,6.87,4.49,-2.38,same_weights,N/A,N/A,"carllava.pdf, Table 2, PDF p.4",官方提交分数；不同提交存在评测方差，论文重复试验另见正文。,N/A
CarLLaVA,carla_lb2,official hidden test,DS,early_termination_distance,stop after 2100 m,stop after 2400 m,6.87,6.35,-0.52,same_weights,N/A,N/A,"carllava.pdf, Table 2, PDF p.4",官方提交分数；不同提交存在评测方差，论文重复试验另见正文。,N/A
SimLingo-BASE,carla_lb2,official hidden test,DS,output_representation,waypoints,waypoints + path,3.21,4.49,+1.28,retrained,N/A,N/A,"simlingo_base.pdf, Table 9, PDF p.17",单次官方提交分数；路径输出改变需重训。,N/A
SimLingo-BASE,carla_lb2,official hidden test,static_layout_collision_per_km,output_representation,waypoints,waypoints + path,0.68,0.0,-0.68,retrained,N/A,N/A,"simlingo_base.pdf, Table 9, PDF p.17",单次官方提交分数；路径输出改变需重训。,N/A
SimLingo-BASE,carla_lb2,official hidden test,DS,vision_pretraining,LLaVA vision encoder,no pretraining,6.87,0.45,-6.42,retrained,N/A,N/A,"simlingo_base.pdf, Table 9, PDF p.17",单次官方提交分数。,N/A
SimLingo-BASE,carla_lb2,official hidden test,DS,vision_pretraining,LLaVA vision encoder,ResNet-34,6.87,2.71,-4.16,retrained,N/A,N/A,"simlingo_base.pdf, Table 9, PDF p.17",单次官方提交分数。,N/A
SimLingo-BASE,carla_lb2,official hidden test,DS,early_termination_distance,stop after 2100 m,stop after 1300 m,6.87,3.93,-2.94,same_weights,N/A,N/A,"simlingo_base.pdf, Table 9, PDF p.17",官方提交分数；不同提交存在评测方差，论文重复试验另见正文。,N/A
SimLingo-BASE,carla_lb2,official hidden test,DS,early_termination_distance,stop after 2100 m,stop after 1800 m,6.87,4.49,-2.38,same_weights,N/A,N/A,"simlingo_base.pdf, Table 9, PDF p.17",官方提交分数；不同提交存在评测方差，论文重复试验另见正文。,N/A
SimLingo-BASE,carla_lb2,official hidden test,DS,early_termination_distance,stop after 2100 m,stop after 2400 m,6.87,6.35,-0.52,same_weights,N/A,N/A,"simlingo_base.pdf, Table 9, PDF p.17",官方提交分数；不同提交存在评测方差，论文重复试验另见正文。,N/A
CarLLaVA,aux:10xShort,local short routes,DSS,model_scale,50M,model 350M,90.4,92.49,+2.09,retrained,N/A,N/A,"carllava.pdf, Table 3(a), PDF p.5",无额外摘录；比较配置与出处见本行其他字段。,N/A
CarLLaVA,aux:10xShort,local short routes,DSS,model_scale,50M,model 1B pretrained LoRA,90.4,90.03,-0.37,retrained,N/A,N/A,"carllava.pdf, Table 3(a), PDF p.5",无额外摘录；比较配置与出处见本行其他字段。,N/A
CarLLaVA,aux:10xShort,local short routes,DSS,model_scale,50M,model 1B scratch LoRA,90.4,89.57,-0.83,retrained,N/A,N/A,"carllava.pdf, Table 3(a), PDF p.5",无额外摘录；比较配置与出处见本行其他字段。,N/A
CarLLaVA,aux:10xShort,local short routes,DSS,input_or_pretraining,default,default + temporal input,90.4,90.37,-0.03,retrained,N/A,N/A,"carllava.pdf, Table 3(b), PDF p.5",无额外摘录；比较配置与出处见本行其他字段。,N/A
CarLLaVA,aux:10xShort,local short routes,DSS,input_or_pretraining,default,default + back camera,90.4,88.81,-1.59,retrained,N/A,N/A,"carllava.pdf, Table 3(b), PDF p.5",无额外摘录；比较配置与出处见本行其他字段。,N/A
CarLLaVA,aux:10xShort,local short routes,DSS,input_or_pretraining,default,default + without pretraining,90.4,75.43,-14.97,retrained,N/A,N/A,"carllava.pdf, Table 3(b), PDF p.5",无额外摘录；比较配置与出处见本行其他字段。,N/A
TF++,aux:town13,"short, town withheld",DS,speed_loss_weight,without weights,with speed weights,85,82,-3,retrained,3 training seeds,N/A,"tfpp.pdf, Table 1, PDF p.3",无额外摘录；比较配置与出处见本行其他字段。,N/A
TF++,aux:town13,"short, town withheld",RC,speed_loss_weight,without weights,with speed weights,99,98,-1,retrained,3 training seeds,N/A,"tfpp.pdf, Table 1, PDF p.3",无额外摘录；比较配置与出处见本行其他字段。,N/A
TF++,aux:town13,"short, town withheld",IS,speed_loss_weight,without weights,with speed weights,0.85,0.83,-0.02,retrained,3 training seeds,N/A,"tfpp.pdf, Table 1, PDF p.3",无额外摘录；比较配置与出处见本行其他字段。,N/A
TF++,carla_lb2,official hidden test,DS,data_filtering,no filtering,51% frame filtering,5.2,5.6,+0.4,retrained,N/A,N/A,"tfpp.pdf, Table 2, PDF p.4",过滤后训练 epoch 翻倍，以保持梯度更新量接近。,N/A
TF++,carla_lb2,official hidden test,RC,data_filtering,no filtering,51% frame filtering,11.3,11.8,+0.5,retrained,N/A,N/A,"tfpp.pdf, Table 2, PDF p.4",过滤后训练 epoch 翻倍，以保持梯度更新量接近。,N/A
TF++,carla_lb2,official hidden test,IS,data_filtering,no filtering,51% frame filtering,0.48,0.47,-0.01,retrained,N/A,N/A,"tfpp.pdf, Table 2, PDF p.4",过滤后训练 epoch 翻倍，以保持梯度更新量接近。,N/A
TF++,aux:town13,"short, town withheld",DS,backbone_scale,Base,Big,85,85,+0,retrained,3 training seeds where available; N/A for Ens and L64m,N/A,"tfpp.pdf, Table 3, PDF p.4",论文未明确 Ens/L64m 是否同一权重。,N/A
TF++,aux:town13,"short, town withheld",RC,backbone_scale,Base,Big,99,98,-1,retrained,3 training seeds where available; N/A for Ens and L64m,N/A,"tfpp.pdf, Table 3, PDF p.4",论文未明确 Ens/L64m 是否同一权重。,N/A
TF++,aux:town13,"short, town withheld",IS,backbone_scale,Base,Big,0.86,0.86,+0,retrained,3 training seeds where available; N/A for Ens and L64m,N/A,"tfpp.pdf, Table 3, PDF p.4",论文未明确 Ens/L64m 是否同一权重。,N/A
TF++,aux:town13,"short, town withheld",DS,pretraining,Base,Pre,85,87,+2,retrained,3 training seeds where available; N/A for Ens and L64m,N/A,"tfpp.pdf, Table 3, PDF p.4",论文未明确 Ens/L64m 是否同一权重。,N/A
TF++,aux:town13,"short, town withheld",RC,pretraining,Base,Pre,99,98,-1,retrained,3 training seeds where available; N/A for Ens and L64m,N/A,"tfpp.pdf, Table 3, PDF p.4",论文未明确 Ens/L64m 是否同一权重。,N/A
TF++,aux:town13,"short, town withheld",IS,pretraining,Base,Pre,0.86,0.87,+0.01,retrained,3 training seeds where available; N/A for Ens and L64m,N/A,"tfpp.pdf, Table 3, PDF p.4",论文未明确 Ens/L64m 是否同一权重。,N/A
TF++,aux:town13,"short, town withheld",DS,ensemble,Base,Ens,85,86,+1,unknown,3 training seeds where available; N/A for Ens and L64m,N/A,"tfpp.pdf, Table 3, PDF p.4",论文未明确 Ens/L64m 是否同一权重。,N/A
TF++,aux:town13,"short, town withheld",RC,ensemble,Base,Ens,99,98,-1,unknown,3 training seeds where available; N/A for Ens and L64m,N/A,"tfpp.pdf, Table 3, PDF p.4",论文未明确 Ens/L64m 是否同一权重。,N/A
TF++,aux:town13,"short, town withheld",IS,ensemble,Base,Ens,0.86,0.87,+0.01,unknown,3 training seeds where available; N/A for Ens and L64m,N/A,"tfpp.pdf, Table 3, PDF p.4",论文未明确 Ens/L64m 是否同一权重。,N/A
TF++,aux:town13,"short, town withheld",DS,lidar_range,Base,L64m,85,86,+1,unknown,3 training seeds where available; N/A for Ens and L64m,N/A,"tfpp.pdf, Table 3, PDF p.4",论文未明确 Ens/L64m 是否同一权重。,N/A
TF++,aux:town13,"short, town withheld",RC,lidar_range,Base,L64m,99,97,-2,unknown,3 training seeds where available; N/A for Ens and L64m,N/A,"tfpp.pdf, Table 3, PDF p.4",论文未明确 Ens/L64m 是否同一权重。,N/A
TF++,aux:town13,"short, town withheld",IS,lidar_range,Base,L64m,0.86,0.87,+0.01,unknown,3 training seeds where available; N/A for Ens and L64m,N/A,"tfpp.pdf, Table 3, PDF p.4",论文未明确 Ens/L64m 是否同一权重。,N/A
TF++,aux:town13,"short, town withheld",DS,target_points,Base,2TPs,85,82,-3,retrained,3 training seeds where available; N/A for Ens and L64m,N/A,"tfpp.pdf, Table 3, PDF p.4",论文未明确 Ens/L64m 是否同一权重。,N/A
TF++,aux:town13,"short, town withheld",RC,target_points,Base,2TPs,99,96,-3,retrained,3 training seeds where available; N/A for Ens and L64m,N/A,"tfpp.pdf, Table 3, PDF p.4",论文未明确 Ens/L64m 是否同一权重。,N/A
TF++,aux:town13,"short, town withheld",IS,target_points,Base,2TPs,0.86,0.85,-0.01,retrained,3 training seeds where available; N/A for Ens and L64m,N/A,"tfpp.pdf, Table 3, PDF p.4",论文未明确 Ens/L64m 是否同一权重。,N/A
TF++,aux:town13,Town13 trained,RC,early_termination,full route,terminate after 1 km,68.53,11.47,-57.06,same_weights,3 evaluations per agent,N/A,"tfpp.pdf, Table 5, PDF p.8",DS 上升伴随 RC 大幅下降；normalized_DS 下降。,LB2-TFPP-001
TF++,aux:town13,Town13 trained,IS,early_termination,full route,terminate after 1 km,0.04,0.43,+0.39,same_weights,3 evaluations per agent,N/A,"tfpp.pdf, Table 5, PDF p.8",DS 上升伴随 RC 大幅下降；normalized_DS 下降。,LB2-TFPP-001
TF++,aux:town13,Town13 trained,DS,early_termination,full route,terminate after 1 km,0.96,5.1,+4.14,same_weights,3 evaluations per agent,N/A,"tfpp.pdf, Table 5, PDF p.8",DS 上升伴随 RC 大幅下降；normalized_DS 下降。,LB2-TFPP-001
TF++,aux:town13,Town13 trained,normalized_DS,early_termination,full route,terminate after 1 km,4.94,2.27,-2.67,same_weights,3 evaluations per agent,N/A,"tfpp.pdf, Table 5, PDF p.8",DS 上升伴随 RC 大幅下降；normalized_DS 下降。,LB2-TFPP-001
TF++,aux:town13,Town13 withheld,RC,early_termination,full route,terminate after 1 km,50.2,10.91,-39.29,same_weights,3 evaluations per agent,N/A,"tfpp.pdf, Table 5, PDF p.8",DS 上升伴随 RC 大幅下降；normalized_DS 下降。,LB2-TFPP-001
TF++,aux:town13,Town13 withheld,IS,early_termination,full route,terminate after 1 km,0.1,0.34,+0.24,same_weights,3 evaluations per agent,N/A,"tfpp.pdf, Table 5, PDF p.8",DS 上升伴随 RC 大幅下降；normalized_DS 下降。,LB2-TFPP-001
TF++,aux:town13,Town13 withheld,DS,early_termination,full route,terminate after 1 km,1.08,3.73,+2.65,same_weights,3 evaluations per agent,N/A,"tfpp.pdf, Table 5, PDF p.8",DS 上升伴随 RC 大幅下降；normalized_DS 下降。,LB2-TFPP-001
TF++,aux:town13,Town13 withheld,normalized_DS,early_termination,full route,terminate after 1 km,2.12,1.3,-0.82,same_weights,3 evaluations per agent,N/A,"tfpp.pdf, Table 5, PDF p.8",DS 上升伴随 RC 大幅下降；normalized_DS 下降。,LB2-TFPP-001
LTF/TransFuser,navsim_v1,navtest,PDMS,ego_state,default TransFuser,TransFuser goal only,N/A,81.8,N/A,retrained,default has 3 seeds; variant runs N/A,N/A,"ltf.pdf, Table 2, PDF p.8",表中默认配置按 3 个 seed 分列（83.3/84.0/84.4），未给单一配对基线；不伪造均值差。,N/A
LTF/TransFuser,navsim_v1,navtest,PDMS,ego_state,default TransFuser,TransFuser goal + velocity,N/A,82.3,N/A,retrained,default has 3 seeds; variant runs N/A,N/A,"ltf.pdf, Table 2, PDF p.8",表中默认配置按 3 个 seed 分列（83.3/84.0/84.4），未给单一配对基线；不伪造均值差。,N/A
LTF/TransFuser,navsim_v1,navtest,PDMS,camera_fov,default TransFuser,TransFuser 60deg one camera,N/A,80.3,N/A,retrained,default has 3 seeds; variant runs N/A,N/A,"ltf.pdf, Table 2, PDF p.8",表中默认配置按 3 个 seed 分列（83.3/84.0/84.4），未给单一配对基线；不伪造均值差。,N/A
LTF/TransFuser,navsim_v1,navtest,PDMS,camera_fov,default TransFuser,TransFuser 160deg three cameras,N/A,82.8,N/A,retrained,default has 3 seeds; variant runs N/A,N/A,"ltf.pdf, Table 2, PDF p.8",表中默认配置按 3 个 seed 分列（83.3/84.0/84.4），未给单一配对基线；不伪造均值差。,N/A
LTF/TransFuser,navsim_v1,navtest,PDMS,camera_fov,default TransFuser,TransFuser 240deg five cameras,N/A,84.1,N/A,retrained,default has 3 seeds; variant runs N/A,N/A,"ltf.pdf, Table 2, PDF p.8",表中默认配置按 3 个 seed 分列（83.3/84.0/84.4），未给单一配对基线；不伪造均值差。,N/A
LTF/TransFuser,navsim_v1,navtest,PDMS,lidar_range,default TransFuser,TransFuser LiDAR 16m all directions,N/A,79.1,N/A,retrained,default has 3 seeds; variant runs N/A,N/A,"ltf.pdf, Table 2, PDF p.8",表中默认配置按 3 个 seed 分列（83.3/84.0/84.4），未给单一配对基线；不伪造均值差。,N/A
LTF/TransFuser,navsim_v1,navtest,PDMS,lidar_range,default TransFuser,TransFuser LiDAR 64/32/32/32m,N/A,84.3,N/A,retrained,default has 3 seeds; variant runs N/A,N/A,"ltf.pdf, Table 2, PDF p.8",表中默认配置按 3 个 seed 分列（83.3/84.0/84.4），未给单一配对基线；不伪造均值差。,N/A
LTF/TransFuser,navsim_v1,navtest,PDMS,lidar_range,default TransFuser,TransFuser LiDAR 64m all directions,N/A,81.0,N/A,retrained,default has 3 seeds; variant runs N/A,N/A,"ltf.pdf, Table 2, PDF p.8",表中默认配置按 3 个 seed 分列（83.3/84.0/84.4），未给单一配对基线；不伪造均值差。,N/A
LTF/TransFuser,navsim_v1,navtest,PDMS,auxiliary_task,default TransFuser,TransFuser without BEV segmentation,N/A,81.6,N/A,retrained,default has 3 seeds; variant runs N/A,N/A,"ltf.pdf, Table 2, PDF p.8",表中默认配置按 3 个 seed 分列（83.3/84.0/84.4），未给单一配对基线；不伪造均值差。,N/A
LTF/TransFuser,navsim_v1,navtest,PDMS,auxiliary_task,default TransFuser,TransFuser without 3D detection,N/A,84.0,N/A,retrained,default has 3 seeds; variant runs N/A,N/A,"ltf.pdf, Table 2, PDF p.8",表中默认配置按 3 个 seed 分列（83.3/84.0/84.4），未给单一配对基线；不伪造均值差。,N/A
GTRS,navsim_v2,"navhard two-stage, old protocol",EPDMS_stage1,learned_trajectory_scoring,Vdp random,Vdp scored with VXL vocabulary,60.9,76.6,+15.7,retrained,N/A,N/A,"gtrs.pdf, Table 1, PDF p.3",无额外摘录；比较配置与出处见本行其他字段。,NAV2-GTRS-003
GTRS,navsim_v2,"navhard two-stage, old protocol",EPDMS_stage2,learned_trajectory_scoring,Vdp random,Vdp scored with VXL vocabulary,40.8,48.6,+7.8,retrained,N/A,N/A,"gtrs.pdf, Table 1, PDF p.3",无额外摘录；比较配置与出处见本行其他字段。,NAV2-GTRS-003
GTRS,navsim_v2,"navhard two-stage, old protocol",EPDMS,learned_trajectory_scoring,Vdp random,Vdp scored with VXL vocabulary,25.6,36.7,+11.1,retrained,N/A,N/A,"gtrs.pdf, Table 1, PDF p.3",无额外摘录；比较配置与出处见本行其他字段。,NAV2-GTRS-003
GTRS,navsim_v2,"navhard two-stage, old protocol",EPDMS_stage1,trajectory_vocabulary,Vdp scored with VXL vocabulary,VXL static inference vocabulary,76.6,78.1,+1.5,retrained,N/A,N/A,"gtrs.pdf, Table 1, PDF p.3",无额外摘录；比较配置与出处见本行其他字段。,NAV2-GTRS-001
GTRS,navsim_v2,"navhard two-stage, old protocol",EPDMS_stage2,trajectory_vocabulary,Vdp scored with VXL vocabulary,VXL static inference vocabulary,48.6,50.2,+1.6,retrained,N/A,N/A,"gtrs.pdf, Table 1, PDF p.3",无额外摘录；比较配置与出处见本行其他字段。,NAV2-GTRS-001
GTRS,navsim_v2,"navhard two-stage, old protocol",EPDMS,trajectory_vocabulary,Vdp scored with VXL vocabulary,VXL static inference vocabulary,36.7,39.7,+3,retrained,N/A,N/A,"gtrs.pdf, Table 1, PDF p.3",无额外摘录；比较配置与出处见本行其他字段。,NAV2-GTRS-001
GTRS,navsim_v2,"navhard two-stage, old protocol",EPDMS_stage1,dynamic_proposals,VXL static inference vocabulary,Vdp union VXL,78.1,77.4,-0.7,retrained,N/A,N/A,"gtrs.pdf, Table 1, PDF p.3",无额外摘录；比较配置与出处见本行其他字段。,NAV2-GTRS-001
GTRS,navsim_v2,"navhard two-stage, old protocol",EPDMS_stage2,dynamic_proposals,VXL static inference vocabulary,Vdp union VXL,50.2,52.7,+2.5,retrained,N/A,N/A,"gtrs.pdf, Table 1, PDF p.3",无额外摘录；比较配置与出处见本行其他字段。,NAV2-GTRS-001
